[IRV | HI | NT | Matthew | Chapter 25 | Verse 1] “तब स्वर्ग का राज्य उन दस कुँवारियों के समान होगा जो अपनी मशालें लेकर दूल्हे से भेंट करने को निकलीं।
[IRV | HI | NT | Matthew | Chapter 25 | Verse 33] और वहभेड़ों को अपनी दाहिनी ओर और बकरियों को बाईं ओर खड़ी करेगा।
[IRV | HI | NT | Matthew | Chapter 25 | Verse 34] तब राजा अपनी दाहिनी ओर वालों से कहेगा, ‘हे मेरे पिता के धन्य लोगों, आओ, उस राज्य के अधिकारी हो जाओ, जो जगत के आदि से तुम्हारे लिये तैयार किया हुआ है।
[IRV | HI | NT | Matthew | Chapter 25 | Verse 35] क्योंकि मैं भूखा था, और तुम ने मुझे खाने को दिया; मैं प्यासा था, और तुम ने मुझे पानी पिलाया, मैं परदेशी था, तुम ने मुझे अपने घर में ठहराया;
[IRV | HI | NT | Matthew | Chapter 25 | Verse 36] मैं नंगा था, तुम ने मुझे कपड़े पहनाए; मैं बीमार था, तुम ने मेरी सुधि ली, मैं बन्दीगृह में था, तुम मुझसे मिलने आए।’
[IRV | HI | NT | Matthew | Chapter 25 | Verse 37] “तब धर्मी उसको उत्तर देंगे, ‘हे प्रभु, हमने कब तुझे भूखा देखा और खिलाया? या प्यासा देखा, और पानी पिलाया?
[IRV | HI | NT | Matthew | Chapter 25 | Verse 38] हमने कब तुझे परदेशी देखा और अपने घर में ठहराया या नंगा देखा, और कपड़े पहनाए?
[IRV | HI | NT | Matthew | Chapter 25 | Verse 39] हमने कब तुझे बीमार या बन्दीगृह में देखा और तुझ से मिलने आए?’
[IRV | HI | NT | Matthew | Chapter 25 | Verse 40] तब राजा उन्हें उत्तर देगा, ‘मैं तुम से सच कहता हूँ, कि तुम ने जो मेरे इनछोटे से छोटे भाइयों में सेकिसी एक के साथ किया, वह मेरे ही साथ किया।’
[IRV | HI | NT | Matthew | Chapter 25 | Verse 41] “तब वह बाईं ओर वालों से कहेगा, ‘हे श्रापित लोगों, मेरे सामने से उसअनन्त आगमें चले जाओ, जो शैतान और उसके दूतों के लिये तैयार की गई है।
[IRV | HI | NT | Matthew | Chapter 25 | Verse 42] क्योंकि मैं भूखा था, और तुम ने मुझे खाने को नहीं दिया, मैं प्यासा था, और तुम ने मुझे पानी नहीं पिलाया;
[IRV | HI | NT | Matthew | Chapter 25 | Verse 43] मैं परदेशी था, और तुम ने मुझे अपने घर में नहीं ठहराया; मैं नंगा था, और तुम ने मुझे कपड़े नहीं पहनाए; बीमार और बन्दीगृह में था, और तुम ने मेरी सुधि न ली।’
[IRV | HI | NT | Matthew | Chapter 25 | Verse 44] “तब वे उत्तर देंगे, ‘हे प्रभु, हमने तुझे कब भूखा, या प्यासा, या परदेशी, या नंगा, या बीमार, या बन्दीगृह में देखा, और तेरी सेवा टहल न की?’
[IRV | HI | NT | Matthew | Chapter 25 | Verse 45] तब वह उन्हें उत्तर देगा, ‘मैं तुम से सच कहता हूँ कि तुम ने जो इन छोटे से छोटों में से किसी एक के साथ नहीं किया, वह मेरे साथ भी नहीं किया।’
[IRV | HI | NT | Matthew | Chapter 25 | Verse 46] और ये अनन्त दण्ड भोगेंगे परन्तु धर्मी अनन्त जीवन में प्रवेश करेंगे।”
