[WEBSTER | EN | NT | 1 Corinthians | Chapter 14 | Verse 1] Follow after charity, and desire spiritual gifts , but rather that ye may prophesy.
[WEBSTER | EN | NT | 1 Corinthians | Chapter 14 | Verse 23] If therefore the whole church is assembled in one place, and all speak in languages, and there come in those that are unlearned, or unbelievers, will they not say that ye are insane?
[WEBSTER | EN | NT | 1 Corinthians | Chapter 14 | Verse 24] But if all prophesy, and there come in one that believeth not, or one unlearned, he is convinced by all, he is judged by all:
[WEBSTER | EN | NT | 1 Corinthians | Chapter 14 | Verse 25] And thus are the secrets of his heart made manifest; and so falling down on his face, he will worship God, and report that God is in you in truth.
[WEBSTER | EN | NT | 1 Corinthians | Chapter 14 | Verse 26] How is it then, brethren? when ye are assembled, every one of you hath a psalm, hath a doctrine, hath a language, hath a revelation, hath an interpretation. Let all things be done to edification.
[WEBSTER | EN | NT | 1 Corinthians | Chapter 14 | Verse 27] If any man speaketh in an unknown language, let it be by two, or at the most by three, and that by course; and let one interpret.
[WEBSTER | EN | NT | 1 Corinthians | Chapter 14 | Verse 28] But if there is no interpreter, let him keep silence in the church; and let him speak to himself, and to God.
[WEBSTER | EN | NT | 1 Corinthians | Chapter 14 | Verse 29] Let the prophets speak two or three, and let the others judge.
[WEBSTER | EN | NT | 1 Corinthians | Chapter 14 | Verse 30] If any thing is revealed to another that sitteth by, let the first hold his peace.
[WEBSTER | EN | NT | 1 Corinthians | Chapter 14 | Verse 31] For ye may all prophesy one by one, that all may learn, and all may be comforted.
[WEBSTER | EN | NT | 1 Corinthians | Chapter 14 | Verse 32] And the spirits of the prophets are subject to the prophets.
[WEBSTER | EN | NT | 1 Corinthians | Chapter 14 | Verse 33] For God is not the author of confusion, but of peace, as in all churches of the saints.
[WEBSTER | EN | NT | 1 Corinthians | Chapter 14 | Verse 34] Let your women keep silence in the churches; for it is not permitted to them to speak: but they are commanded to be under obedience, as also saith the law.
[WEBSTER | EN | NT | 1 Corinthians | Chapter 14 | Verse 35] And if they will learn any thing, let them ask their husbands at home; for it is a shame for women to speak in the church.
[WEBSTER | EN | NT | 1 Corinthians | Chapter 14 | Verse 36] What? came the word of God out from you? or came it to you only?
[WEBSTER | EN | NT | 1 Corinthians | Chapter 14 | Verse 37] If any man thinketh himself to be a prophet, or spiritual, let him acknowledge that the things that I write to you are the commandments of the Lord.
[WEBSTER | EN | NT | 1 Corinthians | Chapter 14 | Verse 38] But if any man is ignorant, let him be ignorant.
[WEBSTER | EN | NT | 1 Corinthians | Chapter 14 | Verse 39] Wherefore, brethren, covet to prophesy, and forbid not to speak in languages.
[WEBSTER | EN | NT | 1 Corinthians | Chapter 14 | Verse 40] Let all things be done decently, and in order.
