[LXX | EL | OT | 1 Chronicles | Chapter 8 | Verse 1] Καὶ Βενιαμὶν ἐγέννησε Βαλὲ πρωτότοκον αὐτοῦ, καὶ ʼΑσβὴλ τὸν δεύτερον, Ἀαρὰ τὸν τρίτον,
[LXX | EL | OT | 1 Chronicles | Chapter 8 | Verse 12] Καὶ υἱοὶ Ἀλφαὰλ, Ὠβὴδ, Μισαὰλ, Σεμμήρ· οὗτος ᾠκοδόμησε τὴν Ὠνὰν, καὶ τὴν Λὼδ καὶ τὰς κώμας αὐτῆς·
[LXX | EL | OT | 1 Chronicles | Chapter 8 | Verse 13] Καὶ Βεριὰ, καὶ Σαμά· οὗτοι ἄρχοντες τῶν πατριῶν τοῖς κατοικοῦσιν Αἰλὰμ, καὶ οὗτοι ἐξεδίωξαν τοὺς κατοικοῦντας Γέθ.
[LXX | EL | OT | 1 Chronicles | Chapter 8 | Verse 14] καὶ ἀδελφὸς αὐτοῦ Σωσὴκ, καὶ ʼΑριμὼθ,
[LXX | EL | OT | 1 Chronicles | Chapter 8 | Verse 15] καὶ Ζαβαδία, καὶ Ὠρὴδ, καὶ Ἔδερ,
[LXX | EL | OT | 1 Chronicles | Chapter 8 | Verse 16] καὶ Μιχαὴλ, καὶ ʼΙεσφὰ, καὶ Ἰωδὰ, υἱοὶ Βεριά.
[LXX | EL | OT | 1 Chronicles | Chapter 8 | Verse 17] Καὶ Ζαβαδία, καὶ Μοσολλὰμ, καὶ Ἀζακὶ, καὶ Ἀβὰρ,
[LXX | EL | OT | 1 Chronicles | Chapter 8 | Verse 18] καὶ Ἰσαμαρὶ, καὶ Ἰεξλίας, καὶ Ἰωβὰβ, υἱοὶ Ἐλφαάλ.
[LXX | EL | OT | 1 Chronicles | Chapter 8 | Verse 19] Καὶ Ἰακὶμ, καὶ Ζαχρὶ, καὶ Ζαβδὶ,
[LXX | EL | OT | 1 Chronicles | Chapter 8 | Verse 20] καὶ Ἐλιωναῒ, καὶ Σαλαθὶ, καὶ Ἐλιηλὶ,
[LXX | EL | OT | 1 Chronicles | Chapter 8 | Verse 21] καὶ Ἀδαΐα, καὶ Βαραΐα, καὶ Σαμαρὰθ, υἱοὶ Σαμαΐθ.
[LXX | EL | OT | 1 Chronicles | Chapter 8 | Verse 22] καὶ Ἰεσφὰν, καὶ Ὠβὴδ, καὶ Ἐλεὴλ,
[LXX | EL | OT | 1 Chronicles | Chapter 8 | Verse 23] καὶ Ἀβδὼν, καὶ Ζεχρὶ, καὶ Ἀνὰν,
[LXX | EL | OT | 1 Chronicles | Chapter 8 | Verse 24] καὶ Ἀνανία, καὶ Ἀμβρὶ, καὶ Αἰλὰμ, καὶ Ἀναθὼθ,
[LXX | EL | OT | 1 Chronicles | Chapter 8 | Verse 25] καὶ Ἰαθὶν, καὶ Ἰεφαδίας, καὶ Φανουὴλ, υἱοὶ Σωσήκ.
[LXX | EL | OT | 1 Chronicles | Chapter 8 | Verse 26] Καὶ Σαμσαρὶ, καὶ Σααρίας, καὶ Γοθολία,
[LXX | EL | OT | 1 Chronicles | Chapter 8 | Verse 27] καὶ Ἰαρασία, καὶ Ἐριὰ, καὶ Ζεχρὶ υἱὸς Ἰροάμ.
[LXX | EL | OT | 1 Chronicles | Chapter 8 | Verse 28] Οὗτοι ἄρχοντες πατριῶν κατὰ γενέσεις αὐτῶν ἄρχοντες· οὗτοι κατῴκησαν ἐν Ἱερουσαλήμ.
[LXX | EL | OT | 1 Chronicles | Chapter 8 | Verse 29] Καὶ ἐν Γαβαὼν κατῴκησε πατὴρ Γαβαών· καὶ ὄνομα γυναικὶ αὐτοῦ Μοαχά.
[LXX | EL | OT | 1 Chronicles | Chapter 8 | Verse 30] Καὶ ὁ υἱὸς αὐτῆς ὁ πρωτότοκος Ἀβδὼν, καὶ Σοὺρ, καὶ Κὶς, καὶ Βαὰλ, καὶ Ναδὰβ,
[LXX | EL | OT | 1 Chronicles | Chapter 8 | Verse 31] καὶ Νὴρ, καὶ Γεδοὺρ καὶ ἀδελφὸς αὐτοῦ, καὶ Ζακχοὺρ, καὶ Μακελώθ.
[LXX | EL | OT | 1 Chronicles | Chapter 8 | Verse 32] Καὶ Μακελὼθ ἐγέννησε τὸν Σαμαά· καὶ γὰρ οὗτοι κατέναντι τῶν ἀδελφῶν αὐτῶν κατῴκησαν ἐν Ἱερουσαλὴμ μετὰ τῶν ἀδελφῶν αὐτῶν.
[LXX | EL | OT | 1 Chronicles | Chapter 8 | Verse 33] Καὶ Νὴρ ἐγέννησε τὸν Κὶς, καὶ Κὶς ἐγέννησε τὸν Σαοὺλ, καὶ Σαοὺλ ἐγέννησε τὸν Ἰωνάθαν, καὶ τὸν Μελχισουὲ, καὶ τὸν Ἀμιναδὰβ, καὶ τὸν Ἀσαβάλ.
[LXX | EL | OT | 1 Chronicles | Chapter 8 | Verse 34] καὶ υἱὸς Ἰωνάθαν Μεριβαάλ· καὶ Μεριβαὰλ ἐγέννησε τὸν Μιχά.
[LXX | EL | OT | 1 Chronicles | Chapter 8 | Verse 35] καὶ υἱοὶ Μιχὰ, Φιθὼν, καὶ Μελὰχ, καὶ Θαρὰχ, καὶ Ἀχάζ.
[LXX | EL | OT | 1 Chronicles | Chapter 8 | Verse 36] καὶ Ἀχὰζ ἐγέννησε τὸν Ἰαδά· καὶ Ἰαδὰ ἐγέννησε τὸν Σαλαιμὰθ, καὶ τὸν Ἀσμὼθ, καὶ τὸν Ζαμβρί· καὶ Ζαμβρὶ ἐγέννησε τὸν Μαισά.
[LXX | EL | OT | 1 Chronicles | Chapter 8 | Verse 37] Καὶ Μαισὰ ἐγέννησε τὸν Βαανά· Ῥαφαία υἱὸς αὐτοῦ, Ἐλασὰ υἱὸς αὐτοῦ, Ἐσὴλ υἱὸς αὐτοῦ.
[LXX | EL | OT | 1 Chronicles | Chapter 8 | Verse 38] Καὶ τῷ Ἐσὴλ ἓξ υἱοί· καὶ ταῦτα τὰ ὀνόματα αὐτῶν· Ἐζρικὰμ πρωτότοκος αὐτοῦ, καὶ Ἰσμαὴλ, καὶ Σαραΐα, καὶ Ἀβδία, καὶ Ἀνὰν, καὶ Ἀσά· πάντες οὗτοι υἱοὶ Ἐσήλ.
[LXX | EL | OT | 1 Chronicles | Chapter 8 | Verse 39] Καὶ υἱοὶ Ἀσὴλ ἀδελφοῦ αὐτοῦ, Αἰλὰμ πρωτότοκος αὐτοῦ, καὶ Ἰὰς ὁ δεύτερος, καὶ Ἐλιφαλὲτ ὁ τρίτος.
[LXX | EL | OT | 1 Chronicles | Chapter 8 | Verse 40] Καὶ ἦσαν υἱοὶ Αἰλὰμ ἰσχυροὶ ἄνδρες δυνάμει, τείνοντες τόξον, καὶ πληθύνοντες υἱοὺς καὶ υἱοὺς τῶν υἱῶν, ἑκατὸν πεντήκοντα· πάντες οὗτοι ἐξ υἱῶν Βενιαμίν.
