[LXX | EL | OT | 1 Chronicles | Chapter 7 | Verse 1] Καὶ τοῖς υἱοῖς Ἰσσάχαρ, Θωλὰ, καὶ Φουὰ, καὶ Ἰασοὺβ, καὶ Σεμερὼν, τέσσαρες.
[LXX | EL | OT | 1 Chronicles | Chapter 7 | Verse 30] Υἱοὶ Ἀσὴρ, Ἰεμνὰ, καὶ Σουΐα, καὶ Ἰσουῒ, καὶ Βεριὰ, καὶ Σορὲ ἀδελφὴ αὐτῶν.
[LXX | EL | OT | 1 Chronicles | Chapter 7 | Verse 31] Καὶ υἱοὶ Βεριὰ, Χάβερ, καὶ Μελχιήλ· οὗτος πατὴρ Βερθαΐθ.
[LXX | EL | OT | 1 Chronicles | Chapter 7 | Verse 32] Καὶ Χάβερ ἐγέννησε τὸν Ἰαφλὴτ, καὶ τὸν Σαμὴρ, καὶ τὸν Χωθὰν, καὶ τὴν Σωλὰ ἀδελφὴν αὐτῶν.
[LXX | EL | OT | 1 Chronicles | Chapter 7 | Verse 33] Καὶ υἱοὶ Ἰαφλὴτ, Φασὲκ, καὶ Βαμαὴλ, καὶ Ἀσίθ· οὗτοι υἱοὶ Ἰαφλήτ.
[LXX | EL | OT | 1 Chronicles | Chapter 7 | Verse 34] Καὶ υἱοὶ Σεμμὴρ, Ἀχὶρ, καὶ Ῥοογὰ, καὶ ʼΙαβὰ, καὶ Αρὰμ,
[LXX | EL | OT | 1 Chronicles | Chapter 7 | Verse 35] καὶ Βανὴ ʼΕλὰμ ἀδελφοῦ αὐτοῦ Σωφὰ, καὶ ʼΙμανὰ, καὶ Σελλὴς, καὶ ʼΑμάλ.
[LXX | EL | OT | 1 Chronicles | Chapter 7 | Verse 36] Υἱοὶ Σωφὰς, Σουὲ, καὶ Ἁρναφὰρ, καὶ Σουδὰ, καὶ Βαρὶν, καὶ ʼΙμρὰν,
[LXX | EL | OT | 1 Chronicles | Chapter 7 | Verse 37] καὶ Βασὰν, καὶ ʼΩὰ, καὶ Σαμὰ, καὶ Σαλισὰ, καὶ ʼΙεθρὰ, καὶ Βεηρά.
[LXX | EL | OT | 1 Chronicles | Chapter 7 | Verse 38] Καὶ υἱοὶ Ἰεθὴρ, Ἰεφινὰ, καὶ Φασφὰ, καὶ Ἀρά.
[LXX | EL | OT | 1 Chronicles | Chapter 7 | Verse 39] καὶ υἱοὶ ʼΟλὰ, Ὀρὲχ, Ἀνιὴλ, καὶ Ῥασιά.
[LXX | EL | OT | 1 Chronicles | Chapter 7 | Verse 40] Πάντες οὗτοι υἱοὶ Ἀσὴρ, πάντες ἄρχοντες πατριῶν, ἐκλεκτοὶ ἰσχυροὶ δυνάμει, ἄρχοντες ἡγούμενοι· ὁ ἀριθμὸς αὐτῶν εἰς παράταξιν τοῦ πολεμεῖν, ἀριθμὸς αὐτῶν ἄνδρες εἰκοσιὲξ χιλιάδες.
