[LXX | EL | OT | 1 Chronicles | Chapter 26 | Verse 1] Καὶ εἰς διαιρέσεις τῶν πυλῶν, υἱοὶ Κορεῒμ Μοσελλεμία ἐκ τῶν υἱῶν Ἀσάφ.
[LXX | EL | OT | 1 Chronicles | Chapter 26 | Verse 13] Καὶ ἔβαλον κλήρους κατὰ τὸν μικρὸν καὶ κατὰ τὸν μέγαν κατʼ οἴκους πατριῶν αὐτῶν εἰς πυλῶνα καὶ πυλῶνα.
[LXX | EL | OT | 1 Chronicles | Chapter 26 | Verse 14] Καὶ ἔπεσεν ὁ κλῆρος τῶν πρὸς ἀνατολὰς τῷ Σελεμίᾳ, καὶ Ζαχαρίᾳ· υἱοὶ Σωὰζ τῷ Μελχίᾳ ἔβαλον κλήρους, καὶ ἐξῆλθεν ὁ κλῆρος Βοῥῥᾶ.
[LXX | EL | OT | 1 Chronicles | Chapter 26 | Verse 15] Τῷ Ἀβδεδὸμ Νότον κατέναντι οἴκου Ἐσεφίμ.
[LXX | EL | OT | 1 Chronicles | Chapter 26 | Verse 16] Εἰς δεύτερον τῷ Ὀσᾷ πρὸς δυσμαῖς μετὰ τὴν πύλην παστοφορίου τῆς ἀναβάσεως· φυλακὴ κατέναντι φυλακῆς.
[LXX | EL | OT | 1 Chronicles | Chapter 26 | Verse 17] Πρὸς ἀνατολὰς ἓξ τὴν ἡμέραν· Βοῤῥᾶ τῆς ἡμέρας τέσσαρες· Νότον τῆς ἡμέρας τέσσαρες· καὶ εἰς τὸν Ἐσεφὶμ δύο
[LXX | EL | OT | 1 Chronicles | Chapter 26 | Verse 18] εἰς διαδεχομένους· καὶ τῷ Ὀσᾷ πρὸς δυσμαῖς μετὰ τὴν πύλην τοῦ παστοφορίου τρεῖς· φυλακὴ κατέναντι φυλακῆς τῆς ἀναβάσεως πρὸς ἀνατολὰς τῆς ἡμέρας ἓξ, καὶ τῷ Βοῤῥᾷ τέσσαρες, καὶ τῷ Νότῳ τέσσαρες, καὶ Ἐσεφὶμ δύο εἰς διαδεχομένους, καὶ πρὸς δυσμαῖς τέσσαρες, καὶ εἰς τὸν τρίβον δύο διαδεχομένους.
[LXX | EL | OT | 1 Chronicles | Chapter 26 | Verse 19] Αὗται αἱ διαιρέσεις τῶν πυλωρῶν τοῖς υἱοῖς τοῦ Κορὲ, καὶ τοῖς υἱοῖς Μεραρί.
[LXX | EL | OT | 1 Chronicles | Chapter 26 | Verse 20] Καὶ οἱ Λευῖται ἀδελφοὶ αὐτῶν ἐπὶ τῶν θησαυρῶν οἴκου Κυρίου, καὶ ἐπὶ τῶν θησαυρῶν τῶν καθηγιασμένων.
[LXX | EL | OT | 1 Chronicles | Chapter 26 | Verse 21] Υἱοὶ Λαδὰν οὗτοι, υἱοὶ τῷ Γηρσωνί· τῷ Λαδὰν ἄρχοντες πατριῶν, τῷ Λαδὰν, τῷ Γηρσωνὶ Ἰεϊήλ.
[LXX | EL | OT | 1 Chronicles | Chapter 26 | Verse 22] Υἱοὶ Ἰεϊὴλ Ζεθὸμ καὶ Ἰωὴλ, οἱ ἀδελφοὶ ἐπὶ τῶν θησαυρῶν οἴκου Κυρίου.
[LXX | EL | OT | 1 Chronicles | Chapter 26 | Verse 23] Τῷ Ἀμβρὰμ καὶ Ἰσσαὰρ, Χεβρὼν, καὶ Ὀζιήλ.
[LXX | EL | OT | 1 Chronicles | Chapter 26 | Verse 24] Καὶ Σουβαὴλ ὁ τοῦ Γηρσὰμ τοῦ Μωυσῆ ἐπὶ τῶν θησαυρῶν.
[LXX | EL | OT | 1 Chronicles | Chapter 26 | Verse 25] Καὶ τῷ ἀδελφῷ αὐτοῦ Ἐλιέζερ Ῥαβίας υἱὸς, καὶ Ἰωσίας, καὶ Ἰωρὰμ, καὶ Ζεχρὶ, καὶ Σαλωμώθ.
[LXX | EL | OT | 1 Chronicles | Chapter 26 | Verse 26] Αὐτὸς Σαλωμὼθ καὶ οἱ ἀδελφοὶ αὐτοῦ ἐπὶ πάντων τῶν θησαυρῶν τῶν ἁγίων, οὓς ἡγίασε Δαυὶδ ὁ βασιλεὺς καὶ οἱ ἄρχοντες τῶν πατριῶν, χιλίαρχοι καὶ ἑκατόνταρχοι καὶ ἀρχηγοὶ τῆς δυνάμεως,
[LXX | EL | OT | 1 Chronicles | Chapter 26 | Verse 27] ἃ ἔλαβεν ἐκ πόλεων καὶ ἐκ τῶν λαφύρων, καὶ ἡγίασεν ἀπʼ αὐτῶν τοῦ μὴ καθυστερῆσαι τὴν οἰκοδομὴν τοῦ οἴκου τοῦ Θεοῦ·
[LXX | EL | OT | 1 Chronicles | Chapter 26 | Verse 28] καὶ ἐπὶ πάντων τῶν ἁγίων τοῦ Θεοῦ Σαμουὴλ τοῦ προφήτου, καὶ Σαοὺλ τοῦ Κὶς, καὶ Ἀβεννὴρ τοῦ Νὴρ, καὶ Ἰωὰβ τοῦ Σαρουία, πᾶν ὃ ἡγίασαν διὰ χειρὸς Σαλωμὼθ καὶ τῶν ἀδελφῶν αὐτοῦ.
[LXX | EL | OT | 1 Chronicles | Chapter 26 | Verse 29] Τῷ Ἰσσααρὶ Χωνενία, καὶ υἱοὶ τῆς ἐργασίας τῆς ἔξω ἐπὶ τὸν Ἰσραὴλ τοῦ γραμματεύειν καὶ διακρίνειν.
[LXX | EL | OT | 1 Chronicles | Chapter 26 | Verse 30] Τῷ Χεβρωνὶ Ἀσαβίας καὶ οἱ ἀδελφοὶ αὐτοῦ υἱοὶ δυνατοὶ χίλιοι καὶ ἐπτακόσιοι ἐπὶ τῆς ἐπισκέψεως τοῦ Ἰσραὴλ πέραν τοῦ Ἰορδάνου πρὸς δυσμαῖς, εἰς πᾶσαν λειτουργίαν Κυρίου καὶ ἐργασίαν τοῦ βασιλέως.
[LXX | EL | OT | 1 Chronicles | Chapter 26 | Verse 31] Τοῦ Χεβρωνὶ Οὐρίας ὁ ἄρχων τῶν Χεβρωνὶ κατὰ γενέσεις αὐτῶν, κατὰ πατριὰς, ἐν τῷ τεσσαρακοστῷ ἔτει τῆς βασιλείας αὐτοῦ ἐπεσκέπησαν, καὶ εὑρέθη ἀνὴρ δυνατὸς ἐν αὐτοῖς ἐν Ἰαζὴρ τῆς Γαλααδίτιδος·
[LXX | EL | OT | 1 Chronicles | Chapter 26 | Verse 32] Καὶ οἱ ἀδελφοὶ αὐτοῦ υἱοὶ δυνατοὶ δισχίλιοι ἑπτακόσιοι οἱ ἄρχοντες τῶν πατριῶν, καὶ κατέστησεν αὐτοὺς Δαυὶδ ὁ βασιλεὺς ἐπὶ τοῦ Ῥουβηνὶ, καὶ Γαδδὶ, καὶ ἡμίσους φυλῆς Μανασσῆ εἰς πᾶν πρόσταγμα Κυρίου καὶ λόγον βασιλέως.
