[LXX | EL | OT | 1 Chronicles | Chapter 29 | Verse 1] Καὶ εἶπε Δαυὶδ ὁ βασιλεὺς πάσῃ τῇ ἐκκλησίᾳ, Σαλωμὼν ὁ υἱός μου, εἰς ὃν ᾑρέτικεν ἐν αὐτῷ Κύριος, νέος καὶ ἁπαλὸς, καὶ τὸ ἔργον μέγα, ὅτι οὐκ ἀνθρώπῳ, ἀλλʼ ἢ Κυρίῳ Θεῷ.
[LXX | EL | OT | 1 Chronicles | Chapter 29 | Verse 16] Κύριε ὁ Θεὸς ἡμῶν, πρὸς πᾶν τὸ πλῆθος τοῦτο ὃ ἡτοίμακα οἰκοδομηθῆναι οἶκον τῷ ὀνόματι τῷ ἁγίῳ σου, ἐκ χειρός σου ἐστὶ, καὶ σοὶ τὰ πάντα.
[LXX | EL | OT | 1 Chronicles | Chapter 29 | Verse 17] Καὶ ἔγνων, Κύριε, ὅτι σὺ εἶ ὁ ἐτάζων καρδίας, καὶ δικαιοσύνην ἀγαπᾷς· ἐν ἁπλότητι καρδίας προεθυμήθην ταῦτα πάντα, καὶ νῦν τὸν λαόν σου τὸν εὑρεθέντα ὧδε εἶδον ἐν εὐφροσύνῃ προθυμηθέντα σοι.
[LXX | EL | OT | 1 Chronicles | Chapter 29 | Verse 18] Κύριε ὁ Θεὸς Ἁβραὰμ, καὶ Ἰσαὰκ, καὶ Ἰσραὴλ, τῶν πατέρων ἡμῶν, φύλαξον ταῦτα ἐν διανοίᾳ καρδίας λαοῦ σου εἰς τὸν αἰῶνα, καὶ κατεύθυνον τὰς καρδίας αὐτῶν πρὸς σέ.
[LXX | EL | OT | 1 Chronicles | Chapter 29 | Verse 19] Καὶ Σαλωμὼν τῷ υἱῷ μου δὸς καρδίαν ἀγαθὴν ποιεῖν τὰς ἐντολάς σου, καὶ τὰ μαρτύριά σου, καὶ τὰ προστάγματά σου, καὶ τοῦ ἐπὶ τέλος ἀγαγεῖν τὴν κατασκευὴν τοῦ οἴκου σου.
[LXX | EL | OT | 1 Chronicles | Chapter 29 | Verse 20] Καὶ εἶπε Δαυὶδ πάσῃ τῇ ἐκκλησίᾳ, εὐλογήσατε Κύριον τὸν Θεὸν ἡμῶν· καὶ εὐλόγησε πᾶσα ἡ ἐκκλησία Κύριον τὸν Θεὸν τῶν πατέρων αὐτῶν· καὶ κάμψαντες τὰ γόνατα προσεκύνησαν Κυρίῳ, καὶ τῷ βασιλεῖ.
[LXX | EL | OT | 1 Chronicles | Chapter 29 | Verse 21] Καὶ ἔθυσε Δαυὶδ τῷ Κυρίῳ θυσίας, καὶ ἀνήνεγκεν ὁλοκαυτώματα τῷ Θεῷ τῇ ἐπαύριον τῆς πρώτης ἡμέρας μόσχους χιλίους, κριοὺς χιλίους, ἄρνας χιλίους, καὶ τὰς σπονδὰς αὐτῶν, καὶ θυσίας εἰς πλῆθος παντὶ τῷ Ἰσραήλ.
[LXX | EL | OT | 1 Chronicles | Chapter 29 | Verse 22] Καὶ ἔφαγον καὶ ἔπιον ἐναντίον τοῦ Κυρίου ἐν ἐκείνῃ τῇ ἡμέρᾳ μετὰ χαρᾶς· καὶ ἐβασίλευσαν ἐκ δευτέρου τὸν Σαλωμὼν υἱὸν Δαυὶδ, καὶ ἔχρισαν αὐτὸν τῷ Κυρίῳ εἰς βασιλέα, καὶ Σαδὼκ εἰς ἱερωσύνην.
[LXX | EL | OT | 1 Chronicles | Chapter 29 | Verse 23] Καὶ ἐκάθισε Σαλωμὼν ἐπὶ θρόνου Δαυὶδ τοῦ πατρὸς αὐτοῦ, καὶ εὐδοκήθη, καὶ ὑπήκουσαν αὐτοῦ πᾶς Ἰσραήλ.
[LXX | EL | OT | 1 Chronicles | Chapter 29 | Verse 24] Οἱ ἄρχοντες, καὶ οἱ δυνάσται, καὶ πάντες υἱοὶ Δαυὶδ τοῦ βασιλέως τοῦ πατρὸς αὐτοῦ, ὑπετάγησαν αὐτῷ.
[LXX | EL | OT | 1 Chronicles | Chapter 29 | Verse 25] Καὶ ἐμεγάλυνε Κύριος τὸν Σαλωμὼν ἐπάνωθεν παντὸς Ἰσραὴλ, καὶ ἔδωκεν αὐτῷ δόξαν βασιλέως, ὃ οὐκ ἐγένετο ἐπὶ παντὸς βασιλέως ἔμπροσθεν αὐτοῦ.
[LXX | EL | OT | 1 Chronicles | Chapter 29 | Verse 26] Καὶ Δαυὶδ υἱὸς Ἰεσσαὶ ἐβασίλευσεν ἐπὶ Ἰσραὴλ
[LXX | EL | OT | 1 Chronicles | Chapter 29 | Verse 27] ἔτη τεσσράκοντα, ἐν Χεβρὼν ἔτη ἑπτὰ, καὶ ἐν Ἱερουσαλὴμ ἔτη τριακοντατρία.
[LXX | EL | OT | 1 Chronicles | Chapter 29 | Verse 28] Καὶ ἐτελεύτησεν ἐν γήρᾳ καλῷ, πλήρης ἡμερῶν, πλούτῳ καὶ δόξῃ, καὶ ἐβασίλευσε Σαλωμὼν υἱὸς αὐτοῦ ἀντʼ αὐτοῦ.
[LXX | EL | OT | 1 Chronicles | Chapter 29 | Verse 29] Οἱ δὲ λοιποὶ λόγοι τοῦ βασιλέως Δαυὶδ οἱ πρότεροι καὶ οἱ ὕστεροι γεγραμμένοι εἰσὶν ἐν λόγοις Σαμουὴλ τοῦ βλέποντος, καὶ ἐπὶ λόγων Νάθαν τοῦ προφήτου, καὶ ἐπὶ λόγων Γὰδ τοῦ βλέποντος,
[LXX | EL | OT | 1 Chronicles | Chapter 29 | Verse 30] περὶ πάσης τῆς βασιλείας αὐτοῦ, καὶ τῆς δυναστείας αὐτοῦ, καὶ οἱ καιροὶ οἳ ἐγένοντο ἐπʼ αὐτῷ, καὶ ἐπὶ τὸν Ἰσραὴλ, καὶ ἐπὶ πάσας βασιλείας τῆς γῆς.
