[LXX | EL | OT | 1 Chronicles | Chapter 23 | Verse 1] Καὶ Δαυὶδ πρεσβύτης καὶ πλήρης ἡμερῶν, καὶ ἐβασίλευσε Σαλωμὼν τὸν υἱὸν αὐτοῦ ἀνθʼ αὐτοῦ ἐπὶ Ἰσραήλ.
[LXX | EL | OT | 1 Chronicles | Chapter 23 | Verse 22] Καὶ ἀπέθανεν Ἐλεάζαρ· καὶ οὐκ ἦσαν αὐτῷ υἱοὶ, ἀλλʼ ἢ θυγατέρες· καὶ ἔλαβον αὐτὰς υἱοὶ Κὶς ἀδελφοὶ αὐτῶν.
[LXX | EL | OT | 1 Chronicles | Chapter 23 | Verse 23] Υἱοὶ Μουσὶ, Μοολὶ, καὶ Ἐδὲρ, καὶ Ἰαριμὼθ, τρεῖς.
[LXX | EL | OT | 1 Chronicles | Chapter 23 | Verse 24] Οὗτοι υἱοὶ Λευὶ κατʼ οἴκους πατριῶν αὐτῶν, ἄρχοντες τῶν πατριῶν αὐτῶν κατὰ τὴν ἐπίσκεψιν αὐτῶν, κατὰ τὸν ἀριθμὸν ὀνομάτων αὐτῶν, κατὰ κεφαλὴν αὐτῶν, ποιοῦντες τὰ ἔργα λειτουργείας οἴκου Κυρίου ἀπὸ εἰκοσαετοῦς καὶ ἐπάνω.
[LXX | EL | OT | 1 Chronicles | Chapter 23 | Verse 25] Ὅτι εἶπε Δαυὶδ, κατέπαυσε Κύριος ὁ Θεὸς Ἰσραὴλ τῷ λαῷ αὐτοῦ, καὶ κατεσκήνωσεν ἐν Ἱερουσαλὴμ ἕως αἰῶνος.
[LXX | EL | OT | 1 Chronicles | Chapter 23 | Verse 26] Καὶ οἱ Λευῖται οὐκ ἦσαν αἴροντες τὴν σκηνὴν καὶ τὰ πάντα σκεύη αὐτῆς εἰς τὴν λειτουργείαν αὐτῆς·
[LXX | EL | OT | 1 Chronicles | Chapter 23 | Verse 27] Ὅτι ἐν τοῖς λόγοις Δαυὶδ τοῖς ἐσχάτοις ἐστὶν ὁ ἀριθμὸς υἱῶν Λευὶ ἀπὸ εἰκοσαετοῦς καὶ ἐπάνω·
[LXX | EL | OT | 1 Chronicles | Chapter 23 | Verse 28] Ὅτι ἔστησεν αὐτοὺς ἐπὶ χειρὶ Ἀαρὼν, τοῦ λειτουργεῖν ἐν οἴκῳ Κυρίου ἐπὶ τὰς αὐλὰς, καὶ ἐπὶ τὰ παστοφόρια, καὶ ἐπὶ τὸν καθαρισμὸν τῶν πάντων ἁγίων, καὶ ἐπὶ τὰ ἔργα λειτουργείας οἴκου τοῦ Θεοῦ,
[LXX | EL | OT | 1 Chronicles | Chapter 23 | Verse 29] καὶ εἰς τοὺς ἄρτους τῆς προθέσεως, καὶ εἰς τὴν σεμίδαλιν τῆς θυσίας, καὶ εἰς τὰ λάγανα τὰ ἄζυμα, καὶ εἰς τήγανον, καὶ εἰς τὴν πεφυραμένην, καὶ εἰς πᾶν μέτρον,
[LXX | EL | OT | 1 Chronicles | Chapter 23 | Verse 30] καὶ τοῦ στῆναι πρωῒ τοῦ αἰνεῖν καὶ ἐξομολογεῖσθαι τῷ Κυρίῳ, καὶ οὕτω τοεσπέρας·
[LXX | EL | OT | 1 Chronicles | Chapter 23 | Verse 31] Καὶ ἐπὶ πάντων τῶν ἀναφερομένων ὁλοκαυτωμάτων τῷ Κυρίῳ ἐν τοῖς σαββάτοις καὶ ἐν ταῖς νεομηνίαις καὶ ἐν ταῖς ἑορταῖς, κατὰ ἀριθμὸν, κατὰ τὴν κρίσιν ἐπʼ αὐτοῖς διαπαντὸς τῷ Κυρίῳ.
[LXX | EL | OT | 1 Chronicles | Chapter 23 | Verse 32] Καὶ φυλάξουσι τὰς φυλακὰς σκηνῆς τοῦ μαρτυρίου, καὶ τὴν φυλακὴν τοῦ ἁγίου, καὶ τὰς φυλακὰς υἱῶν Ἀαρὼν ἀδελφῶν αὐτῶν, τοῦ λειτουργεῖν ἐν οἴκῳ Κυρίου.
