[LXX | EL | OT | 1 Chronicles | Chapter 27 | Verse 1] Καὶ υἱοὶ Ἰσραὴλ κατὰ ἀριθμὸν αὐτῶν ἄρχοντες τῶν πατριῶν, χιλίαρχοι καὶ ἑκατόνταρχοι, καὶ γραμματεῖς οἱ λειτουργοῦντες τῷ βασιλεῖ καὶ εἰς πᾶν λόγον τοῦ βασιλέως κατὰ διαιρέσεις, πᾶν λόγον τοῦ εἰσπορευομένου καὶ ἐκπορευομένου μῆνα ἐκ μηνὸς, εἰς πάντας τοὺς μῆνας τοῦ ἐνιαυτοῦ, διαίρεσις μία εἴκοσι καὶ τέσσαρες χιλιάδες.
[LXX | EL | OT | 1 Chronicles | Chapter 27 | Verse 12] Ὁ ἔννατος τῷ μηνὶ τῷ ἐννάτῳ Ἀβιέζερ ὁ ἐξ Ἀναθὼθ ὁ ἐκ γῆς Βενιαμὶν, καὶ ἐπὶ τῆς διαιρέσεως αὐτοῦ τέσσαρες καὶ εἴκοσι χιλιάδες.
[LXX | EL | OT | 1 Chronicles | Chapter 27 | Verse 13] Ὁ δέκατος τῷ μηνὶ τῷ δεκάτῳ Μεηρὰ ὁ ἐκ Νετωφαθὶ τῷ Ζαραῒ, καὶ ἐπὶ τῆς διαιρέσεως αὐτοῦ εἴκοσι καὶ τέσσαρες χιλιάδες.
[LXX | EL | OT | 1 Chronicles | Chapter 27 | Verse 14] Ὁ ἑνδέκατος τῷ μηνὶ τῷ ἑνδεκάτῳ Βαναίας ὁ ἐκ Φαραθὼν ἐκ τῶν υἱῶν Ἐφραὶμ, καὶ ἐπὶ τῆς διαιρέσεως αὐτοῦ εἴκοσι καὶ τέσσαρες χιλιάδες.
[LXX | EL | OT | 1 Chronicles | Chapter 27 | Verse 15] Ὁ δωδέκατος εἰς τὸν μῆνα τὸν δωδέκατον Χολδία ὁ ἐκ Νετωφαθὶ τῷ Γοθονιὴλ, καὶ ἐπὶ τῆς διαιρέσεως αὐτοῦ εἴκοσι καὶ τέσσαρες χιλιάδες.
[LXX | EL | OT | 1 Chronicles | Chapter 27 | Verse 16] Καὶ ἐπὶ τῶν φυλῶν Ἰσραὴλ, τῷ Ῥουβὴν ἡγούμενος Ἐλιέζερ ὁ τοῦ Ζεχρί· τῷ Συμεὼν, Σαφατίας ὁ τοῦ Μααχά.
[LXX | EL | OT | 1 Chronicles | Chapter 27 | Verse 17] Τῷ Λευὶ, Ἀσαβίας ὁ τοῦ Καμουήλ· τῷ Ἀαρὼν, Σαδώκ.
[LXX | EL | OT | 1 Chronicles | Chapter 27 | Verse 18] Τῷ Ἰούδα, Ἐλιὰβ τῶν ἀδελφῶν Δαυίδ· τῷ Ἰσσάχαρ, Ἀμβρὶ ὁ τοῦ Μιχαήλ.
[LXX | EL | OT | 1 Chronicles | Chapter 27 | Verse 19] Τῷ Ζαβουλὼν, Σαμαΐας ὁ τοῦ Ἀβδίου· τῷ Νεφθαλὶ, Ἰεριμὼθ ὁ τοῦ Ὀζιήλ.
[LXX | EL | OT | 1 Chronicles | Chapter 27 | Verse 20] Τῷ Ἐφραὶμ, Ὠσὴ ὁ τοῦ Ὀζίου· τῷ ἡμίσει φυλῆς Μανασσῆ, Ἰωὴλ υἱὸς Φαδαΐα.
[LXX | EL | OT | 1 Chronicles | Chapter 27 | Verse 21] Τῷ ἡμίσει φυλῆς Μανασσῆ τῷ ἐν γῇ Γαλαὰδ, Ἰαδαῒ ὁ τοῦ Ζαδαίου· τοῖς υἱοῖς Βενιαμὶν, Ἰασιὴλ ὁ τοῦ Ἀβεννήρ.
[LXX | EL | OT | 1 Chronicles | Chapter 27 | Verse 22] Τῷ Δὰν, Ἀζαριὴλ ὁ τοῦ Ἰρωάβ· οὗτοι πατριάρχαι τῶν φυλῶν Ἰσραήλ.
[LXX | EL | OT | 1 Chronicles | Chapter 27 | Verse 23] Καὶ οὐκ ἔλαβε Δαυὶδ τὸν ἀριθμὸν αὐτῶν ἀπὸ εἰκοσαετοῦς καὶ κάτω, ὅτι εἶπε Κύριος πληθῦναι τὸν Ἰσραὴλ ὡς τοὺς ἀστέρας τοῦ οὐρανοῦ.
[LXX | EL | OT | 1 Chronicles | Chapter 27 | Verse 24] Καὶ Ἰωὰβ ὁ τοῦ Σαρουία ἤρξατο ἀριθμεῖν ἐν τῷ λαῷ, καὶ οὐ συνετέλεσε· καὶ ἐγένετο ἐν τούτοις ὀργὴ ἐπὶ Ἰσραήλ· καὶ οὐ κατεχωρίσθη ὁ ἀριθμὸς ἐν βιβλίῳ λόγων τῶν ἡμερῶν τοῦ βασιλέως Δαυίδ.
[LXX | EL | OT | 1 Chronicles | Chapter 27 | Verse 25] Καὶ ἐπὶ τῶν θησαυρῶν τοῦ βασιλέως, Ἀσμὼθ ὁ τοῦ Ὀδιὴλ, καὶ ἐπὶ τῶν θησαυρῶν τῶν ἐν ἀγρῷ καὶ ἐν ταῖς κώμαις καὶ ἐν τοῖς ἐποικίοις καὶ ἐν τοῖς πύργοις, Ἰωνάθαν ὁ τοῦ Ὀζίου.
[LXX | EL | OT | 1 Chronicles | Chapter 27 | Verse 26] Καὶ ἐπὶ τῶν γεωργούντων τὴν γῆν τῶν ἐργαζομένων, Ἐσδρὶ ὁ τοῦ Χελούβ.
[LXX | EL | OT | 1 Chronicles | Chapter 27 | Verse 27] Καὶ ἐπὶ τῶν χωρίων, Σεμεῒ ὁ ἐκ Ῥαὴλ, καὶ ἐπὶ τῶν θησαυρῶν τῶν ἐν τοῖς χωρίοις τοῦ οἴνου, Ζαβδὶ ὁ τοῦ Σεφνί.
[LXX | EL | OT | 1 Chronicles | Chapter 27 | Verse 28] Καὶ ἐπὶ τῶν ἐλαιώνων, καὶ ἐπὶ τῶν συκαμίνων τῶν ἐν τῇ πεδινῇ, Βαλλανὰν ὁ Γεδωρίτης· ἐπὶ δὲ τῶν θησαυρῶν τοῦ ἐλαίου, Ἰωάς.
[LXX | EL | OT | 1 Chronicles | Chapter 27 | Verse 29] Καὶ ἐπὶ τῶν βοῶν τῶν νομάδων τῶν ἐν τῷ Σαρὼν, Σατραῒ ὁ Σαρωνίτης· καὶ ἐπὶ τῶν βοῶν τῶν ἐν τοῖς αὐλῶσι, Σωφὰτ, ὁ τοῦ Ἀδλί·
[LXX | EL | OT | 1 Chronicles | Chapter 27 | Verse 30] Ἐπὶ δὲ τῶν καμήλων, Ἀβίας ὁ Ἰσμαηλίτης· ἐπὶ δὲ τῶν ὄνων, Ἰαδίας ὁ ἐκ Μεραθών.
[LXX | EL | OT | 1 Chronicles | Chapter 27 | Verse 31] Καὶ ἐπὶ τῶν προβάτων, Ἰαζὶζ ὁ Ἀγαρίτης· πάντες οὗτοι προστάται ὑπαρχόντων Δαυὶδ τοῦ βασιλέως.
[LXX | EL | OT | 1 Chronicles | Chapter 27 | Verse 32] Καὶ Ἰωνάθαν ὁ πατράδελφος Δαυὶδ σύμβουλος, ἄνθρωπος συνετός· καὶ Ἰεὴλ ὁ τοῦ Ἀχαμὶ μετὰ τῶν υἱῶν τοῦ βασιλέως.
[LXX | EL | OT | 1 Chronicles | Chapter 27 | Verse 33] Ἀχιτόφελ σύμβουλος τοῦ βασιλέως, καὶ Χουσὶ ὁ πρῶτος φίλος τοῦ βασιλέως·
[LXX | EL | OT | 1 Chronicles | Chapter 27 | Verse 34] Καὶ μετὰ τοῦτον Ἀχιτόφελ ἐχόμενος Ἰωδαὲ ὁ τοῦ Βαναίου, καὶ Ἀβιάθαρ· καὶ Ἰωὰβ ἀρχιστράτηγος τοῦ βασιλέως.
