[ERV | EN | OT | Exodus | Chapter 25 | Verse 1] And the LORD spake unto Moses, saying,
[ERV | EN | OT | Exodus | Chapter 25 | Verse 24] And thou shalt overlay it with pure gold, and make thereto a crown of gold round about.
[ERV | EN | OT | Exodus | Chapter 25 | Verse 25] And thou shalt make unto it a border of an handbreadth round about, and thou shalt make a golden crown to the border thereof round about.
[ERV | EN | OT | Exodus | Chapter 25 | Verse 26] And thou shalt make for it four rings of gold, and put the rings in the four corners that are on the four feet thereof.
[ERV | EN | OT | Exodus | Chapter 25 | Verse 27] Close by the border shall the rings be, for places for the staves to bear the table.
[ERV | EN | OT | Exodus | Chapter 25 | Verse 28] And thou shalt make the staves of acacia wood, and overlay them with gold, that the table may be borne with them.
[ERV | EN | OT | Exodus | Chapter 25 | Verse 29] And thou shalt make the dishes thereof, and the spoons thereof, and the flagons thereof, and the bowls thereof, to pour out withal: of pure gold shalt thou make them.
[ERV | EN | OT | Exodus | Chapter 25 | Verse 30] And thou shalt set upon the table shewbread before me alway.
[ERV | EN | OT | Exodus | Chapter 25 | Verse 31] And thou shalt make a candlestick of pure gold: of beaten work shall the candlestick be made, even its base, and its shaft; its cups, its knops, and its flowers, shall be of one piece with it:
[ERV | EN | OT | Exodus | Chapter 25 | Verse 32] and there shall be six branches going out of the sides thereof; three branches of the candlestick out of the one side thereof, and three branches of the candlestick out of the other side thereof:
[ERV | EN | OT | Exodus | Chapter 25 | Verse 33] three cups made like almond-blossoms in one branch, a knop and a flower; and three cups made like almond-blossoms in the other branch, a knop and a flower: so for the six branches going out of the candlestick:
[ERV | EN | OT | Exodus | Chapter 25 | Verse 34] and in the candlestick four cups made like almond-blossoms, the knops thereof, and the flowers thereof:
[ERV | EN | OT | Exodus | Chapter 25 | Verse 35] and a knop under two branches of one piece with it, and a knop under two branches of one piece with it, and a knop under two branches of one piece with it, for the six branches going out of the candlestick.
[ERV | EN | OT | Exodus | Chapter 25 | Verse 36] Their knops and their branches shall be of one piece with it: the whole of it one beaten work of pure gold.
[ERV | EN | OT | Exodus | Chapter 25 | Verse 37] And thou shalt make the lamps thereof, seven: and they shall light the lamps thereof, to give light over against it.
[ERV | EN | OT | Exodus | Chapter 25 | Verse 38] And the tongs thereof, and the snuffdishes thereof, shall be of pure gold.
[ERV | EN | OT | Exodus | Chapter 25 | Verse 39] Of a talent of pure gold shall it be made, with all these vessels.
[ERV | EN | OT | Exodus | Chapter 25 | Verse 40] And see that thou make them after their pattern, which hath been shewed thee in the mount.
