[BBE | EN | OT | Exodus | Chapter 28 | Verse 1] Now let Aaron your brother, and his sons with him, come near from among the children of Israel, so that they may be my priests, even Aaron, and Nadab, Abihu, Eleazar, and Ithamar, his sons.
[BBE | EN | OT | Exodus | Chapter 28 | Verse 15] And make a priest's bag for giving decisions, designed like the ephod, made of gold and blue and purple and red and the best linen.
[BBE | EN | OT | Exodus | Chapter 28 | Verse 16] It is to be square, folded in two, a hand-stretch long and a hand-stretch wide.
[BBE | EN | OT | Exodus | Chapter 28 | Verse 17] And on it you are to put four lines of jewels; the first line is to be a cornelian, a chrysolite, and an emerald;
[BBE | EN | OT | Exodus | Chapter 28 | Verse 18] The second, a ruby, a sapphire, and an onyx;
[BBE | EN | OT | Exodus | Chapter 28 | Verse 19] The third, a jacinth, an agate, and an amethyst;
[BBE | EN | OT | Exodus | Chapter 28 | Verse 20] The fourth, a topaz, a beryl, and a jasper; they are to be fixed in twisted frames of gold.
[BBE | EN | OT | Exodus | Chapter 28 | Verse 21] The jewels are to be twelve in number, for the names of the children of Israel; every jewel having the name of one of the twelve tribes cut on it as on a stamp.
[BBE | EN | OT | Exodus | Chapter 28 | Verse 22] And you are to make two chains of gold, twisted like cords, to be fixed to the priest's bag.
[BBE | EN | OT | Exodus | Chapter 28 | Verse 23] And put two gold rings on the two ends of the bag.
[BBE | EN | OT | Exodus | Chapter 28 | Verse 24] Put the two gold chains on the two rings at the ends of the bag;
[BBE | EN | OT | Exodus | Chapter 28 | Verse 25] Joining the other ends of the chains to the gold frames and putting them on the front of the ephod, at the top of the arms.
[BBE | EN | OT | Exodus | Chapter 28 | Verse 26] Then make two gold rings and put them on the lower ends of the bag, at the edge of it on the inner side nearest to the ephod.
[BBE | EN | OT | Exodus | Chapter 28 | Verse 27] And make two more gold rings and put them on the front of the ephod at the top of the arms, at the join, over the worked band:
[BBE | EN | OT | Exodus | Chapter 28 | Verse 28] So that the rings on the bag may be fixed to the rings of the ephod by a blue cord and on to the band of the ephod, so that the bag may not come loose from the ephod.
[BBE | EN | OT | Exodus | Chapter 28 | Verse 29] And so Aaron will have the names of the children of Israel on the priest's bag over his heart whenever he goes into the holy place, to keep the memory of them before the Lord.
[BBE | EN | OT | Exodus | Chapter 28 | Verse 30] And in the bag you are to put the Urim and Thummim, so that they may be on Aaron's heart whenever he goes in before the Lord; and Aaron may have the power of making decisions for the children of Israel before the Lord at all times.
[BBE | EN | OT | Exodus | Chapter 28 | Verse 31] The robe which goes with the ephod is to be made all of blue;
[BBE | EN | OT | Exodus | Chapter 28 | Verse 32] With a hole at the top, in the middle of it; the hole is to be edged with a band to make it strong like the hole in the coat of a fighting-man, so that it may not be broken open.
[BBE | EN | OT | Exodus | Chapter 28 | Verse 33] And round the skirts of it put fruits in blue and purple and red, with bells of gold between;
[BBE | EN | OT | Exodus | Chapter 28 | Verse 34] A gold bell and a fruit in turn all round the skirts of the robe.
[BBE | EN | OT | Exodus | Chapter 28 | Verse 35] Aaron is to put it on for his holy work; and the sound of it will be clear, when he goes into the holy place before the Lord, and when he comes out, keeping him safe from death.
[BBE | EN | OT | Exodus | Chapter 28 | Verse 36] You are to make a plate of the best gold, cutting on it, as on a stamp, these words: HOLY TO THE LORD.
[BBE | EN | OT | Exodus | Chapter 28 | Verse 37] Put a blue cord on it and put it on the front of the twisted head-dress:
[BBE | EN | OT | Exodus | Chapter 28 | Verse 38] And it will be over Aaron's brow, so that Aaron will be responsible for any error in all the holy offerings made by the children of Israel; it will be on his brow at all times, so that their offerings may be pleasing to the Lord.
[BBE | EN | OT | Exodus | Chapter 28 | Verse 39] The coat is to be made of the best linen, worked in squares; and you are to make a head-dress of linen, and a linen band worked in needlework.
[BBE | EN | OT | Exodus | Chapter 28 | Verse 40] And for Aaron's sons you are to make coats, and bands, and head-dresses, so that they may be clothed with glory and honour.
[BBE | EN | OT | Exodus | Chapter 28 | Verse 41] These you are to put on Aaron, your brother, and on his sons, putting oil on them, separating them and making them holy, to do the work of priests to me.
[BBE | EN | OT | Exodus | Chapter 28 | Verse 42] And you are to make them linen trousers, covering their bodies from the middle to the knee;
[BBE | EN | OT | Exodus | Chapter 28 | Verse 43] Aaron and his sons are to put these on whenever they go into the Tent of meeting or come near the altar, when they are doing the work of the holy place, so that they may be free from any sin causing death: this is to be an order for him and his seed after him for ever.
