[IRV | PA | NT | Revelation | Chapter 22 | Verse 1] ਉਸ ਨੇ ਅੰਮ੍ਰਿਤ ਜਲ ਦੀ ਇੱਕ ਨਦੀ ਬਲੌਰ ਵਾਂਗੂੰ ਸਾਫ਼ ਪਰਮੇਸ਼ੁਰ ਅਤੇ ਲੇਲੇ ਦੇ ਸਿੰਘਾਸਣ ਵਿੱਚੋਂ ਨਿੱਕਲਦੀ, ਉਸ ਨਗਰੀ ਦੇ ਚੌਂਕ ਦੇ ਵਿਚਕਾਰ ਮੈਨੂੰ ਵਿਖਾਈ।
[IRV | PA | NT | Revelation | Chapter 22 | Verse 12] ਵੇਖ, ਮੈਂ ਛੇਤੀ ਆਉਂਦਾ ਹਾਂ ਅਤੇ ਹਰੇਕ ਮਨੁੱਖ ਨੂੰ ਉਸ ਦੇ ਕੰਮਾਂ ਅਨੁਸਾਰ ਦੇਣ ਲਈ ਫਲ ਮੇਰੇ ਕੋਲ ਹੈ।
[IRV | PA | NT | Revelation | Chapter 22 | Verse 13] ਮੈਂ ਅਲਫਾ ਅਤੇ ਓਮੇਗਾ, ਪਹਿਲਾ ਅਤੇ ਪਿਛਲਾ, ਆਦ ਅਤੇ ਅੰਤ ਹਾਂ।
[IRV | PA | NT | Revelation | Chapter 22 | Verse 14] ਧੰਨ ਉਹ ਜਿਹੜੇ ਆਪਣੇ ਬਸਤਰ ਧੋ ਲੈਂਦੇ ਹਨ ਭਈ ਉਹਨਾਂ ਨੂੰ ਜੀਵਨ ਦੇ ਬਿਰਛ ਦੇ ਉੱਤੇ ਹੱਕ ਹੋਵੇ ਅਤੇ ਉਹ ਦਰਵਾਜਿਆਂ ਰਾਹੀਂ ਉਸ ਨਗਰੀ ਦੇ ਅੰਦਰ ਜਾਣ।
[IRV | PA | NT | Revelation | Chapter 22 | Verse 15] ਬਾਹਰ ਹਨ ਕੁੱਤੇ, ਜਾਦੂਗਰ, ਹਰਾਮਕਾਰ, ਖੂਨੀ, ਮੂਰਤੀ ਪੂਜਕ ਅਤੇ ਹਰ ਕੋਈ ਜਿਹੜਾ ਝੂਠ ਨੂੰ ਪਸੰਦ ਕਰਦਾ ਅਤੇ ਕਮਾਉਂਦਾ ਹੈ।
[IRV | PA | NT | Revelation | Chapter 22 | Verse 16] ਮੈਂ ਯਿਸੂ ਨੇ ਕਲੀਸਿਯਾਵਾਂ ਦੇ ਲਈ ਇਨ੍ਹਾਂ ਗੱਲਾਂ ਦੀ ਗਵਾਹੀ ਦੇਣ ਨੂੰ ਤੁਹਾਡੇ ਕੋਲ ਆਪਣਾ ਦੂਤ ਭੇਜਿਆ ਹੈ। ਮੈਂ ਦਾਊਦ ਦੀ ਜੜ੍ਹ ਅਤੇ ਅੰਸ ਹਾਂ। ਮੈਂ ਸਵੇਰ ਦਾ ਚਮਕਦਾ ਤਾਰਾ ਹਾਂ।
[IRV | PA | NT | Revelation | Chapter 22 | Verse 17] ਆਤਮਾ ਅਤੇ ਲਾੜੀ ਆਖਦੀ ਹੈ, ਆਓ! ਜਿਹੜਾ ਸੁਣਦਾ ਹੋਵੇ ਉਹ ਆਖੇ ਆਓ! ਅਤੇ ਜਿਹੜਾ ਤਿਹਾਇਆ ਹੋਵੇ ਉਹ ਆਵੇ। ਜਿਹੜਾ ਚਾਹੇ ਉਹ ਅੰਮ੍ਰਿਤ ਜਲ ਮੁਫ਼ਤ ਲਵੇ।
[IRV | PA | NT | Revelation | Chapter 22 | Verse 18] ਮੈਂ ਹਰ ਇੱਕ ਦੇ ਅੱਗੇ ਜਿਹੜਾ ਇਸ ਪੋਥੀ ਦੇ ਅਗੰਮ ਵਾਕ ਦੀਆਂ ਲਿਖਤਾਂ ਸੁਣਦਾ ਹੈ, ਗਵਾਹੀ ਦਿੰਦਾ ਹਾਂ। ਜੇ ਕੋਈ ਇਨ੍ਹਾਂ ਵਿੱਚ ਕੁਝ ਵਧਾਵੇ ਤਾਂ ਉਹ ਮਹਾਂਮਾਰੀਆਂ ਜਿਹੜੀਆਂ ਇਸ ਪੋਥੀ ਵਿੱਚ ਲਿਖੀਆਂ ਹੋਈਆਂ ਹਨ, ਪਰਮੇਸ਼ੁਰ ਉਸ ਉੱਤੇ ਵਧਾਵੇਗਾ।
[IRV | PA | NT | Revelation | Chapter 22 | Verse 19] ਅਤੇ ਜੇ ਕੋਈ ਇਸ ਅਗੰਮ ਵਾਕ ਦੀ ਪੋਥੀ ਦੀਆਂ ਲਿਖਤਾਂ ਵਿੱਚੋਂ ਕੁਝ ਘਟਾਵੇ ਤਾਂ ਜੀਵਨ ਦੇ ਬਿਰਛ ਤੋਂ ਅਤੇ ਪਵਿੱਤਰ ਨਗਰੀ ਵਿੱਚੋਂ ਅਰਥਾਤ ਉਨ੍ਹਾਂ ਗੱਲਾਂ ਵਿੱਚੋਂ ਜਿਹੜੀਆਂ ਇਸ ਪੋਥੀ ਵਿੱਚ ਲਿਖੀਆਂ ਹੋਈਆਂ ਹਨ, ਪਰਮੇਸ਼ੁਰ ਉਹ ਦਾ ਹਿੱਸਾ ਘਟਾਵੇਗਾ।
[IRV | PA | NT | Revelation | Chapter 22 | Verse 20] ਜਿਹੜਾ ਇਨ੍ਹਾਂ ਗੱਲਾਂ ਦੀ ਗਵਾਹੀ ਦਿੰਦਾ ਹੈ ਉਹ ਆਖਦਾ ਹੈ ਕਿ ਹਾਂ, ਮੈਂ ਛੇਤੀ ਆਉਂਦਾ ਹਾਂ। ਆਮੀਨ। ਹੇ ਪ੍ਰਭੂ ਯਿਸੂ, ਆਓ!
[IRV | PA | NT | Revelation | Chapter 22 | Verse 21] ਪ੍ਰਭੂ ਯਿਸੂ ਦੀ ਕਿਰਪਾ ਸੰਤਾਂ ਦੇ ਉੱਤੇ ਹੋਵੇ। ਆਮੀਨ।
