[BBE | EN | OT | Nehemiah | Chapter 11 | Verse 1] And the rulers of the people were living in Jerusalem: the rest of the people made selection, by the decision of chance, of one out of every ten to be living in Jerusalem, the holy town; the other nine to go to the other towns.
[BBE | EN | OT | Nehemiah | Chapter 11 | Verse 18] All the Levites in the holy town were two hundred and eighty-four.
[BBE | EN | OT | Nehemiah | Chapter 11 | Verse 19] In addition the door-keepers, Akkub, Talmon, and their brothers who kept watch at the doors, were a hundred and seventy-two.
[BBE | EN | OT | Nehemiah | Chapter 11 | Verse 20] And the rest of Israel, of the priests, the Levites, were in all the towns of Judah, every one in his heritage.
[BBE | EN | OT | Nehemiah | Chapter 11 | Verse 21] But the Nethinim were living in the Ophel; and Ziha and Gishpa were over the Nethinim.
[BBE | EN | OT | Nehemiah | Chapter 11 | Verse 22] And the overseer of the Levites at Jerusalem was Uzzi, the son of Bani, the son of Hashabiah, the son of Mattaniah, the son of Mica, of the sons of Asaph, the music-makers, who was over the business of the house of God.
[BBE | EN | OT | Nehemiah | Chapter 11 | Verse 23] For there was an order from the king about them and a regular amount for the music-makers, for their needs day by day.
[BBE | EN | OT | Nehemiah | Chapter 11 | Verse 24] And Pethahiah, the son of Meshezabel, of the sons of Zerah, the son of Judah, was the king's servant in everything to do with the people.
[BBE | EN | OT | Nehemiah | Chapter 11 | Verse 25] And for the daughter-towns with their fields, some of the men of Judah were living in Kiriath-arba and its daughter-towns, and in Dibon and its daughter-towns, and in Jekabzeel and its daughter-towns,
[BBE | EN | OT | Nehemiah | Chapter 11 | Verse 26] And in Jeshua, and in Moladah, and Beth-pelet,
[BBE | EN | OT | Nehemiah | Chapter 11 | Verse 27] And in Hazar-shual, and in Beer-sheba and its daughter-towns,
[BBE | EN | OT | Nehemiah | Chapter 11 | Verse 28] And in Ziklag, and in Meconah and its daughter-towns,
[BBE | EN | OT | Nehemiah | Chapter 11 | Verse 29] And in En-rimmon, and in Zorah, and in Jarmuth,
[BBE | EN | OT | Nehemiah | Chapter 11 | Verse 30] Zanoah, Adullam and their daughter-towns, Lachish and its fields, Azekah and its daughter-towns. So they were living from Beer-sheba to the valley of Hinnom.
[BBE | EN | OT | Nehemiah | Chapter 11 | Verse 31] And the children of Benjamin were living from Geba, at Michmash and Aija, and at Beth-el and its daughter-towns,
[BBE | EN | OT | Nehemiah | Chapter 11 | Verse 32] At Anathoth, Nob, Ananiah,
[BBE | EN | OT | Nehemiah | Chapter 11 | Verse 33] Hazor, Ramah, Gittaim,
[BBE | EN | OT | Nehemiah | Chapter 11 | Verse 34] Hadid, Zeboim, Neballat,
[BBE | EN | OT | Nehemiah | Chapter 11 | Verse 35] Lod and Ono, the valley of expert workers.
[BBE | EN | OT | Nehemiah | Chapter 11 | Verse 36] And of the Levites, certain divisions in Judah were joined to Benjamin.
