[LXX | EL | OT | Job | Chapter 5 | Verse 1] Ἐπικαλέσαι δὲ εἴ τις σοι ὑπακούσεται, ἢ εἴ τινα ἀγγέλων ἁγίων ὄψῃ·
[LXX | EL | OT | Job | Chapter 5 | Verse 12] διαλλάσσοντα βουλὰς πανούργων, καὶ οὐ μὴ ποιήσουσιν αἱ χεῖρες αὐτῶν ἀληθές·
[LXX | EL | OT | Job | Chapter 5 | Verse 13] ὁ καταλαμβάνων σοφοὺς ἐν τῇ φρονήσει, βουλὴν δὲ πολυπλόκων ἐξέστησεν.
[LXX | EL | OT | Job | Chapter 5 | Verse 14] Ἡμέρας συναντήσεται αὐτοῖς σκότος, τὸ δὲ μεσημβρινὸν ψηλαφήσαισαν ἶσα νυκτὶ,
[LXX | EL | OT | Job | Chapter 5 | Verse 15] ἀπόλοιντο δὲ ἐν πολέμῳ· ἀδύνατος δὲ ἐξέλθοι ἐκ χειρὸς δυνάστου.
[LXX | EL | OT | Job | Chapter 5 | Verse 16] Εἴη δὲ ἀδυνάτῳ ἐλπὶς, ἀδίκου δὲ στόμα ἐμφραχθείη.
[LXX | EL | OT | Job | Chapter 5 | Verse 17] Μακάριος δὲ ἄνθρωπος ὃν ἤλεγξεν ὁ Κύριος, νουθέτημα δὲ παντοκράτορος μὴ ἀπαναίνου.
[LXX | EL | OT | Job | Chapter 5 | Verse 18] Αὐτὸς γὰρ ἀλγεῖν ποιεῖ, καὶ πάλιν ἀποκαθίστησιν· ἔπαισε, καὶ αἱ χεῖρες αὐτοῦ ἰάσαντο.
[LXX | EL | OT | Job | Chapter 5 | Verse 19] Ἑξάκις ἐξ ἀναγκῶν σε ἐξελεῖται, ἐν δὲ τῷ ἑβδόμῳ οὐ μὴ ἅψηταί σου κακόν.
[LXX | EL | OT | Job | Chapter 5 | Verse 20] Ἐν λιμῷ ῥύσεταί σε ἐκ θανάτου, ἐν πολέμῳ δὲ ἐκ χειρὸς σιδήρου λύσει σε.
[LXX | EL | OT | Job | Chapter 5 | Verse 21] Ἀπὸ μάστιγος γλώσσης σε κρύψει, καὶ οὐ μὴ φοβηθῇς ἀπὸ κακῶν ἐρχομένων.
[LXX | EL | OT | Job | Chapter 5 | Verse 22] Ἀδίκων καὶ ἀνόμων καταγελάσῃ· ἀπὸ δὲ θηρίων ἀγρίων οὐ μὴ φοβηθῇς·
[LXX | EL | OT | Job | Chapter 5 | Verse 23] Θῆρες γὰρ ἄγριοι εἰρηνεύσουσί σοι.
[LXX | EL | OT | Job | Chapter 5 | Verse 24] Εἶτα γνώσῃ ὅτι εἰρηνεύσει σου ὁ οἶκος· ἡ δὲ δίαιτα τῆς σκηνῆς σου οὐ μὴ ἁμάρτῃ.
[LXX | EL | OT | Job | Chapter 5 | Verse 25] Γνώσῃ δὲ ὅτι πολὺ τὸ σπέρμα σου, τὰ δὲ τέκνα σου ἔσται ὥσπερ τὸ παμβότανον τοῦ ἀγροῦ.
[LXX | EL | OT | Job | Chapter 5 | Verse 26] Ἐλεύσῃ δὲ ἐν τάφῳ ὥσπερ σῖτος ὥριμος κατὰ καιρὸν θεριζόμενος, ἢ ὥσπερ θιμωνία ἅλωνος καθʼ ὥραν συγκομισθεῖσα.
[LXX | EL | OT | Job | Chapter 5 | Verse 27] Ἰδοὺ ταῦτα οὕτως ἐξιχνιάσαμεν· ταῦτά ἐστιν ἃ ἀκηκόαμεν· σὺ δὲ γνῶθι σεαυτῷ, εἴ τι ἔπραξας.
