[LXX | EL | OT | Job | Chapter 39 | Verse 1] Εἰ ἔγνως καιρὸν τοκετοῦ τραγελάφων πέτρας, ἐφύλαξας δὲ ὠδῖνας ἐλάφων,
[LXX | EL | OT | Job | Chapter 39 | Verse 21] Ἀνορύσσων ἐν πεδίῳ γαυριᾷ, ἐκπορεύεται δὲ εἰς πεδίον ἐν ἰσχύϊ.
[LXX | EL | OT | Job | Chapter 39 | Verse 22] Συναντῶν βασιλεῖ καταγελᾷ, καὶ οὐ μὴν ἀποστραφῇ ἀπὸ σιδήρου.
[LXX | EL | OT | Job | Chapter 39 | Verse 23] Ἐπʼ αὐτῷ γαυριᾷ τόξον καὶ μάχαιρα,
[LXX | EL | OT | Job | Chapter 39 | Verse 24] καὶ ὀργὴ ἀφανιεῖ τὴν γῆν· καὶ οὐ μὴ πιστεύσει, ἕως ἂν σημάνῃ σάλπιγξ.
[LXX | EL | OT | Job | Chapter 39 | Verse 25] Σάλπιγγος δὲ σημαινούσης, λέγει, εὖγε· πόῤῥωθεν δὲ ὀσφραίνεται πολέμου σὺν ἅλματι καὶ κραυγῇ.
[LXX | EL | OT | Job | Chapter 39 | Verse 26] Ἐκ δὲ τῆς σῆς ἐπιστήμης ἕστηκεν ἱέραξ, ἀναπετάσας τὰς πτέρυγας, ἀκίνητος, καθορῶν τὰ πρὸς Νότον;
[LXX | EL | OT | Job | Chapter 39 | Verse 27] Ἐπὶ δὲ σῷ προστάγματι ὑψοῦται ἀετὸς, γὺψ δὲ ἐπὶ νοσσιᾶς αὐτοῦ καθεσθεὶς αὐλίζεται,
[LXX | EL | OT | Job | Chapter 39 | Verse 28] ἐπʼ ἐξοχῇ πέτρας, καὶ ἀποκρύφῳ,
[LXX | EL | OT | Job | Chapter 39 | Verse 29] ἐκεῖσε ὢν ζητεῖ τὰ σῖτα, πόῤῥωθεν οἱ ὀφθαλμοὶ αὐτοῦ σκοπεύουσι.
[LXX | EL | OT | Job | Chapter 39 | Verse 30] Νεοσσοὶ δὲ αὐτοῦ φύρονται ἐν αἵματι, οὗ δʼ ἂν ὦσι τεθνεῶτες, παραχρῆμα εὑρίσκονται.
