[WEBSTER | EN | OT | 2 Kings | Chapter 4 | Verse 1] Now there cried a certain woman of the wives of the sons of the prophets to Elisha, saying, Thy servant my husband is dead; and thou knowest that thy servant feared the LORD: and the creditor hath come to take to him my two sons to be bond-men.
[WEBSTER | EN | OT | 2 Kings | Chapter 4 | Verse 15] And he said, Call her. And when he had called her, she stood in the door.
[WEBSTER | EN | OT | 2 Kings | Chapter 4 | Verse 16] And he said, About this season, according to the time of life, thou shalt embrace a son. And she said, No, my lord, thou man of God, do not lie to thy handmaid.
[WEBSTER | EN | OT | 2 Kings | Chapter 4 | Verse 17] And the woman conceived, and bore a son at that season that Elisha had said to her, according to the time of life.
[WEBSTER | EN | OT | 2 Kings | Chapter 4 | Verse 18] And when the child was grown, it happened on a day, that he went out to his father to the reapers.
[WEBSTER | EN | OT | 2 Kings | Chapter 4 | Verse 19] And he said to his father, My head, my head. And he said to a lad, Carry him to his mother.
[WEBSTER | EN | OT | 2 Kings | Chapter 4 | Verse 20] And when he had taken him, and brought him to his mother, he sat on her knees till noon, and then died.
[WEBSTER | EN | OT | 2 Kings | Chapter 4 | Verse 21] And she went up, and laid him on the bed of the man of God, and shut the door upon him, and went out.
[WEBSTER | EN | OT | 2 Kings | Chapter 4 | Verse 22] And she called to her husband, and said, Send me, I pray thee, one of the young men, and one of the asses, that I may run to the man of God, and come again.
[WEBSTER | EN | OT | 2 Kings | Chapter 4 | Verse 23] And he said, Why wilt thou go to him to-day? it is neither new-moon, nor sabbath. And she said, It shall be well.
[WEBSTER | EN | OT | 2 Kings | Chapter 4 | Verse 24] Then she saddled an ass, and said to her servant, Drive, and go forward; slack not thy riding for me, except I bid thee.
[WEBSTER | EN | OT | 2 Kings | Chapter 4 | Verse 25] So she went and came to the man of God to mount Carmel. And it came to pass, when the man of God saw her afar off, that he said to Gehazi his servant, Behold, yonder is that Shunamite:
[WEBSTER | EN | OT | 2 Kings | Chapter 4 | Verse 26] Run now, I pray thee, to meet her, and say to her, Is it well with thee? Is it well with thy husband? Is it well with the child? and she answered, It is well.
[WEBSTER | EN | OT | 2 Kings | Chapter 4 | Verse 27] And when she came to the man of God to the hill, she caught him by the feet: but Gehazi came near to thrust her away. And the man of God said, Let her alone; for her soul is sorrowful within her: and the LORD hath hid it from me, and hath not told me?
[WEBSTER | EN | OT | 2 Kings | Chapter 4 | Verse 28] Then she said, Did I ask a son from my lord? did I not say, Do not deceive me.
[WEBSTER | EN | OT | 2 Kings | Chapter 4 | Verse 29] Then he said to Gehazi, Gird up thy loins and take my staff in thy hand, and go thy way: and if thou shalt meet any man, salute him not; and if any shall salute thee, answer him not again: and lay my staff upon the face of the child.
[WEBSTER | EN | OT | 2 Kings | Chapter 4 | Verse 30] And the mother of the child said, As the LORD liveth, and as thy soul liveth, I will not leave thee. And he arose, and followed her.
[WEBSTER | EN | OT | 2 Kings | Chapter 4 | Verse 31] And Gehazi passed on before them, and laid the staff upon the face of the child; but there was neither voice, nor hearing. Wherefore he went again to meet him, and told him, saying, The child is not awaked.
[WEBSTER | EN | OT | 2 Kings | Chapter 4 | Verse 32] And when Elisha had come into the house, behold, the child was dead, and laid upon his bed.
[WEBSTER | EN | OT | 2 Kings | Chapter 4 | Verse 33] He went in therefore, and shut the door upon them both, and prayed to the LORD.
[WEBSTER | EN | OT | 2 Kings | Chapter 4 | Verse 34] And he went up, and lay upon the child, and put his mouth upon his mouth, and his eyes upon his eyes, and his hands upon his hands: and he stretched himself upon the child; and the flesh of the child became warm.
[WEBSTER | EN | OT | 2 Kings | Chapter 4 | Verse 35] Then he returned, and walked in the house to and fro; and went up, and stretched himself upon him: and the child sneezed seven times, and the child opened his eyes.
[WEBSTER | EN | OT | 2 Kings | Chapter 4 | Verse 36] And he called Gehazi, and said, Call this Shunamite. So he called her. And when she had come in to him, he said, Take up thy son.
[WEBSTER | EN | OT | 2 Kings | Chapter 4 | Verse 37] Then she went in, and fell at his feet, and bowed herself to the ground, and took up her son, and went out.
[WEBSTER | EN | OT | 2 Kings | Chapter 4 | Verse 38] And Elisha came again to Gilgal. And there was a dearth in the land; and the sons of the prophets were sitting before him: and he said to his servant, Set on the great pot, and boil pottage for the sons of the prophets.
[WEBSTER | EN | OT | 2 Kings | Chapter 4 | Verse 39] And one went out into the field to gather herbs, and found a wild vine, and gathered from it wild gourds his lap full, and came and shred them into the pot of pottage: for they knew them not.
[WEBSTER | EN | OT | 2 Kings | Chapter 4 | Verse 40] So they poured out for the men to eat. And it came to pass, as they were eating of the pottage, that they cried out, and said, O thou man of God, there is death in the pot. And they could not eat of it .
[WEBSTER | EN | OT | 2 Kings | Chapter 4 | Verse 41] But he said, Then bring meal. And he cast it into the pot; and he said, Pour out for the people, that they may eat. And there was no harm in the pot.
[WEBSTER | EN | OT | 2 Kings | Chapter 4 | Verse 42] And there came a man from Baal-shalisha, and brought the man of God bread of the first fruits, twenty loaves of barley, and full ears of corn in its husk. And he said, Give to the people, that they may eat.
[WEBSTER | EN | OT | 2 Kings | Chapter 4 | Verse 43] And his servitor said, What, should I set this before a hundred men? He said again, Give the people, that they may eat: for thus saith the LORD, They shall eat, and shall leave of it .
[WEBSTER | EN | OT | 2 Kings | Chapter 4 | Verse 44] So he set it before them, and they ate, and left of it , according to the word of the LORD.
