[WEBSTER | EN | OT | 2 Kings | Chapter 9 | Verse 1] And Elisha the prophet called one of the children of the prophets, and said to him, Gird up thy loins, and take this box of oil in thy hand, and go to Ramoth-gilead:
[WEBSTER | EN | OT | 2 Kings | Chapter 9 | Verse 26] Surely I saw yesterday the blood of Naboth, and the blood of his sons, saith the LORD; and I will requite thee in this plat, saith the LORD. Now therefore take and cast him into the plat of ground , according to the word of the LORD.
[WEBSTER | EN | OT | 2 Kings | Chapter 9 | Verse 27] But when Ahaziah the king of Judah saw this , he fled by the way of the garden house. And Jehu followed him, and said, Smite him also in the chariot. And they did so at the going up to Gur, which is by Ibleam. And he fled to Megiddo, and died there.
[WEBSTER | EN | OT | 2 Kings | Chapter 9 | Verse 28] And his servants carried him in a chariot to Jerusalem, and buried him in his sepulcher with his fathers in the city of David.
[WEBSTER | EN | OT | 2 Kings | Chapter 9 | Verse 29] And in the eleventh year of Joram the son of Ahab began Ahaziah to reign over Judah.
[WEBSTER | EN | OT | 2 Kings | Chapter 9 | Verse 30] And when Jehu had come to Jezreel, Jezebel heard of it ; and she painted her face, and adorned her head, and looked out at a window.
[WEBSTER | EN | OT | 2 Kings | Chapter 9 | Verse 31] And as Jehu entered the gate, she said, Had Zimri peace, who slew his master?
[WEBSTER | EN | OT | 2 Kings | Chapter 9 | Verse 32] And he lifted up his face to the window, and said, Who is on my side? who? And there looked out to him two or three eunuchs.
[WEBSTER | EN | OT | 2 Kings | Chapter 9 | Verse 33] And he said, Throw her down. So they threw her down: and some of her blood was sprinkled on the wall, and on the horses: and he trod her under foot.
[WEBSTER | EN | OT | 2 Kings | Chapter 9 | Verse 34] And when he had come in, he ate, and drank, and said, Go, see now this cursed woman , and bury her: for she is a king's daughter.
[WEBSTER | EN | OT | 2 Kings | Chapter 9 | Verse 35] And they went to bury her: but they found no more of her than the skull, and the feet, and the palms of her hands.
[WEBSTER | EN | OT | 2 Kings | Chapter 9 | Verse 36] Wherefore they came again, and told him. And he said, This is the word of the LORD, which he spoke by his servant Elijah the Tishbite, saying, In the portion of Jezreel shall dogs eat the flesh of Jezebel:
[WEBSTER | EN | OT | 2 Kings | Chapter 9 | Verse 37] And the carcass of Jezebel shall be as dung upon the face of the field in the portion of Jezreel; so that they shall not say, This is Jezebel.
