[YLT | EN | OT | Deuteronomy | Chapter 32 | Verse 1] 'Give ear, O heavens, and I speak; And thou dost hear, O earth, sayings of my mouth!
[YLT | EN | OT | Deuteronomy | Chapter 32 | Verse 23] I gather upon them evils, Mine arrows I consume upon them.
[YLT | EN | OT | Deuteronomy | Chapter 32 | Verse 24] Exhausted by famine, And consumed by heat, and bitter destruction. And the teeth of beasts I send upon them, With poison of fearful things of the dust.
[YLT | EN | OT | Deuteronomy | Chapter 32 | Verse 25] Without bereave doth the sword, And at the inner-chambers — fear, Both youth and virgin, Suckling with man of grey hair.
[YLT | EN | OT | Deuteronomy | Chapter 32 | Verse 26] I have said: I blow them away, I cause their remembrance to cease from man;
[YLT | EN | OT | Deuteronomy | Chapter 32 | Verse 27] If not — the anger of an enemy I fear, Lest their adversaries know — Lest they say, Our hand is high, And Jehovah hath not wrought all this.
[YLT | EN | OT | Deuteronomy | Chapter 32 | Verse 28] For a nation lost to counsels [are] they, And there is no understanding in them.
[YLT | EN | OT | Deuteronomy | Chapter 32 | Verse 29] If they were wise — They deal wisely [with] this; They attend to their latter end:
[YLT | EN | OT | Deuteronomy | Chapter 32 | Verse 30] How doth one pursue a thousand, And two cause a myriad to flee! If not — that their rock hath sold them, And Jehovah hath shut them up?
[YLT | EN | OT | Deuteronomy | Chapter 32 | Verse 31] For not as our Rock [is] their rock, (And our enemies [are] judges!)
[YLT | EN | OT | Deuteronomy | Chapter 32 | Verse 32] For of the vine of Sodom their vine [is], And of the fields of Gomorrah; Their grapes [are] grapes of gall — They have bitter clusters;
[YLT | EN | OT | Deuteronomy | Chapter 32 | Verse 33] The poison of dragons [is] their wine And the fierce venom of asps.
[YLT | EN | OT | Deuteronomy | Chapter 32 | Verse 34] Is it not laid up with Me? Sealed among My treasures?
[YLT | EN | OT | Deuteronomy | Chapter 32 | Verse 35] Mine [are] vengeance and recompense, At the due time — doth their foot slide; For near is a day of their calamity, And haste do things prepared for them.
[YLT | EN | OT | Deuteronomy | Chapter 32 | Verse 36] For Jehovah doth judge His people, And for His servants doth repent Himself. For He seeth — the going away of power, And none is restrained and left.
[YLT | EN | OT | Deuteronomy | Chapter 32 | Verse 37] And He hath said, Where [are] their gods — The rock in which they trusted;
[YLT | EN | OT | Deuteronomy | Chapter 32 | Verse 38] Which the fat of their sacrifices do eat, They drink the wine of their libation! Let them arise and help you, Let it be for you a hiding-place!
[YLT | EN | OT | Deuteronomy | Chapter 32 | Verse 39] See ye, now, that I — I [am] He, And there is no god with Me: I put to death, and I keep alive; I have smitten, and I heal; And there is not from My hand a deliverer,
[YLT | EN | OT | Deuteronomy | Chapter 32 | Verse 40] For I lift up unto the heavens My hand, And have said, I live — to the age!
[YLT | EN | OT | Deuteronomy | Chapter 32 | Verse 41] If I have sharpened the brightness of My sword, And My hand doth lay hold on judgment, I turn back vengeance to Mine adversaries, And to those hating Me — I repay!
[YLT | EN | OT | Deuteronomy | Chapter 32 | Verse 42] I make drunk Mine arrows with blood, And My sword devoureth flesh, From the blood of the pierced and captive, From the head of the freemen of the enemy.
[YLT | EN | OT | Deuteronomy | Chapter 32 | Verse 43] Sing ye nations — [with] his people, For the blood of His servants He avengeth, And vengeance He turneth back on His adversaries, And hath pardoned His land — His people.'
[YLT | EN | OT | Deuteronomy | Chapter 32 | Verse 44] And Moses cometh and speaketh all the words of this song in the ears of the people, he and Hoshea son of Nun;
[YLT | EN | OT | Deuteronomy | Chapter 32 | Verse 45] and Moses finisheth to speak all these words unto all Israel,
[YLT | EN | OT | Deuteronomy | Chapter 32 | Verse 46] and saith unto them, 'Set your heart to all the words which I am testifying against you to-day, that ye command your sons to observe to do all the words of this law,
[YLT | EN | OT | Deuteronomy | Chapter 32 | Verse 47] for it [is] not a vain thing for you, for it [is] your life, and by this thing ye prolong days on the ground whither ye are passing over the Jordan to possess it.'
[YLT | EN | OT | Deuteronomy | Chapter 32 | Verse 48] And Jehovah speaketh unto Moses, in this self-same day, saying,
[YLT | EN | OT | Deuteronomy | Chapter 32 | Verse 49] 'Go up unto this mount Abarim, mount Nebo, which [is] in the land of Moab, which [is] on the front of Jericho, and see the land of Canaan which I am giving to the sons of Israel for a possession;
[YLT | EN | OT | Deuteronomy | Chapter 32 | Verse 50] and die in the mount whither thou art going up, and be gathered unto thy people, as Aaron thy brother hath died in the mount Hor, and is gathered unto his people:
[YLT | EN | OT | Deuteronomy | Chapter 32 | Verse 51] 'Because ye trespassed against me in the midst of the sons of Israel at the waters of Meribath-Kadesh, the wilderness of Zin — because ye sanctified Me not in the midst of the sons of Israel;
[YLT | EN | OT | Deuteronomy | Chapter 32 | Verse 52] but over-against thou seest the land, and thither thou dost not go in, unto the land which I am giving to the sons of Israel.'
