[LXX | EL | OT | Deuteronomy | Chapter 1 | Verse 1] ΟΥΤΟΙ οἱ λόγοι οὓς ἐλάλησε Μωυσῆς παντὶ Ἰσραὴλ πέραν τοῦ Ἰορδάνου ἐν τῇ ἐρήμῳ πρὸς δυσμαῖς πλησίον τῆς ἐρυθρᾶς θαλάσσης ἀναμέσον Φαρὰν Τοφὸλ, καὶ Λοβὸν, καὶ Αὐλῶν, καὶ καταχρύσεα.
[LXX | EL | OT | Deuteronomy | Chapter 1 | Verse 12] Πῶς δυνήσομαι μόνος φέρειν τὸν κόπον ὑμῶν καὶ τὴν ὑπόστασιν ὑμῶν καὶ τὰς ἀντιλογίας ὑμῶν;
[LXX | EL | OT | Deuteronomy | Chapter 1 | Verse 13] Δότε ἑαυτοῖς ἄνδρας σοφοὺς καὶ ἐπιστήμονας καὶ συνετοὺς εἰς τὰς φυλὰς ὑμῶν, καὶ καταστήσω ἐφʼ ὑμῶν, ἡγουμένους ὑμῶν.
[LXX | EL | OT | Deuteronomy | Chapter 1 | Verse 14] Καὶ ἀπεκρίθητέ μοι, καὶ εἴπατε, καλὸν τὸ ῥῆμα ὃ ἐλάλησας ποιῆσαι.
[LXX | EL | OT | Deuteronomy | Chapter 1 | Verse 15] Καὶ ἔλαβον ἐξ ὑμῶν ἄνδρας σοφοὺς καὶ ἐπιστήμονας καὶ συνετούς, καὶ κατέστησα αὐτοὺς ἡγεῖσθαι ἐφʼ ὑμῶν χιλιάρχους, καὶ ἑκατοντάρχους, καὶ πεντηκοντάρχους, καὶ δεκάρχους, καὶ γραμματοεισαγωγεῖς τοῖς κριταῖς ὑμῶν·
[LXX | EL | OT | Deuteronomy | Chapter 1 | Verse 16] Καὶ ἐνετειλάμην τοῖς κριταῖς ὑμῶν ἐν τῷ καιρῷ ἐκείνῳ, λέγων, διακούετε ἀναμέσον τῶν ἀδελφῶν ὑμῶν, καὶ κρίνατε δικαίως ἀναμέσον ἀνδρὸς, καὶ ἀναμέσον ἀδελφοῦ, καὶ ἀναμέσον προσηλύτου αὐτοῦ.
[LXX | EL | OT | Deuteronomy | Chapter 1 | Verse 17] Οὐκ ἐπιγνώσῃ πρόσωπον ἐν κρίσει, κατὰ τὸν μικρὸν καὶ κατὰ τὸν μέγαν κρινεῖς, οὐ μὴ ὑποστείλῃ πρόσωπον ἀνθρώπου, ὅτι ἡ κρίσις τοῦ Θεοῦ ἐστι· καὶ τὸ ῥῆμα ὃ ἐὰν σκληρὸν ἠ· ἀφʼ ὑμῶν, ἀνοίσετε αὐτὸ ἐπʼ ἐμὲ, καὶ ἀκούσομαι αὐτό.
[LXX | EL | OT | Deuteronomy | Chapter 1 | Verse 18] Καὶ ἐνετειλάμην ὑμῖν ἐν τῷ καιρῷ ἐκείνῳ πάντας τοὺς λόγους, οὓς ποιήσετε.
[LXX | EL | OT | Deuteronomy | Chapter 1 | Verse 19] Καὶ ἀπάραντες ἐκ Χωρὴβ ἐπορεύθημεν πᾶσαν τὴν ἔρημον τὴν μεγάλην καὶ τὴν φοβερὰν ἐκείνην, ἣν εἴδετε, ὁδὸν ὄρους τοῦ Ἀμοῤῥαίου, καθότι ἐνετείλατο Κύριος ὁ Θεὸς ἡμῶν ἡμῖν, καὶ ἤλθομεν ἕως Κάδης Βαρνή.
[LXX | EL | OT | Deuteronomy | Chapter 1 | Verse 20] Καὶ εἶπα πρὸς ὑμᾶς, ἤλθατε ἕως τοῦ ὄρους τοῦ Ἀμοῤῥαίου, ὃ Κύριος ὁ Θεὸς ἡμῶν δίδωσιν ὑμῖν.
[LXX | EL | OT | Deuteronomy | Chapter 1 | Verse 21] Ἴδετε, παραδέδωκεν ὑμῖν Κύριος ὁ Θεὸς ὑμῶν πρὸ προσώπου ὑμῶν τὴν γῆν· ἀναβάντες κληρονομήσατε ὃν τρόπον εἶπε Κύριος ὁ Θεὸς τῶν πατέρων ὑμῶν ὑμῖν· μὴ φοβεῖσθε, μηδὲ δειλιάσητε.
[LXX | EL | OT | Deuteronomy | Chapter 1 | Verse 22] Καὶ προσήλθατέ μοι πάντες, καὶ εἴπατε, Ἀποστείλωμεν ἄνδρας προτέρους ἡμῶν, καὶ ἐφοδευσάτωσαν ἡμῖν τὴν γῆν, καὶ ἀναγγειλάτωσαν ἡμῖν ἀπόκρισιν τὴν ὁδὸν διʼ ἧς ἀναβησόμεθα ἐν αὐτῇ, καὶ τὰς πόλεις εἰς ἃς εἰσπορευσόμεθα εἰς αὐτάς.
[LXX | EL | OT | Deuteronomy | Chapter 1 | Verse 23] Καὶ ἤρεσεν ἐναντίον μου τὸ ῥῆμα· καὶ ἔλαβον ἐξ ὑμῶν δώδεκα ἄνδρας, ἄνδρα ἕνα κατά φυλήν.
[LXX | EL | OT | Deuteronomy | Chapter 1 | Verse 24] Καὶ ἐπιστραφέντες ἀνέβησαν εἰς τὸ ὄρος, καὶ ἤλθοσαν ἕως φάραγγος βότρυος, καὶ κατεσκόπευσαν αὐτήν.
[LXX | EL | OT | Deuteronomy | Chapter 1 | Verse 25] Καὶ ἐλάβοσαν ἐν ταῖς χερσὶν αὐτῶν ἀπὸ τοῦ καρποῦ τῆς γῆς, καὶ κατήνεγκαν πρὸς ὑμᾶς, καὶ ἔλεγον, Ἀγαθὴ ἡ γῆ, ἣν Κύριος ὁ Θεὸς ἡμῶν δίδωσιν ἡμῖν.
[LXX | EL | OT | Deuteronomy | Chapter 1 | Verse 26] Καὶ οὐκ ἠθελήσατε ἀναβῆναι, ἀλλʼ ἠπειθήσατε τῷ ῥήματι Κυρίου τοῦ Θεοῦ ἡμῶν.
[LXX | EL | OT | Deuteronomy | Chapter 1 | Verse 27] Καὶ διεγογγύζετε ἐν ταῖς σκηναῖς ὑμῶν, καὶ εἴπατε, διὰ τὸ μισεῖν Κύριον ἡμᾶς, ἐξήγαγεν ἡμᾶς ἐκ γῆς Αἰγύπτου παραδοῦναι ἡμᾶς εἰς χεῖρας Ἀμοῤῥαίων, ἐξολοθρεῦσαι ἡμᾶς.
[LXX | EL | OT | Deuteronomy | Chapter 1 | Verse 28] Ποῦ ἡμεῖς ἀναβαίνομεν; οἱ δὲ ἀδελφοὶ ὑμῶν ἀπέστησαν τὴν καρδίαν ὑμῶν, λέγοντες, ἔθνος μέγα καὶ πολὺ καὶ δυνατώτερον ἡμῶν, καὶ πόλεις μεγάλαι καὶ τετειχισμέναι ἕως τοῦ οὐρανοῦ· ἀλλὰ καὶ υἱοὺς γιγάντων ἑωράκαμεν ἐκεῖ.
[LXX | EL | OT | Deuteronomy | Chapter 1 | Verse 29] Καὶ εἶπα πρὸς ὑμᾶς, μὴ πτήξητε, μηδὲ φοβηθῆτε ἀπʼ αὐτῶν.
[LXX | EL | OT | Deuteronomy | Chapter 1 | Verse 30] Κύριος ὁ Θεὸς ὑμῶν ὁ προπορευόμενος πρὸ προσώπου ὑμῶν, αὐτὸς συνεκπολεμήσει αὐτοὺς μεθʼ ὑμῶν κατὰ πάντα ὅσα ἐποίησεν ὑμῖν ἐν γῇ Αἰγύπτῳ, καὶ ἐν τῇ ἐρήμῳ ταύτῃ ἣν εἴδετε, ὁδὸν ὄρους τοῦ Ἀμοῤῥαίου· ὡς τροφοφορήσαι σε Κύριος ὁ
[LXX | EL | OT | Deuteronomy | Chapter 1 | Verse 31] Θεός σου, ὡς εἴτις τροφοφορήσαι ἄνθρωπος τὸν υἱὸν αὐτοῦ, κατὰ πᾶσαν τὴν ὁδὸν εἰς ἣν ἐπορεύθητε ἕως ῆλθετε εἰς τὸν τόπον τοῦτον.
[LXX | EL | OT | Deuteronomy | Chapter 1 | Verse 32] Καὶ ἐν τῷ λόγῳ τούτῳ οὐκ ἐνεπιστεύσατε Κυρίῳ τῷ Θεῷ ἡμῶν,
[LXX | EL | OT | Deuteronomy | Chapter 1 | Verse 33] ὃς προπορεύεται πρότερος ὑμῶν ἐν τῇ ὁδῷ ἐκλέγεσθαι ὑμῖν τόπον, ὁδηγῶν ὑμᾶς ἐν πυρὶ νυκτὸς, δεικνύων ὑμῖν τὴν ὁδὸν καθʼ ἣν πορεύεσθε ἐπʼ αὐτῆς, καὶ ἐν νεφέλῃ ἡμέρας.
[LXX | EL | OT | Deuteronomy | Chapter 1 | Verse 34] Καὶ ἤκουσε Κύριος τὴν φωνὴν τῶν λόγων ὑμῶν, καὶ παροξυνθεὶς ὤμοσε, λέγων,
[LXX | EL | OT | Deuteronomy | Chapter 1 | Verse 35] εἰ ὄψεταί τις τῶν ἀνδρῶν τούτων τὴν γῆν ἀγαθὴν ταύτην, ἣν ὤμοσα τοῖς πατράσιν αὐτῶν, πλὴν
[LXX | EL | OT | Deuteronomy | Chapter 1 | Verse 36] Χάλεβ υἱὸς Ἰεφοννὴ, οὗτος ὄψεται αὐτὴν, καὶ τούτῳ δώσω τὴν γῆν ἐφʼ ἣν ἐπέβη, καὶ τοῖς υἱοῖς αὐτοῦ, διὰ τὸ προσκεῖσθαι αὐτὸν τὰ πρὸς Κύριον.
[LXX | EL | OT | Deuteronomy | Chapter 1 | Verse 37] Καὶ ἐμοὶ ἐθυμώθη Κύριος διʼ ὑμᾶς, λέγων, οὐδὲ σὺ οὐ μὴ εἰσέλθῃς ἐκεῖ.
[LXX | EL | OT | Deuteronomy | Chapter 1 | Verse 38] Ἰησοῦς υἱὸς Ναυὴ ὁ παρεστηκώς σοι, οὗτος εἰσελεύσεται ἐκεῖ· αὐτὸν κατίσχυσον, ὅτι αὐτὸς κατακληρονομήσει αὐτὴν τῷ Ἰσραήλ.
[LXX | EL | OT | Deuteronomy | Chapter 1 | Verse 39] Καὶ πᾶν παιδίον νέον ὅστις οὐκ οἶδε σήμερον ἀγαθὸν ἢ κακόν, οὗτοι εἰσελεύσονται ἐκεῖ, καὶ τούτοις δώσω αὐτήν, καὶ αὐτοὶ κληρονομήσουσιν αὐτήν.
[LXX | EL | OT | Deuteronomy | Chapter 1 | Verse 40] Καὶ ὑμεῖς ἐπιστράφεντες ἐστρατοπεδεύσατε εἰς τὴν ἔρημον, ὁδὸν τὴν ἐπὶ τῆς ἐρυθρᾶς θαλάσσης.
[LXX | EL | OT | Deuteronomy | Chapter 1 | Verse 41] Καὶ ἀπεκρίθητε, καὶ εἴπατε, ἡμάρτομεν ἔναντι Κυρίου τοῦ Θεοῦ ἡμῶν· ἡμεῖς ἀναβάντες πολεμήσομεν κατὰ πάντα ὅσα ἐνετείλατο Κύριος ὁ Θεὸς ἡμῶν ἡμῖν· καὶ ἀναλαβόντες ἕκαστος τὰ σκεύη τὰ πολεμικὰ αὐτοῦ, καὶ συναθροισθέντες ἀναβαίνετε εἰς τὸ ὄρος.
[LXX | EL | OT | Deuteronomy | Chapter 1 | Verse 42] Καὶ εἶπε Κύριος πρὸς μὲ, εἶπον αὐτοῖς, οὐκ ἀναβήσεσθε οὐδὲ μὴ πολεμήσετε, οὐ γάρ εἰμι μεθʼ ὑμῶν, καὶ οὐ μὴ συντριβῆτε ἐνώπιον τῶν ἐχθρῶν ὑμῶν.
[LXX | EL | OT | Deuteronomy | Chapter 1 | Verse 43] Καὶ ἐλάλησα ὑμῖν, καὶ οὐκ εἰσηκούσατέ μου· καὶ παρέβητε τὸ ῥῆμα Κυρίου· καὶ παραβιασάμενοι ἀνέβητε εἰς τὸ ὄρος.
[LXX | EL | OT | Deuteronomy | Chapter 1 | Verse 44] Καὶ ἐξῆλθεν ὁ Ἀμοῤῥαῖος ὁ κατοικῶν ἐν τῷ ὄρει ἐκείνῳ εἰς συνάντησιν ὑμῖν, καὶ κατεδίωξεν ὑμᾶς ὡσεὶ ποιήσαισαν αἱ μέλισσαι, καὶ ἐτίτρωσκον ὑμᾶς ἀπὸ Σηεὶρ ἕως Ἑρμᾶ.
[LXX | EL | OT | Deuteronomy | Chapter 1 | Verse 45] Καὶ καθίσαντες ἐκλαίετε ἐναντίον Κυρίου τοῦ Θεοῦ ἡμῶν, καὶ οὐκ εἰσήκουσε Κύριος τῆς φωνῆς ὑμῶν, οὐδὲ προσέσχεν ὑμῖν.
[LXX | EL | OT | Deuteronomy | Chapter 1 | Verse 46] Καὶ ἐνεκάθησθε ἐν Κάδης ἡμέρας πολλάς, ὅσας ποτὲ ἡμέρας ἐνεκάθησθε.
