[LXX | EL | OT | Deuteronomy | Chapter 18 | Verse 1] Οὐκ ἔσται τοῖς ἱερεῦσι τοῖς Λευίταις ὅλῃ φυλῇ Λευὶ μερὶς οὐδὲ κλῆρος μετὰ Ἰσραήλ· καρπώματα Κυρίου ὁ κλῆρος αὐτῶν, φάγονται αὐτά.
[LXX | EL | OT | Deuteronomy | Chapter 18 | Verse 12] Ἔστι γὰρ βδέλυγμα Κυρίῳ τῷ Θεῷ σου πᾶς ποιῶν ταῦτα· ἕνεκεν γὰρ τῶν βδελυγμάτων τούτων Κύριος ἐξολοθρεύσει αὐτοὺς ἀπὸ προσώπου σου.
[LXX | EL | OT | Deuteronomy | Chapter 18 | Verse 13] Τέλειος ἔσῃ ἐναντίον Κυρίου τοῦ Θεοῦ σου.
[LXX | EL | OT | Deuteronomy | Chapter 18 | Verse 14] Τὰ γὰρ ἔθνη ταῦτα, οὓς σὺ κατακληρονομεῖς αὐτοὺς, οὗτοι κληδόνων καὶ μαντειῶν ἀκούσονται· καί σοι οὐχ οὕτως ἔδωκε Κύριος ὁ Θεός σου.
[LXX | EL | OT | Deuteronomy | Chapter 18 | Verse 15] Προφήτην ἐκ τῶν ἀδελφῶν σου, ὡς ἐμὲ, ἀναστήσει σοι Κύριος ὁ Θεός σου· αὐτοῦ ἀκούσεσθε·
[LXX | EL | OT | Deuteronomy | Chapter 18 | Verse 16] Κατὰ πάντα ὅσα ᾐτήσω παρὰ Κυρίου τοῦ Θεοῦ σου ἐν Χωρὴβ τῇ ἡμέρᾳ τῆς ἐκκλησίας, λέγοντες, οὐ προσθήσομεν ἀκοῦσαι τὴν φωνὴν Κυρίου τοῦ Θεοῦ σου, καὶ τὸ πῦρ τοῦτο τὸ μὲγα οὐκ ὀψόμεθα ἔτι, οὐδὲ μὴ ἀποθάνωμεν.
[LXX | EL | OT | Deuteronomy | Chapter 18 | Verse 17] Καὶ εἶπε Κύριος πρὸς μὲ, ὀρθῶς πάντα ὅσα ἐλάλησαν πρὸς σέ.
[LXX | EL | OT | Deuteronomy | Chapter 18 | Verse 18] Προφήτην ἀναστήσω αὐτοῖς ἐκ τῶν ἀδελφῶν αὐτῶν, ὥσπερ σέ· καὶ δώσω τὰ ῥήματα ἐν τῷ στόματι αὐτοῦ, καὶ λαλήσει αὐτοῖς καθʼ ὅτι ἂν ἐντείλωμαι αὐτῷ.
[LXX | EL | OT | Deuteronomy | Chapter 18 | Verse 19] Καὶ ὁ ἄνθρωπος ὃς ἐὰν μὴ ἀκούσῃ ὅσα ἂν λαλήσῃ ὁ προφήτης ἐκεῖνος ἐπὶ τῷ ὀνόματί μου, ἐγὼ ἐκδικήσω ἐξ αὐτοῦ.
[LXX | EL | OT | Deuteronomy | Chapter 18 | Verse 20] Πλὴν ὁ προφήτης ὃς ἂν ἀσεβήσῃ λαλῆσαι ἐπὶ τῷ ὀνόματί μου ῥῆμα ὃ οὐ προσέταξα λαλῆσαι, καὶ ὃς ἂν λαλήσῃ ἐν ὀνόματι θεῶν ἑτέρων, ἀποθανεῖται ὁ προφήτης ἐκεῖνος.
[LXX | EL | OT | Deuteronomy | Chapter 18 | Verse 21] Ἐὰν δὲ εἴπῃς ἐν τῇ καρδίᾳ σου, πῶς γνωσόμεθα τὸ ῥῆμα ὃ οὐκ ἐλάλησε Κύριος;
[LXX | EL | OT | Deuteronomy | Chapter 18 | Verse 22] Ὅσα ἐὰν λαλήσῃ ὁ προφήτης ἐκεῖνος τῷ ὀνόματι Κυρίου, καὶ μὴ γένηται, καὶ μὴ συμβῇ, τοῦτο τὸ ῥῆμα ὃ οὐκ ἐλάλησε Κύριος, ἐν ἀσεβείᾳ ἐλάλησεν ὁ προφήτης ἐκεῖνος· οὐκ ἀφέξεσθε αὐτοῦ.
