[LXX | EL | OT | Deuteronomy | Chapter 32 | Verse 1] Πρόσεχε οὐρανὲ, καὶ λαλήσω, καὶ ἀκουέτω ἡ γῆ ῥήματα ἐκ στόματός μου.
[LXX | EL | OT | Deuteronomy | Chapter 32 | Verse 33] Θυμὸς δρακόντων ὁ οἶνος αὐτῶν, καὶ θυμὸς ἀσπίδων ἀνίατος.
[LXX | EL | OT | Deuteronomy | Chapter 32 | Verse 34] Οὐκ ἰδοὺ ταῦτα συνῆκται παρʼ ἐμοὶ, καὶ ἐσφράγισται ἐν τοῖς θησαυροῖς μου;
[LXX | EL | OT | Deuteronomy | Chapter 32 | Verse 35] Ἐν ἡμέρᾳ ἐκδικήσεως ἀνταποδώσω, ὅταν σφαλῇ ὁ ποὺς αὐτῶν· ὅτι ἐγγὺς ἡμέρα ἀπωλίας αὐτοῖς, καὶ πάρεστιν ἕτοιμα ὑμῖν.
[LXX | EL | OT | Deuteronomy | Chapter 32 | Verse 36] Ὅτι κρινεῖ Κύριος τὸν λαὸν αὐτοῦ, καὶ ἐπὶ τοῖς δούλοις αὐτοῦ παρακληθήσεται· εἶδε γὰρ παραλελυμένους αὐτοὺς, καὶ ἐκλελοιπότας ἐν ἐπαγωγῇ, καὶ παρειμένους·
[LXX | EL | OT | Deuteronomy | Chapter 32 | Verse 37] Καὶ εἶπε Κύριος, ποῦ εἰσιν οἱ θεοὶ αὐτῶν, ἐφʼ οἷς ἐπεποίθεισαν ἐπʼ αὐτοῖς,
[LXX | EL | OT | Deuteronomy | Chapter 32 | Verse 38] ὧν τὸ στέαρ τῶν θυσιῶν αὐτῶν ἠσθίετε, καὶ ἐπίνετε τὸν οἶνον τῶν σπονδῶν αὐτῶν; ἀναστήτωσαν καὶ βοηθησάτωσαν ὑμῖν καὶ γενηθήτωσαν ὑμῖν σκεπασταί.
[LXX | EL | OT | Deuteronomy | Chapter 32 | Verse 39] Ἴδετε ἴδετε ὅτι ἐγώ εἰμι, καὶ οὐκ ἔστι Θεὸς πλὴν ἐμοῦ· ἐγὼ ἀποκτείνω, καὶ ζῇν ποιήσω· πατάξω, κἀγὼ ἰάσομαι· καὶ οὐκ ἔστιν ὃς ἐξελεῖται ἐκ τῶν χειρῶν μου.
[LXX | EL | OT | Deuteronomy | Chapter 32 | Verse 40] Ὅτι ἀρῶ εἰς τὸν οὐρανὸν τὴν χεῖρά μου, καὶ ὀμοῦμαι τὴν δεξιάν μου· καὶ ἐρῶ, ζῶ ἐγὼ εἰς τὸν αἰῶνα·
[LXX | EL | OT | Deuteronomy | Chapter 32 | Verse 41] Ὅτι παροξυνῶ ὡς ἀστραπὴν τὴν μάχαιράν μου, καὶ ἀνθέξεται κρίματος ἡ χείρ μου, καὶ ἀποδώσω δίκην τοῖς ἐχθροῖς, καὶ τοῖς μισοῦσί με ἀνταποδώσω.
[LXX | EL | OT | Deuteronomy | Chapter 32 | Verse 42] Μεθύσω τὰ βέλη μου ἀφʼ αἵματος, καὶ ἡ μάχαιρά μου φάγεται κρέα ἀφʼ αἵματος τραυματιῶν καὶ αἰχμαλωσίας ἀπὸ κεφαλῆς ἀρχόντων ἐχθρῶν.
[LXX | EL | OT | Deuteronomy | Chapter 32 | Verse 43] Εὐφράνθητε οὐρανοὶ ἅμα αὐτῷ, καὶ προσκυνησάτωσαν αὐτῷ πάντες ἄγγελοι Θεοῦ· εὐφράνθητε ἔθνη μετὰ τοῦ λαοῦ αὐτοῦ, καὶ ἐνισχυσάτωσαν αὐτῷ πάντες υἱοὶ Θεοῦ, ὅτι τὸ αἷμα τῶν υἱῶν αὐτοῦ ἐκδικᾶται· καὶ ἐκδικήσει καὶ ἀνταποδώσει δίκην τοῖς ἐχθροῖς, καὶ τοῖς μισοῦσιν ἀνταποδώσει· καὶ ἐκκαθαριεῖ Κύριος τὴν γῆν τοῦ λαοῦ αὐτοῦ.
[LXX | EL | OT | Deuteronomy | Chapter 32 | Verse 44] Καὶ ἔγραψε Μωυσῆς τὴν ᾠδὴν ταύτην ἐν τῇ ἡμέρᾳ ἐκείνῃ, καὶ ἐδίδαξεν αὐτὴν τοὺς υἱοὺς Ἰσραήλ· καὶ εἰσῆλθε Μωυσῆς, καὶ ἐλάλησε πάντας τοὺς λόγους τοῦ νόμου τούτου εἰς τὰ ὦτα τοῦ λαοῦ, αὐτὸς καὶ Ἰησοῦς ὁ τοῦ Ναυή.
[LXX | EL | OT | Deuteronomy | Chapter 32 | Verse 45] Καὶ ἐξετέλεσε Μωυσῆς λαλῶν παντὶ Ἰσραήλ.
[LXX | EL | OT | Deuteronomy | Chapter 32 | Verse 46] Καὶ εἶπε πρὸς αὐτοὺς, προσέχετε τῇ καρδίᾳ ἐπὶ πάντας τοὺς λόγους τούτους, οὓς ἐγὼ διαμαρτύρομαι ὑμῖν σήμερον, ἃ ἐντελεῖσθε τοῖς υἱοῖς ὑμῶν, φυλάσσειν καὶ ποιεῖν πάντας τοὺς λόγους τοῦ νόμου τούτου.
[LXX | EL | OT | Deuteronomy | Chapter 32 | Verse 47] Ὅτι οὐχὶ λόγος κενὸς οὗτος ὑμῖν· ὅτι αὕτη ἡ ζωὴ ὑμῶν, καὶ ἕνεκεν τοῦ λόγου τούτου μακροημερεύσετε ἐπὶ τῆς γῆς, εἰς ἣν ὑμεῖς διαβαίνετε τὸν Ἰορδάνην ἐκεῖ κληρονομῆσαι.
[LXX | EL | OT | Deuteronomy | Chapter 32 | Verse 48] Καὶ ἐλάλησε Κύριος πρὸς Μωυσῆν ἐν τῇ ἡμέρᾳ ταύτῃ, λέγων,
[LXX | EL | OT | Deuteronomy | Chapter 32 | Verse 49] ἀνάβηθι εἰς τὸ ὄρος τὸ Ἀβαρίμ, τοῦτο ὄρος Ναβαῦ ὅ ἐστιν ἐν γῇ Μωὰβ κατὰ πρόσωπον Ἰεριχὼ, καὶ ἴδε τὴν γῆν Χαναάν, ἣν ἐγὼ δίδωμι τοῖς υἱοῖς Ἰσραὴλ,
[LXX | EL | OT | Deuteronomy | Chapter 32 | Verse 50] καὶ τελεύτα ἐν τῷ ὄρει εἰς ὃ ἀναβαίνεις ἐκεῖ, καὶ προστέθητι πρὸς τὸν λαόν σου· ὃν τρόπον ἀπέθανεν Ἀαρὼν ὁ ἀδελφός σου ἐν Ὢρ τῷ ὄρει, καὶ προσετέθη πρὸς τὸν λαὸν αὐτοῦ.
[LXX | EL | OT | Deuteronomy | Chapter 32 | Verse 51] Ὅτι ἠπειθήσατε τῷ ῥήματί μου ἐν τοῖς υἱοῖς Ἰσραὴλ ἐπὶ τοῦ ὕδατος ἀντιλογίας Κάδης ἐν τῇ ἐρήμῳ Σὶν, διότι οὐχ ἡγιάσατέ με ἐν τοῖς υἱοῖς Ἰσραήλ.
[LXX | EL | OT | Deuteronomy | Chapter 32 | Verse 52] Ἀπέναντι ὄψει τὴν γῆν, καὶ ἐκεῖ οὐκ εἰσελεύσῃ.
