[LXX | EL | OT | Deuteronomy | Chapter 10 | Verse 1] Ἐν ἐκείνῳ τῷ καιρῷ εἶπε Κύριος πρὸς μὲ, λάξευσον σεαυτῷ δύο πλάκας λιθίνας ὥσπερ τὰς πρώτας, καὶ ἀνάβηθι πρὸς μὲ εἰς τὸ ὄρος, καὶ ποιήσεις σεαυτῷ κιβωτὸν ξυλίνην.
[LXX | EL | OT | Deuteronomy | Chapter 10 | Verse 12] Καὶ νῦν, Ἰσραήλ, τί Κύριος ὁ Θεός σου αἰτεῖται παρὰ σοῦ, ἀλλʼ ἢ φοβεῖσθαι Κύριον τὸν Θεόν σου, καὶ πορεύεσθαι ἐν πάσαις ταῖς ὁδοῖς αὐτοῦ, καὶ ἀγαπᾷν αὐτόν, καὶ λατρεύειν Κυρίῳ τῷ Θεῷ σου ἐξ ὅλης τῆς καρδίας σου, καὶ ἐξ ὅλης τῆς ψυχῆς σου,
[LXX | EL | OT | Deuteronomy | Chapter 10 | Verse 13] φυλάσσεσθαι τὰς ἐντολὰς Κυρίου τοῦ Θεοῦ σου, καὶ τὰ δικαιώματα αὐτοῦ, ὅσα ἐγὼ ἐντέλλομαί σοι σήμερον, ἵνα εὖ σοι ἠ·;
[LXX | EL | OT | Deuteronomy | Chapter 10 | Verse 14] Ἰδοὺ Κυρίου τοῦ Θεοῦ σου ὁ οὐρανὸς καὶ ὁ οὐρανὸς τοῦ οὐρανοῦ, ἡ γῆ καὶ πάντα ὅσα ἐστὶν ἐν αὐτῇ.
[LXX | EL | OT | Deuteronomy | Chapter 10 | Verse 15] Πλὴν τοὺς πατέρας ὑμῶν προείλετο Κύριος ἀγαπᾷν αὐτούς, καὶ ἐξελέξατο τὸ σπέρμα αὐτῶν μετʼ αὐτοὺς, ὑμᾶς, παρὰ πάντα τὰ ἔθνη, κατὰ τὴν ἡμέραν ταύτην.
[LXX | EL | OT | Deuteronomy | Chapter 10 | Verse 16] Καὶ περιτεμεῖσθε τὴν σκληροκαρδίαν ὑμῶν, καὶ τὸν τράχηλον ὑμῶν οὐ σκληρυνεῖτε.
[LXX | EL | OT | Deuteronomy | Chapter 10 | Verse 17] Ὁ γὰρ Κύριος ὁ Θεὸς ὑμῶν, οὗτος Θεὸς τῶν θεῶν, καὶ κύριος τῶν κυρίων, ὁ Θεὸς ὁ μέγας, καὶ ἰσχυρὸς, καὶ φοβερὸς, ὅστις οὐ θαυμάζει πρόσωπον, οὐδὲ οὐ μὴ λάβῃ δῶρον·
[LXX | EL | OT | Deuteronomy | Chapter 10 | Verse 18] ποιῶν κρίσιν προσηλύτῳ καὶ ὀρφανῷ καὶ χήρᾳ, καὶ ἀγαπᾷ τὸν προσήλυτον δοῦναι αὐτῷ ἄρτον καὶ ἱμάτιον.
[LXX | EL | OT | Deuteronomy | Chapter 10 | Verse 19] Καὶ ἀγαπήσετε τὸν προσήλυτον· προσήλυτοι γὰρ ἦτε ἐν γῇ Αἰγύπτῳ.
[LXX | EL | OT | Deuteronomy | Chapter 10 | Verse 20] Κύριον τὸν Θεόν σου φοβηθήσῃ, καὶ αὐτῷ λατρεύσεις, καὶ πρὸς αὐτὸν κολληθήσῃ, καὶ ἐπὶ τῷ ὀνόματι αὐτοῦ ὀμῇ·
[LXX | EL | OT | Deuteronomy | Chapter 10 | Verse 21] Οὗτος καύχημά σου, καὶ οὗτος Θεός σου, ὅστις ἐποίησεν ἐν σοὶ τὰ μεγάλα καὶ τὰ ἔνδοξα ταῦτα, ἃ ἴδοσαν οἱ ὀφθαλμοί σου.
[LXX | EL | OT | Deuteronomy | Chapter 10 | Verse 22] Ἐν ἑβδομήκοντα ψυχαῖς κατέβησαν οἱ πατέρες σου εἰς Αἴγυπτον· νυνὶ δὲ ἐποίησέ σε Κύριος ὁ Θεός σου ὡσεὶ τὰ ἄστρα τοῦ οὐρανοῦ τῷ πλήθει.
