[BSB | EN | OT | 1 Kings | Chapter 6 | Verse 1] In the four hundred and eightieth year after the Israelites had come out of the land of Egypt, in the month of Ziv, the second month of the fourth year of Solomon’s reign over Israel, he began to build the house of the LORD.
[BSB | EN | OT | 1 Kings | Chapter 6 | Verse 15] He lined the interior walls with cedar paneling from the floor of the temple to the ceiling, and he covered the floor with cypress boards.
[BSB | EN | OT | 1 Kings | Chapter 6 | Verse 16] He partitioned off the twenty cubits at the rear of the temple with cedar boards from floor to ceiling to form within the temple an inner sanctuary, the Most Holy Place.
[BSB | EN | OT | 1 Kings | Chapter 6 | Verse 17] And the main hall in front of this room was forty cubits long.
[BSB | EN | OT | 1 Kings | Chapter 6 | Verse 18] The cedar paneling inside the temple was carved with gourds and open flowers. Everything was cedar; not a stone could be seen.
[BSB | EN | OT | 1 Kings | Chapter 6 | Verse 19] Solomon also prepared the inner sanctuary within the temple to set the ark of the covenant of the LORD there.
[BSB | EN | OT | 1 Kings | Chapter 6 | Verse 20] The inner sanctuary was twenty cubits long, twenty cubits wide, and twenty cubits high. He overlaid the inside with pure gold, and he also overlaid the altar of cedar.
[BSB | EN | OT | 1 Kings | Chapter 6 | Verse 21] So Solomon overlaid the inside of the temple with pure gold, and he extended gold chains across the front of the inner sanctuary, which was overlaid with gold.
[BSB | EN | OT | 1 Kings | Chapter 6 | Verse 22] So he overlaid with gold the whole interior of the temple, until everything was completely finished. He also overlaid with gold the entire altar that belonged to the inner sanctuary.
[BSB | EN | OT | 1 Kings | Chapter 6 | Verse 23] In the inner sanctuary he made two cherubim, each ten cubits high, out of olive wood.
[BSB | EN | OT | 1 Kings | Chapter 6 | Verse 24] One wing of the first cherub was five cubits long, and the other wing was five cubits long as well. So the full wingspan was ten cubits.
[BSB | EN | OT | 1 Kings | Chapter 6 | Verse 25] The second cherub also measured ten cubits; both cherubim had the same size and shape,
[BSB | EN | OT | 1 Kings | Chapter 6 | Verse 26] and the height of each cherub was ten cubits.
[BSB | EN | OT | 1 Kings | Chapter 6 | Verse 27] And he placed the cherubim inside the innermost room of the temple. Since their wings were spread out, the wing of the first cherub touched one wall, while the wing of the second cherub touched the other wall, and in the middle of the room their wingtips touched.
[BSB | EN | OT | 1 Kings | Chapter 6 | Verse 28] He also overlaid the cherubim with gold.
[BSB | EN | OT | 1 Kings | Chapter 6 | Verse 29] Then he carved the walls all around the temple, in both the inner and outer sanctuaries, with carved engravings of cherubim, palm trees, and open flowers.
[BSB | EN | OT | 1 Kings | Chapter 6 | Verse 30] And he overlaid the temple floor with gold in both the inner and outer sanctuaries.
[BSB | EN | OT | 1 Kings | Chapter 6 | Verse 31] For the entrance to the inner sanctuary, Solomon constructed doors of olive wood with five-sided doorposts.
[BSB | EN | OT | 1 Kings | Chapter 6 | Verse 32] The double doors were made of olive wood, and he carved into them cherubim, palm trees, and open flowers and overlaid the cherubim and palm trees with hammered gold.
[BSB | EN | OT | 1 Kings | Chapter 6 | Verse 33] In the same way he made four-sided doorposts of olive wood for the sanctuary entrance.
[BSB | EN | OT | 1 Kings | Chapter 6 | Verse 34] The two doors were made of cypress wood, and each had two folding panels.
[BSB | EN | OT | 1 Kings | Chapter 6 | Verse 35] He carved into them cherubim, palm trees, and open flowers; and he overlaid them with gold, hammered evenly over the carvings.
[BSB | EN | OT | 1 Kings | Chapter 6 | Verse 36] Solomon built the inner courtyard with three rows of dressed stone and one row of trimmed cedar beams.
[BSB | EN | OT | 1 Kings | Chapter 6 | Verse 37] The foundation of the house of the LORD was laid in the fourth year of Solomon’s reign, in the month of Ziv.
[BSB | EN | OT | 1 Kings | Chapter 6 | Verse 38] In his eleventh year and eighth month, the month of Bul, the temple was finished in every detail and according to every specification. So he built the temple in seven years.
