[GRCGTR | EL | NT | 1 Corinthians | Chapter 10 | Verse 1] Οὐ θέλω δὲ ὑμᾶς ἀγνοεῖν, ἀδελφοί, ὅτι οἱ πατέρες ἡμῶν πάντες ὑπὸ τὴν νεφέλην ἦσαν, καὶ πάντες διὰ τῆς θαλάσσης διῆλθον,
[GRCGTR | EL | NT | 1 Corinthians | Chapter 10 | Verse 18] Βλέπετε τὸν Ἰσραὴλ κατὰ σάρκα· οὐχὶ οἱ ἐσθίοντες τὰς θυσίας κοινωνοὶ τοῦ θυσιαστηρίου εἰσί;
[GRCGTR | EL | NT | 1 Corinthians | Chapter 10 | Verse 19] Τί οὖν φημι; Ὅτι εἴδωλόν τί ἐστιν; Ἢ ὅτι εἰδωλόθυτόν τί ἐστιν;
[GRCGTR | EL | NT | 1 Corinthians | Chapter 10 | Verse 20] Ἀλλ᾿ ὅτι ἃ θύει τὰ ἔθνη, δαιμονίοις θύει, καὶ οὐ Θεῷ· οὐ θέλω δὲ ὑμᾶς κοινωνοὺς τῶν δαιμονίων γίνεσθαι.
[GRCGTR | EL | NT | 1 Corinthians | Chapter 10 | Verse 21] Οὐ δύνασθε ποτήριον Κυρίου πίνειν καὶ ποτήριον δαιμονίων· οὐ δύνασθε τραπέζης Κυρίου μετέχειν καὶ τραπέζης δαιμονίων.
[GRCGTR | EL | NT | 1 Corinthians | Chapter 10 | Verse 22] Ἢ παραζηλοῦμεν τὸν Κύριον; Μὴ ἰσχυρότεροι αὐτοῦ ἐσμέν;
[GRCGTR | EL | NT | 1 Corinthians | Chapter 10 | Verse 23] Πάντα μοι ἔξεστιν, ἀλλ᾿ οὐ πάντα συμφέρει. Πάντα μοι ἔξεστιν, ἀλλ᾿ οὐ πάντα οἰκοδομεῖ.
[GRCGTR | EL | NT | 1 Corinthians | Chapter 10 | Verse 24] Μηδεὶς τὸ ἑαυτοῦ ζητείτω, ἀλλὰ τὸ τοῦ ἑτέρου ἕκαστος.
[GRCGTR | EL | NT | 1 Corinthians | Chapter 10 | Verse 25] Πᾶν τὸ ἐν μακέλλῳ πωλούμενον ἐσθίετε, μηδὲν ἀνακρίνοντες διὰ τὴν συνείδησιν·
[GRCGTR | EL | NT | 1 Corinthians | Chapter 10 | Verse 26] Τοῦ γὰρ Κυρίου ἡ γῆ καὶ τὸ πλήρωμα αὐτῆς.
[GRCGTR | EL | NT | 1 Corinthians | Chapter 10 | Verse 27] Εἰ δέ τις καλεῖ ὑμᾶς τῶν ἀπίστων, καὶ θέλετε πορεύεσθαι, πᾶν τὸ παρατιθέμενον ὑμῖν ἐσθίετε, μηδὲν ἀνακρίνοντες διὰ τὴν συνείδησιν.
[GRCGTR | EL | NT | 1 Corinthians | Chapter 10 | Verse 28] Ἐὰν δέ τις ὑμῖν εἴπῃ, Τοῦτο εἰδωλόθυτόν ἐστι, μὴ ἐσθίετε δι᾿ ἐκεῖνον τὸν μηνύσαντα καὶ τὴν συνείδησιν· Τοῦ γὰρ Κυρίου ἡ γῆ καὶ τὸ πλήρωμα αὐτῆς.
[GRCGTR | EL | NT | 1 Corinthians | Chapter 10 | Verse 29] Συνείδησιν δὲ λέγω, οὐχὶ τὴν ἑαυτοῦ, ἀλλὰ τὴν τοῦ ἑτέρου· ἵνα τί γὰρ ἡ ἐλευθερία μου κρίνεται ὑπὸ ἄλλης συνειδήσεως;
[GRCGTR | EL | NT | 1 Corinthians | Chapter 10 | Verse 30] Εἰ δὲ ἐγὼ χάριτι μετέχω, τί βλασφημοῦμαι ὑπὲρ οὗ ἐγὼ εὐχαριστῶ;
[GRCGTR | EL | NT | 1 Corinthians | Chapter 10 | Verse 31] Εἴτε οὖν ἐσθίετε, εἴτε πίνετε, εἴτε τι ποιεῖτε, πάντα εἰς δόξαν Θεοῦ ποιεῖτε.
[GRCGTR | EL | NT | 1 Corinthians | Chapter 10 | Verse 32] Ἀπρόσκοποι γίνεσθε καὶ Ἰουδαίοις καὶ Ἕλλησι καὶ τῇ ἐκκλησίᾳ τοῦ Θεοῦ·
[GRCGTR | EL | NT | 1 Corinthians | Chapter 10 | Verse 33] καθὼς κἀγὼ πάντα πᾶσιν ἀρέσκω, μὴ ζητῶν τὸ ἐμαυτοῦ συμφέρον, ἀλλὰ τὸ τῶν πολλῶν, ἵνα σωθῶσι.
