[GRCGTR | EL | NT | 1 Corinthians | Chapter 16 | Verse 1] Περὶ δὲ τῆς λογίας τῆς εἰς τοὺς ἁγίους, ὥσπερ διέταξα ταῖς ἐκκλησίαις τῆς Γαλατίας, οὕτω καὶ ὑμεῖς ποιήσατε.
[GRCGTR | EL | NT | 1 Corinthians | Chapter 16 | Verse 12] Περὶ δὲ Ἀπολλὼ τοῦ ἀδελφοῦ, πολλὰ παρεκάλεσα αὐτὸν ἵνα ἔλθῃ πρὸς ὑμᾶς μετὰ τῶν ἀδελφῶν· καὶ πάντως οὐκ ἦν θέλημα ἵνα νῦν ἔλθῃ, ἐλεύσεται δὲ ὅταν εὐκαιρήσῃ.
[GRCGTR | EL | NT | 1 Corinthians | Chapter 16 | Verse 13] Γρηγορεῖτε, στήκετε ἐν τῇ πίστει, ἀνδρίζεσθε, κραταιοῦσθε.
[GRCGTR | EL | NT | 1 Corinthians | Chapter 16 | Verse 14] Πάντα ὑμῶν ἐν ἀγάπῃ γινέσθω.
[GRCGTR | EL | NT | 1 Corinthians | Chapter 16 | Verse 15] Παρακαλῶ δὲ ὑμᾶς, ἀδελφοί — οἴδατε τὴν οἰκίαν Στεφανᾶ, ὅτι ἐστὶν ἀπαρχὴ τῆς Ἀχαΐας, καὶ εἰς διακονίαν τοῖς ἁγίοις ἔταξαν ἑαυτούς —
[GRCGTR | EL | NT | 1 Corinthians | Chapter 16 | Verse 16] ἵνα καὶ ὑμεῖς ὑποτάσσησθε τοῖς τοιούτοις, καὶ παντὶ τῷ συνεργοῦντι καὶ κοπιῶντι.
[GRCGTR | EL | NT | 1 Corinthians | Chapter 16 | Verse 17] Χαίρω δὲ ἐπὶ τῇ παρουσίᾳ Στεφανᾶ καὶ Φουρτουνάτου καὶ Ἀχαϊκοῦ, ὅτι τὸ ὑμῶν ὑστέρημα οὗτοι ἀνεπλήρωσαν.
[GRCGTR | EL | NT | 1 Corinthians | Chapter 16 | Verse 18] Ἀνέπαυσαν γὰρ τὸ ἐμὸν πνεῦμα καὶ τὸ ὑμῶν· ἐπιγινώσκετε οὖν τοὺς τοιούτους.
[GRCGTR | EL | NT | 1 Corinthians | Chapter 16 | Verse 19] Ἀσπάζονται ὑμᾶς αἱ ἐκκλησίαι τῆς Ἀσίας· ἀσπάζονται ὑμᾶς ἐν Κυρίῳ πολλὰ Ἀκύλας καὶ Πρίσκιλλα, σὺν τῇ κατ᾿ οἶκον αὐτῶν ἐκκλησίᾳ.
[GRCGTR | EL | NT | 1 Corinthians | Chapter 16 | Verse 20] Ἀσπάζονται ὑμᾶς οἱ ἀδελφοὶ πάντες. Ἀσπάσασθε ἀλλήλους ἐν φιλήματι ἁγίῳ.
[GRCGTR | EL | NT | 1 Corinthians | Chapter 16 | Verse 21] Ὁ ἀσπασμὸς τῇ ἐμῇ χειρὶ Παύλου.
[GRCGTR | EL | NT | 1 Corinthians | Chapter 16 | Verse 22] Εἴ τις οὐ φιλεῖ τὸν Κύριον Ἰησοῦν Χριστόν, ἤτω ἀνάθεμα. Μαρὰν ἀθά.
[GRCGTR | EL | NT | 1 Corinthians | Chapter 16 | Verse 23] Ἡ χάρις τοῦ Κυρίου Ἰησοῦ Χριστοῦ μεθ᾿ ὑμῶν.
[GRCGTR | EL | NT | 1 Corinthians | Chapter 16 | Verse 24] Ἡ ἀγάπη μου μετὰ πάντων ὑμῶν ἐν Χριστῷ Ἰησοῦ. Ἀμήν. Πρὸς Κορινθίους πρώτη ἐγράφη ἀπὸ Φιλίππων διὰ Στεφανᾶ καὶ Φουρουνάτου καὶ Ἀχαϊκοῦ καὶ Τιμοθέου.
