[GRCGTR | EL | NT | 1 Corinthians | Chapter 15 | Verse 1] Γνωρίζω δὲ ὑμῖν, ἀδελφοί, τὸ εὐαγγέλιον ὃ εὐηγγελισάμην ὑμῖν, ὃ καὶ παρελάβετε, ἐν ᾧ καὶ ἑστήκατε,
[GRCGTR | EL | NT | 1 Corinthians | Chapter 15 | Verse 25] Δεῖ γὰρ αὐτὸν βασιλεύειν, ἄχρις οὗ ἂν θῇ πάντας τοὺς ἐχθροὺς ὑπὸ τοὺς πόδας αὐτοῦ.
[GRCGTR | EL | NT | 1 Corinthians | Chapter 15 | Verse 26] Ἔσχατος ἐχθρὸς καταργεῖται ὁ θάνατος.
[GRCGTR | EL | NT | 1 Corinthians | Chapter 15 | Verse 27] Πάντα γὰρ ὑπέταξεν ὑπὸ τοὺς πόδας αὐτοῦ. Ὅταν δὲ εἴπῃ ὅτι Πάντα ὑποτέτακται, δῆλον ὅτι ἐκτὸς τοῦ ὑποτάξαντος αὐτῷ τὰ πάντα.
[GRCGTR | EL | NT | 1 Corinthians | Chapter 15 | Verse 28] Ὅταν δὲ ὑποταγῇ αὐτῷ τὰ πάντα, τότε καὶ αὐτὸς ὁ υἱὸς ὑποταγήσεται τῷ ὑποτάξαντι αὐτῷ τὰ πάντα, ἵνα ᾖ ὁ Θεὸς τὰ πάντα ἐν πᾶσιν.
[GRCGTR | EL | NT | 1 Corinthians | Chapter 15 | Verse 29] Ἐπεὶ τί ποιήσουσιν οἱ βαπτιζόμενοι ὑπὲρ τῶν νεκρῶν; Εἰ ὅλως νεκροὶ οὐκ ἐγείρονται, τί καὶ βαπτίζονται ὑπὲρ τῶν νεκρῶν;
[GRCGTR | EL | NT | 1 Corinthians | Chapter 15 | Verse 30] Τί καὶ ἡμεῖς κινδυνεύομεν πᾶσαν ὥραν;
[GRCGTR | EL | NT | 1 Corinthians | Chapter 15 | Verse 31] Καθ᾿ ἡμέραν ἀποθνῄσκω, νὴ τὴν + 15:31 ὑμετέραν ¦ ἡμετέραν ST ὑμετέραν καύχησιν, ἣν ἔχω ἐν Χριστῷ Ἰησοῦ τῷ Κυρίῳ ἡμῶν.
[GRCGTR | EL | NT | 1 Corinthians | Chapter 15 | Verse 32] Εἰ κατὰ ἄνθρωπον ἐθηριομάχησα ἐν Ἐφέσῳ, τί μοι τὸ ὄφελος, εἰ νεκροὶ οὐκ ἐγείρονται; Φάγωμεν καὶ πίωμεν, αὔριον γὰρ ἀποθνῄσκομεν.
[GRCGTR | EL | NT | 1 Corinthians | Chapter 15 | Verse 33] Μὴ πλανᾶσθε· Φθείρουσιν ἤθη χρησθ᾿ ὁμιλίαι κακαί.
[GRCGTR | EL | NT | 1 Corinthians | Chapter 15 | Verse 34] Ἐκνήψατε δικαίως καὶ μὴ ἁμαρτάνετε· ἀγνωσίαν γὰρ Θεοῦ τινὲς ἔχουσι· πρὸς ἐντροπὴν ὑμῖν λέγω.
[GRCGTR | EL | NT | 1 Corinthians | Chapter 15 | Verse 35] Ἀλλ᾿ ἐρεῖ τις, Πῶς ἐγείρονται οἱ νεκροί; Ποίῳ δὲ σώματι ἔρχονται;
[GRCGTR | EL | NT | 1 Corinthians | Chapter 15 | Verse 36] Ἄφρον, σὺ ὃ σπείρεις, οὐ ζῳοποιεῖται ἐὰν μὴ ἀποθάνῃ·
[GRCGTR | EL | NT | 1 Corinthians | Chapter 15 | Verse 37] καὶ ὃ σπείρεις, οὐ τὸ σῶμα τὸ γενησόμενον σπείρεις, ἀλλὰ γυμνὸν κόκκον, εἰ τύχοι, σίτου ἤ τινος τῶν λοιπῶν·
[GRCGTR | EL | NT | 1 Corinthians | Chapter 15 | Verse 38] ὁ δὲ Θεὸς αὐτῷ δίδωσι σῶμα καθὼς ἠθέλησε, καὶ ἑκάστῳ τῶν σπερμάτων τὸ ἴδιον σῶμα.
[GRCGTR | EL | NT | 1 Corinthians | Chapter 15 | Verse 39] Οὐ πᾶσα σὰρξ ἡ αὐτὴ σάρξ· ἀλλὰ ἄλλη μὲν σὰρξ ἀνθρώπων, ἄλλη δὲ σὰρξ κτηνῶν, ἄλλη δὲ ἰχθύων, ἄλλη δὲ πτηνῶν.
[GRCGTR | EL | NT | 1 Corinthians | Chapter 15 | Verse 40] Καὶ σώματα ἐπουράνια, καὶ σώματα ἐπίγεια· ἀλλ᾿ ἑτέρα μὲν ἡ τῶν ἐπουρανίων δόξα, ἑτέρα δὲ ἡ τῶν ἐπιγείων.
[GRCGTR | EL | NT | 1 Corinthians | Chapter 15 | Verse 41] Ἄλλη δόξα ἡλίου, καὶ ἄλλη δόξα σελήνης, καὶ ἄλλη δόξα ἀστέρων· ἀστὴρ γὰρ ἀστέρος διαφέρει ἐν δόξῃ.
[GRCGTR | EL | NT | 1 Corinthians | Chapter 15 | Verse 42] Οὕτω καὶ ἡ ἀνάστασις τῶν νεκρῶν. Σπείρεται ἐν φθορᾷ, ἐγείρεται ἐν ἀφθαρσίᾳ·
[GRCGTR | EL | NT | 1 Corinthians | Chapter 15 | Verse 43] σπείρεται ἐν ἀτιμίᾳ, ἐγείρεται ἐν δόξῃ· σπείρεται ἐν ἀσθενείᾳ, ἐγείρεται ἐν δυνάμει·
[GRCGTR | EL | NT | 1 Corinthians | Chapter 15 | Verse 44] σπείρεται σῶμα ψυχικόν, ἐγείρεται σῶμα πνευματικόν. Ἔστι σῶμα ψυχικόν, καὶ ἔστι σῶμα πνευματικόν.
[GRCGTR | EL | NT | 1 Corinthians | Chapter 15 | Verse 45] Οὕτω καὶ γέγραπται, Ἐγένετο ὁ πρῶτος ἄνθρωπος Ἀδὰμ εἰς ψυχὴν ζῶσαν. Ὁ ἔσχατος Ἀδὰμ εἰς πνεῦμα ζῳοποιοῦν.
[GRCGTR | EL | NT | 1 Corinthians | Chapter 15 | Verse 46] Ἀλλ᾿ οὐ πρῶτον τὸ πνευματικόν, ἀλλὰ τὸ ψυχικόν, ἔπειτα τὸ πνευματικόν.
[GRCGTR | EL | NT | 1 Corinthians | Chapter 15 | Verse 47] Ὁ πρῶτος ἄνθρωπος ἐκ γῆς, χοϊκός· ὁ δεύτερος ἄνθρωπος ὁ Κύριος ἐξ οὐρανοῦ.
[GRCGTR | EL | NT | 1 Corinthians | Chapter 15 | Verse 48] Οἷος ὁ χοϊκός, τοιοῦτοι καὶ οἱ χοϊκοί, καὶ οἷος ὁ ἐπουράνιος, τοιοῦτοι καὶ οἱ ἐπουράνιοι·
[GRCGTR | EL | NT | 1 Corinthians | Chapter 15 | Verse 49] καὶ καθὼς ἐφορέσαμεν τὴν εἰκόνα τοῦ χοϊκοῦ, φορέσομεν καὶ τὴν εἰκόνα τοῦ ἐπουρανίου.
[GRCGTR | EL | NT | 1 Corinthians | Chapter 15 | Verse 50] Τοῦτο δέ φημι, ἀδελφοί, ὅτι σὰρξ καὶ αἷμα βασιλείαν Θεοῦ κληρονομῆσαι οὐ δύνανται, οὐδὲ ἡ φθορὰ τὴν ἀφθαρσίαν κληρονομεῖ.
[GRCGTR | EL | NT | 1 Corinthians | Chapter 15 | Verse 51] Ἰδού, μυστήριον ὑμῖν λέγω· πάντες μὲν οὐ κοιμηθησόμεθα, πάντες δὲ ἀλλαγησόμεθα,
[GRCGTR | EL | NT | 1 Corinthians | Chapter 15 | Verse 52] ἐν ἀτόμῳ, ἐν ῥιπῇ ὀφθαλμοῦ, ἐν τῇ ἐσχάτῃ σάλπιγγι· σαλπίσει γάρ, καὶ οἱ νεκροὶ ἐγερθήσονται ἄφθαρτοι, καὶ ἡμεῖς ἀλλαγησόμεθα.
[GRCGTR | EL | NT | 1 Corinthians | Chapter 15 | Verse 53] Δεῖ γὰρ τὸ φθαρτὸν τοῦτο ἐνδύσασθαι ἀφθαρσίαν, καὶ τὸ θνητὸν τοῦτο ἐνδύσασθαι ἀθανασίαν.
[GRCGTR | EL | NT | 1 Corinthians | Chapter 15 | Verse 54] Ὅταν δὲ τὸ φθαρτὸν τοῦτο ἐνδύσηται ἀφθαρσίαν, καὶ τὸ θνητὸν τοῦτο ἐνδύσηται ἀθανασίαν, τότε γενήσεται ὁ λόγος ὁ γεγραμμένος, Κατεπόθη ὁ θάνατος εἰς νῖκος.
[GRCGTR | EL | NT | 1 Corinthians | Chapter 15 | Verse 55] Ποῦ σου, Θάνατε, τὸ κέντρον; Ποῦ σου, ᾍδη, τὸ νῖκος;
[GRCGTR | EL | NT | 1 Corinthians | Chapter 15 | Verse 56] Τὸ δὲ κέντρον τοῦ θανάτου ἡ ἁμαρτία· ἡ δὲ δύναμις τῆς ἁμαρτίας ὁ νόμος·
[GRCGTR | EL | NT | 1 Corinthians | Chapter 15 | Verse 57] τῷ δὲ Θεῷ χάρις τῷ διδόντι ἡμῖν τὸ νῖκος διὰ τοῦ Κυρίου ἡμῶν Ἰησοῦ Χριστοῦ.
[GRCGTR | EL | NT | 1 Corinthians | Chapter 15 | Verse 58] Ὥστε, ἀδελφοί μου ἀγαπητοί, ἑδραῖοι γίνεσθε, ἀμετακίνητοι, περισσεύοντες ἐν τῷ ἔργῳ τοῦ Κυρίου πάντοτε, εἰδότες ὅτι ὁ κόπος ὑμῶν οὐκ ἔστι κενὸς ἐν Κυρίῳ.
