[GRCGTR | EL | NT | 1 Corinthians | Chapter 3 | Verse 1] Καὶ ἐγώ, ἀδελφοί, οὐκ ἠδυνήθην λαλῆσαι ὑμῖν ὡς πνευματικοῖς, ἀλλ᾿ ὡς σαρκικοῖς, ὡς νηπίοις ἐν Χριστῷ.
[GRCGTR | EL | NT | 1 Corinthians | Chapter 3 | Verse 12] Εἰ δέ τις ἐποικοδομεῖ ἐπὶ τὸν θεμέλιον τοῦτον χρυσόν, ἄργυρον, λίθους τιμίους, ξύλα, χόρτον, καλάμην,
[GRCGTR | EL | NT | 1 Corinthians | Chapter 3 | Verse 13] ἑκάστου τὸ ἔργον φανερὸν γενήσεται· ἡ γὰρ ἡμέρα δηλώσει, ὅτι ἐν πυρὶ ἀποκαλύπτεται· καὶ ἑκάστου τὸ ἔργον ὁποῖόν ἐστι τὸ πῦρ δοκιμάσει.
[GRCGTR | EL | NT | 1 Corinthians | Chapter 3 | Verse 14] Εἴ τινος τὸ ἔργον μένει ὃ ἐπῳκοδόμησε, μισθὸν λήψεται.
[GRCGTR | EL | NT | 1 Corinthians | Chapter 3 | Verse 15] Εἴ τινος τὸ ἔργον κατακαήσεται, ζημιωθήσεται· αὐτὸς δὲ σωθήσεται, οὕτω δὲ ὡς διὰ πυρός.
[GRCGTR | EL | NT | 1 Corinthians | Chapter 3 | Verse 16] Οὐκ οἴδατε ὅτι ναὸς Θεοῦ ἐστε, καὶ τὸ πνεῦμα τοῦ Θεοῦ οἰκεῖ ἐν ὑμῖν;
[GRCGTR | EL | NT | 1 Corinthians | Chapter 3 | Verse 17] Εἴ τις τὸν ναὸν τοῦ Θεοῦ φθείρει, φθερεῖ τοῦτον ὁ Θεός· ὁ γὰρ ναὸς τοῦ Θεοῦ ἅγιός ἐστιν, οἵτινές ἐστε ὑμεῖς.
[GRCGTR | EL | NT | 1 Corinthians | Chapter 3 | Verse 18] Μηδεὶς ἑαυτὸν ἐξαπατάτω· εἴ τις δοκεῖ σοφὸς εἶναι ἐν ὑμῖν ἐν τῷ αἰῶνι τούτῳ, μωρὸς γενέσθω, ἵνα γένηται σοφός.
[GRCGTR | EL | NT | 1 Corinthians | Chapter 3 | Verse 19] Ἡ γὰρ σοφία τοῦ κόσμου τούτου μωρία παρὰ τῷ Θεῷ ἐστι. Γέγραπται γάρ, Ὁ δρασσόμενος τοὺς σοφοὺς ἐν τῇ πανουργίᾳ αὐτῶν.
[GRCGTR | EL | NT | 1 Corinthians | Chapter 3 | Verse 20] Καὶ πάλιν, Κύριος γινώσκει τοὺς διαλογισμοὺς τῶν σοφῶν, ὅτι εἰσὶ μάταιοι.
[GRCGTR | EL | NT | 1 Corinthians | Chapter 3 | Verse 21] Ὥστε μηδεὶς καυχάσθω ἐν ἀνθρώποις· πάντα γὰρ ὑμῶν ἐστιν,
[GRCGTR | EL | NT | 1 Corinthians | Chapter 3 | Verse 22] εἴτε Παῦλος, εἴτε Ἀπολλώς, εἴτε Κηφᾶς, εἴτε κόσμος, εἴτε ζωή, εἴτε θάνατος, εἴτε ἐνεστῶτα, εἴτε μέλλοντα· πάντα ὑμῶν ἐστιν,
[GRCGTR | EL | NT | 1 Corinthians | Chapter 3 | Verse 23] ὑμεῖς δὲ Χριστοῦ, Χριστὸς δὲ Θεοῦ.
