[GNV | EN | NT | Romans | Chapter 8 | Verse 1] Now then there is no condemnation to them that are in Christ Iesus, which walke not after the flesh, but after the Spirit.
[GNV | EN | NT | Romans | Chapter 8 | Verse 20] Because the creature is subiect to vanitie, not of it owne will, but by reason of him, which hath subdued it vnder hope,
[GNV | EN | NT | Romans | Chapter 8 | Verse 21] Because the creature also shall be deliuered from the bondage of corruption into the glorious libertie of the sonnes of God.
[GNV | EN | NT | Romans | Chapter 8 | Verse 22] For we knowe that euery creature groneth with vs also, and trauaileth in paine together vnto this present.
[GNV | EN | NT | Romans | Chapter 8 | Verse 23] And not onely the creature, but we also which haue the first fruites of the Spirit, euen we doe sigh in our selues, waiting for the adoption, euen the redemption of our body.
[GNV | EN | NT | Romans | Chapter 8 | Verse 24] For we are saued by hope: but hope that is seene, is not hope: for how can a man hope for that which he seeth?
[GNV | EN | NT | Romans | Chapter 8 | Verse 25] But if we hope for that we see not, we doe with patience abide for it.
[GNV | EN | NT | Romans | Chapter 8 | Verse 26] Likewise the Spirit also helpeth our infirmities: for we knowe not what to pray as wee ought: but the Spirit it selfe maketh request for vs with sighs, which cannot be expressed.
[GNV | EN | NT | Romans | Chapter 8 | Verse 27] But he that searcheth the heartes, knoweth what is the meaning of the Spirit: for he maketh request for ye Saints, according to the wil of God.
[GNV | EN | NT | Romans | Chapter 8 | Verse 28] Also we knowe that all thinges worke together for the best vnto them that loue God, euen to them that are called of his purpose.
[GNV | EN | NT | Romans | Chapter 8 | Verse 29] For those which hee knewe before, he also predestinate to bee made like to the image of his Sonne, that hee might be the first borne among many brethren.
[GNV | EN | NT | Romans | Chapter 8 | Verse 30] Moreouer whom he predestinate, them also he called, and whom he called, them also he iustified, and whom he iustified, them he also glorified.
[GNV | EN | NT | Romans | Chapter 8 | Verse 31] What shall we then say to these thinges? If God be on our side, who can be against vs?
[GNV | EN | NT | Romans | Chapter 8 | Verse 32] Who spared not his owne Sonne, but gaue him for vs all to death, how shall he not with him giue vs all things also?
[GNV | EN | NT | Romans | Chapter 8 | Verse 33] Who shall lay any thing to the charge of Gods chosen? it is God that iustifieth,
[GNV | EN | NT | Romans | Chapter 8 | Verse 34] Who shall condemne? it is Christ which is dead, yea, or rather, which is risen againe, who is also at the right hand of God, and maketh request also for vs.
[GNV | EN | NT | Romans | Chapter 8 | Verse 35] Who shall separate vs from the loue of Christ? shall tribulation or anguish, or persecution, or famine, or nakednesse, or perill, or sworde?
[GNV | EN | NT | Romans | Chapter 8 | Verse 36] As it is written, For thy sake are we killed all day long: we are counted as sheepe for the slaughter.
[GNV | EN | NT | Romans | Chapter 8 | Verse 37] Neuerthelesse, in all these thinges we are more then coquerours through him that loued vs.
[GNV | EN | NT | Romans | Chapter 8 | Verse 38] For I am perswaded that neither death, nor life, nor Angels, nor principalities, nor powers, nor things present, nor things to come,
[GNV | EN | NT | Romans | Chapter 8 | Verse 39] Nor height, nor depth, nor any other creature shalbe able to separate vs from the loue of God, which is in Christ Iesus our Lord.
