[DARBY | EN | OT | Isaiah | Chapter 37 | Verse 1] And it came to pass when king Hezekiah heard [it], that he rent his garments, and covered himself with sackcloth, and went into the house of Jehovah.
[DARBY | EN | OT | Isaiah | Chapter 37 | Verse 26] Hast thou not heard that long ago I did it, and that from ancient days I formed it? Now have I brought it to pass, that thou shouldest lay waste fortified cities [into] ruinous heaps.
[DARBY | EN | OT | Isaiah | Chapter 37 | Verse 27] And their inhabitants were powerless, they were dismayed and put to shame; they were [as] the grass of the field and the green herb, [as] the grass on the housetops, and grain blighted before it be grown up.
[DARBY | EN | OT | Isaiah | Chapter 37 | Verse 28] But I know thine abode, and thy going out, and thy coming in, and thy raging against me.
[DARBY | EN | OT | Isaiah | Chapter 37 | Verse 29] Because thy raging against me and thine arrogance is come up into mine ears, I will put my ring in thy nose, and my bridle in thy lips, and I will make thee go back by the way by which thou camest.
[DARBY | EN | OT | Isaiah | Chapter 37 | Verse 30] And this [shall be] the sign unto thee: there shall be eaten this year such as groweth of itself; and in the second year that which springeth of the same; but in the third year sow ye, and reap, and plant vineyards and eat the fruit thereof.
[DARBY | EN | OT | Isaiah | Chapter 37 | Verse 31] And the remnant that is escaped of the house of Judah shall again take root downward, and bear fruit upward;
[DARBY | EN | OT | Isaiah | Chapter 37 | Verse 32] for out of Jerusalem shall go forth a remnant, and out of mount Zion they that escape: the zeal of Jehovah of hosts shall do this.
[DARBY | EN | OT | Isaiah | Chapter 37 | Verse 33] Therefore thus saith Jehovah concerning the king of Assyria: He shall not come into this city, nor shoot an arrow there, nor come before it with shield, nor cast a bank against it.
[DARBY | EN | OT | Isaiah | Chapter 37 | Verse 34] By the way that he came, by the same shall he return, and shall not come into this city, saith Jehovah.
[DARBY | EN | OT | Isaiah | Chapter 37 | Verse 35] And I will defend this city, to save it, for mine own sake, and for my servant David's sake.
[DARBY | EN | OT | Isaiah | Chapter 37 | Verse 36] And an angel of Jehovah went forth, and smote in the camp of the Assyrians a hundred and eighty-five thousand. And when they arose early in the morning, behold, they were all dead bodies.
[DARBY | EN | OT | Isaiah | Chapter 37 | Verse 37] And Sennacherib king of Assyria departed, and went and returned, and abode at Nineveh.
[DARBY | EN | OT | Isaiah | Chapter 37 | Verse 38] And it came to pass, as he was worshipping in the house of Nisroch his god, that Adrammelech and Sharezer his sons smote him with the sword; and they escaped into the land of Ararat. And Esarhaddon his son reigned in his stead.
