[YLT | EN | OT | Leviticus | Chapter 23 | Verse 1] And Jehovah speaketh unto Moses, saying,
[YLT | EN | OT | Leviticus | Chapter 23 | Verse 14] 'And bread and roasted corn and full ears ye do not eat until this self-same day, until your bringing in the offering of your God — a statute age-during to your generations, in all your dwellings.
[YLT | EN | OT | Leviticus | Chapter 23 | Verse 15] 'And ye have numbered to you from the morrow of the sabbath, from the day of your bringing in the sheaf of the wave-offering: they are seven perfect sabbaths;
[YLT | EN | OT | Leviticus | Chapter 23 | Verse 16] unto the morrow of the seventh sabbath ye do number fifty days, and ye have brought near a new present to Jehovah;
[YLT | EN | OT | Leviticus | Chapter 23 | Verse 17] out of your dwellings ye bring in bread of a wave-offering, two [loaves], of two tenth deals of flour they are, [with] yeast they are baken, first -[fruits] to Jehovah.
[YLT | EN | OT | Leviticus | Chapter 23 | Verse 18] 'And ye have brought near, besides the bread, seven lambs, perfect ones, sons of a year, and one bullock, a son of the herd, and two rams; they are a burnt-offering to Jehovah, with their present and their libations, a fire-offering of sweet fragrance to Jehovah.
[YLT | EN | OT | Leviticus | Chapter 23 | Verse 19] 'And ye have prepared one kid of the goats for a sin-offering, and two lambs, sons of a year, for a sacrifice of peace-offerings,
[YLT | EN | OT | Leviticus | Chapter 23 | Verse 20] and the priest hath waved them, besides the bread of the first -[fruits] — a wave-offering before Jehovah, besides the two lambs; they are holy to Jehovah for the priest;
[YLT | EN | OT | Leviticus | Chapter 23 | Verse 21] and ye have proclaimed on this self-same day: a holy convocation is to you, ye do no servile work — a statute age-during in all your dwellings, to your generations.
[YLT | EN | OT | Leviticus | Chapter 23 | Verse 22] 'And in your reaping the harvest of your land thou dost not complete the corner of thy field in thy reaping, and the gleaning of thy harvest thou dost not gather, to the poor and to the sojourner thou dost leave them; I Jehovah [am] your God.'
[YLT | EN | OT | Leviticus | Chapter 23 | Verse 23] And Jehovah speaketh unto Moses, saying,
[YLT | EN | OT | Leviticus | Chapter 23 | Verse 24] 'Speak unto the sons of Israel, saying, In the seventh month, on the first of the month, ye have a sabbath, a memorial of shouting, a holy convocation;
[YLT | EN | OT | Leviticus | Chapter 23 | Verse 25] ye do no servile work, and ye have brought near a fire-offering to Jehovah.'
[YLT | EN | OT | Leviticus | Chapter 23 | Verse 26] And Jehovah speaketh unto Moses, saying,
[YLT | EN | OT | Leviticus | Chapter 23 | Verse 27] 'Only — on the tenth of this seventh month is a day of atonements; ye have a holy convocation, and ye have humbled yourselves, and have brought near a fire-offering to Jehovah;
[YLT | EN | OT | Leviticus | Chapter 23 | Verse 28] and ye do no work in this self-same day, for it is a day of atonements, to make atonement for you, before Jehovah your God.
[YLT | EN | OT | Leviticus | Chapter 23 | Verse 29] 'For any person who is not humbled in this self-same day hath even been cut off from his people;
[YLT | EN | OT | Leviticus | Chapter 23 | Verse 30] and any person who doth any work in this self-same day I have even destroyed that person from the midst of his people;
[YLT | EN | OT | Leviticus | Chapter 23 | Verse 31] ye do no work — a statute age-during to your generations in all your dwellings.
[YLT | EN | OT | Leviticus | Chapter 23 | Verse 32] It [is] a sabbath of rest to you, and ye have humbled yourselves in the ninth of the month at even; from evening till evening ye do keep your sabbath.'
[YLT | EN | OT | Leviticus | Chapter 23 | Verse 33] And Jehovah speaketh unto Moses, saying,
[YLT | EN | OT | Leviticus | Chapter 23 | Verse 34] 'Speak unto the sons of Israel, saying, In the fifteenth day of this seventh month [is] a feast of booths seven days to Jehovah;
[YLT | EN | OT | Leviticus | Chapter 23 | Verse 35] on the first day [is] a holy convocation, ye do no servile work,
[YLT | EN | OT | Leviticus | Chapter 23 | Verse 36] seven days ye bring near a fire-offering to Jehovah, on the eighth day ye have a holy convocation, and ye have brought near a fire-offering to Jehovah; it [is] a restraint, ye do no servile work.
[YLT | EN | OT | Leviticus | Chapter 23 | Verse 37] 'These [are] appointed seasons of Jehovah, which ye proclaim holy convocations, to bring near a fire-offering to Jehovah, a burnt-offering, and a present, a sacrifice, and libations, a thing of a day in its day,
[YLT | EN | OT | Leviticus | Chapter 23 | Verse 38] apart from the sabbaths of Jehovah, and apart from your gifts, and apart from all your vows, and apart from all your willing-offerings, which ye give to Jehovah.
[YLT | EN | OT | Leviticus | Chapter 23 | Verse 39] 'Only — in the fifteenth day of the seventh month, in your gathering the increase of the land, ye do keep the feast of Jehovah seven days; on the first day [is] a sabbath, and on the eighth day a sabbath;
[YLT | EN | OT | Leviticus | Chapter 23 | Verse 40] and ye have taken to yourselves on the first day the fruit of beautiful trees, branches of palms, and boughs of thick trees, and willows of a brook, and have rejoiced before Jehovah your God seven days.
[YLT | EN | OT | Leviticus | Chapter 23 | Verse 41] 'And ye have kept it a feast to Jehovah, seven days in a year — a statute age-during to your generations; in the seventh month ye keep it a feast.
[YLT | EN | OT | Leviticus | Chapter 23 | Verse 42] 'In booths ye dwell seven days; all who are natives in Israel dwell in booths,
[YLT | EN | OT | Leviticus | Chapter 23 | Verse 43] so that your generations do know that in booths I caused the sons of Israel to dwell; in my bringing them out of the land of Egypt; I, Jehovah, [am] your God.'
[YLT | EN | OT | Leviticus | Chapter 23 | Verse 44] And Moses speaketh [concerning] the appointed seasons of Jehovah unto the sons of Israel.
