[LXX | EL | OT | Wisdom of Solomon | Chapter 14 | Verse 1] Πλοῦν τις πάλιν στελλόμενος, καὶ ἄγρια μέλλων διοδεύειν κύματα, τοῦ φέροντος αὐτὸν πλοίου σαθρότερον ξύλον ἐπιβοᾶται.
[LXX | EL | OT | Wisdom of Solomon | Chapter 14 | Verse 16] Εἶτα ἐν χρόνῳ κρατυνθὲν τὸ ἀσεβὲς ἔθος ὡς νόμος ἐφυλάχθη,
[LXX | EL | OT | Wisdom of Solomon | Chapter 14 | Verse 17] καὶ τυράννων ἐπιταγαῖς ἐθρησκεύετο τὰ γλυπτά· οὓς ἐν ὄψει μὴ δυνάμενοι τιμᾷν ἄνθρωποι διὰ τὸ μακρὰν οἰκεῖν, τὴν πόῤῥωθεν ὄψιν ἀνατυπωσάμενοι, ἐμφανῆ εἰκόνα τοῦ τιμωμένου βασιλέως ἐποίησαν, ἵνα τὸν ἀπόντα ὡς παρόντα κολακεύωσι διὰ τῆς σπουδῆς.
[LXX | EL | OT | Wisdom of Solomon | Chapter 14 | Verse 18] Εἰς ἐπίτασιν δὲ θρησκείας καὶ τοὺς ἀγνοοῦντας ἡ τοῦ τεχνίτου προετρέψατο φιλοτιμία.
[LXX | EL | OT | Wisdom of Solomon | Chapter 14 | Verse 19] Ὁ μὲν γὰρ τάχα τῷ κρατοῦντι βουλόμενος ἀρέσαι, ἐξεβιάσατο τῇ τέχνῃ τὴν ὁμοιότητα ἐπὶ τὸ κάλλιον.
[LXX | EL | OT | Wisdom of Solomon | Chapter 14 | Verse 20] Τὸ δὲ πλῆθος ἐφελκόμενον διὰ τὸ εὔχαρι τῆς ἐργασίας, τὸν πρὸ ὀλίγου τιμηθέντα ἄνθρωπον, νῦν σέβασμα ἐλογίσαντο.
[LXX | EL | OT | Wisdom of Solomon | Chapter 14 | Verse 21] Καὶ τοῦτο ἐγένετο τῷ βίῳ εἰς ἔνεδρον, ὅτι ἢ συμφορᾷ ἢ τυραννίδι δουλεύσαντες ἄνθρωποι, τὸ ἀκοινώνητον ὄνομα λίθοις καὶ ξύλοις περιέθεσαν.
[LXX | EL | OT | Wisdom of Solomon | Chapter 14 | Verse 22] Εἶτʼ οὐκ ἤρκεσε τὸ πλανᾶσθαι περὶ τὴν τοῦ Θεοῦ γνῶσιν, ἀλλὰ καὶ μεγάλῳ ζῶντες ἀγνοίας πολέμῳ, τὰ τοσαῦτα κακὰ εἰρήνην προσαγορεύουσιν.
[LXX | EL | OT | Wisdom of Solomon | Chapter 14 | Verse 23] Ἢ γὰρ τεκνοφόνους τελετὰς, ἢ κρύφια μυστήρια, ἢ ἐμμανεῖς ἐξ ἄλλων θεσμῶν κώμους ἄγοντες,
[LXX | EL | OT | Wisdom of Solomon | Chapter 14 | Verse 24] οὔτε βίους οὔτε γάμους καθαροὺς ἔτι φυλάσσουσιν, ἕτερος δʼ ἕτερον ἢ λοχῶν ἀναιρεῖ, ἢ νοθεύων ὀδυνᾷ.
[LXX | EL | OT | Wisdom of Solomon | Chapter 14 | Verse 25] Πάντα δʼ ἐπιμὶξ ἔχει αἷμα καὶ φόνος, κλοπὴ καὶ δόλος, φθορὰ, ἀπιστία, ταραχὴ, ἐπιορκία,
[LXX | EL | OT | Wisdom of Solomon | Chapter 14 | Verse 26] θόρυβος ἀγαθῶν, χάριτος ἀμνησία, ψυχῶν μιασμὸς, γενέσεως ἐναλλαγὴ, γάμων ἀταξία, μοιχεία, καὶ ἀσέλγεια.
[LXX | EL | OT | Wisdom of Solomon | Chapter 14 | Verse 27] Ἡ γὰρ τῶν ἀνωνύμων εἰδώλων θρησκεία παντὸς ἀρχὴ κακοῦ καὶ αἰτία καὶ πέρας ἐστίν.
[LXX | EL | OT | Wisdom of Solomon | Chapter 14 | Verse 28] Ἢ γὰρ εὐφραινόμενοι μεμῄνασιν, ἢ προφητεύουσι ψευδῆ, ἢ ζῶσιν ἀδίκως, ἢ ἐπιορκοῦσι ταχέως.
[LXX | EL | OT | Wisdom of Solomon | Chapter 14 | Verse 29] Ἀψύχοις γὰρ πεποιθότες εἰδώλοις, κακῶς ὀμόσαντες, ἀδικηθῆναι οὐ προσδέχονται.
[LXX | EL | OT | Wisdom of Solomon | Chapter 14 | Verse 30] Ἀμφότερα δὲ αὐτοὺς μετελεύσεται τὰ δίκαια, ὅτι κακῶς ἐφρόνησαν περὶ Θεοῦ προσχόντες εἰδώλοις, καὶ ἀδίκως ὤμοσαν ἐν δόλῳ καταφρονήσαντες ὁσιότητος.
[LXX | EL | OT | Wisdom of Solomon | Chapter 14 | Verse 31] Οὐ γὰρ ἡ τῶν ὀμνυομένων δύναμις, ἀλλʼ ἡ τῶν ἁμαρτανόντων δίκη ἐπεξέρχεται ἀεὶ τὴν τῶν ἀδίκων παράβασιν.
