[LXX | EL | OT | Wisdom of Solomon | Chapter 7 | Verse 1] Εἰμι μὲν κᾀγὼ θνητὸς ἄνθρωπος, ἶσος ἅπασι, καὶ γηγενοῦς ἀπόγονος πρωτοπλάστου.
[LXX | EL | OT | Wisdom of Solomon | Chapter 7 | Verse 15] Ἐμοὶ δὲ δῴη ὁ Θεὸς εἰπεῖν κατὰ γνώμην, καὶ ἐνθυμηθῆναι ἀξίως τῶν δεδομένων, ὅτι αὐτὸς καὶ τῆς σοφίας ὁδηγός ἐστι, καὶ τῶν σοφῶν διορθωτής.
[LXX | EL | OT | Wisdom of Solomon | Chapter 7 | Verse 16] Ἐν γὰρ χειρὶ αὐτοῦ καὶ ἡμεῖς καὶ οἱ λόγοι ἡμῶν, πᾶσά τε φρόνησις καὶ ἐργατειῶν ἐπιστήμη.
[LXX | EL | OT | Wisdom of Solomon | Chapter 7 | Verse 17] Αὐτὸς γάρ μοι ἔδωκε τῶν ὄντων γνῶσιν ἀψευδῆ, εἰδέναι σύστασιν κόσμου καὶ ἐνέργειαν στοιχείων,
[LXX | EL | OT | Wisdom of Solomon | Chapter 7 | Verse 18] ἀρχὴν καὶ τέλος καὶ μεσότητα χρόνων, τροπῶν ἀλλαγὰς καὶ μεταβολὰς καιρῶν,
[LXX | EL | OT | Wisdom of Solomon | Chapter 7 | Verse 19] ἐνιαυτῶν κύκλους καὶ ἀστέρων θέσεις,
[LXX | EL | OT | Wisdom of Solomon | Chapter 7 | Verse 20] φύσεις ζώων καὶ θυμοὺς θηρίων, πνευμάτων βίας καὶ διαλογισμοὺς ἀνθρώπων, διαφορὰς φυτῶν καὶ δυνάμεις ῥιζῶν,
[LXX | EL | OT | Wisdom of Solomon | Chapter 7 | Verse 21] ὅσα τέ ἐστι κρυπτὰ καὶ ἐμφανῆ ἔγνων.
[LXX | EL | OT | Wisdom of Solomon | Chapter 7 | Verse 22] Ἡ γὰρ πάντων τεχνίτις ἐδίδαξέ με σοφία· ἔστι γὰρ ἐν αὐτῇ πνεῦμα νοερὸν, ἅγιον, μονογενὲς, πολυμερὲς, λεπτὸν, εὐκίνητον, τρανὸν, ἀμόλυντον, σαφὲς, ἀπήμαντον, φιλάγαθον, ὀξὺ, ἀκώλυτον, εὐεργετικὸν,
[LXX | EL | OT | Wisdom of Solomon | Chapter 7 | Verse 23] φιλάνθρωπον, βέβαιον, ἀσφαλὲς, ἀμέριμνον, παντοδύναμον, πανεπίσκοπον, καὶ διὰ πάντων χωροῦν πνευμάτων νοερῶν, καθαρῶν, λεπτοτάτων.
[LXX | EL | OT | Wisdom of Solomon | Chapter 7 | Verse 24] Πάσης γὰρ κινήσεως κινητικώτερον σοφία, διήκει δὲ καὶ χωρεῖ διὰ πάντων διὰ τὴν καθαρότητα.
[LXX | EL | OT | Wisdom of Solomon | Chapter 7 | Verse 25] Ἀτμὶς γάρ ἐστι τῆς τοῦ Θεοῦ δυνάμεως. καὶ ἀπόῤῥοια τῆς τοῦ παντοκράτορος δόξης εἰλικρινής· διὰ τοῦτο οὐδὲν μεμιαμμένον εἰς αὐτὴν παρεμπίπτει.
[LXX | EL | OT | Wisdom of Solomon | Chapter 7 | Verse 26] Ἀπαύγασμα γάρ ἐστι φωτὸς ἀϊδίου, καὶ ἔσοπτρον ἀκηλίδωτον τῆς τοῦ Θεοῦ ἐνεργείας, καὶ εἰκὼν τῆς ἀγαθότητος αὐτοῦ.
[LXX | EL | OT | Wisdom of Solomon | Chapter 7 | Verse 27] Μία δὲ οὖσα πάντα δύναται, καὶ μένουσα ἐν αὑτῇ τὰ πάντα καινίζει, καὶ κατὰ γενεὰς εἰς ψυχὰς ὁσίας μεταβαίνουσα, φίλους Θεοῦ καὶ προφήτας κατασκευάζει.
[LXX | EL | OT | Wisdom of Solomon | Chapter 7 | Verse 28] Οὐθὲν γὰρ ἀγαπᾷ ὁ Θεὸς, εἰ μὴ τὸν σοφίᾳ συνοικοῦντα.
[LXX | EL | OT | Wisdom of Solomon | Chapter 7 | Verse 29] Ἔστι γὰρ αὕτη εὐπρεπεστέρα ἡλίου, καὶ ὑπὲρ πᾶσαν ἄστρων θέσιν, φωτὶ συγκρινομένη εὑρίσκεται προτέρα.
[LXX | EL | OT | Wisdom of Solomon | Chapter 7 | Verse 30] Τοῦτο μὲν γὰρ διαδέχεται νὺξ, σοφίας δὲ οὐκ ἀντισχύει κακία.
