[LXX | EL | OT | Wisdom of Solomon | Chapter 16 | Verse 1] Διὰ τοῦτο διʼ ὁμοίων ἐκολάσθησαν ἀξίως, καὶ διὰ πλήθους κνωδάλον ἐβασανίσθησαν.
[LXX | EL | OT | Wisdom of Solomon | Chapter 16 | Verse 12] Καὶ γὰρ οὔτε βοτάνη οὔτε μάλαγμα ἐθεράπευσεν αὐτοὺς, ἀλλὰ ὁ σός Κύριε λόγος ὁ πάντα ἰώμενος.
[LXX | EL | OT | Wisdom of Solomon | Chapter 16 | Verse 13] Σὺ γὰρ ζωῆς καὶ θανάτου ἐξουσίαν ἔχεις, καὶ κατάγεις εἰς πύλας ᾅδου καὶ ἀνάγεις.
[LXX | EL | OT | Wisdom of Solomon | Chapter 16 | Verse 14] Ἄνθρωπος δὲ ἀποκτέννει μὲν τῇ κακίᾳ αὐτοῦ, ἐξελθὸν δὲ πνεῦμα οὐκ ἀναστρέφει, οὐδὲ ἀναλύει ψυχὴν παραληφθεῖσαν.
[LXX | EL | OT | Wisdom of Solomon | Chapter 16 | Verse 15] Τὴν δὲ σὴν χεῖρα φυγεῖν ἀδύνατόν ἐστιν.
[LXX | EL | OT | Wisdom of Solomon | Chapter 16 | Verse 16] Ἀρνούμενοι γάρ σε εἰδέναι ἀσεβεῖς, ἐν ἰσχύϊ βραχίονός σου ἐμαστιγώθησαν, ξένοις ὑετοῖς καὶ χαλάζαις καὶ ὄμβροις διωκόμενοι ἀπαραιτήτοις, καὶ πυρὶ καταναλισκόμενοι.
[LXX | EL | OT | Wisdom of Solomon | Chapter 16 | Verse 17] Τὸ γὰρ παραδοξότατον, ἐν τῷ πάντα σβεννῦντι ὕδατι πλεῖον ἐνήργει τὸ πῦρ· ὑπέρμαχος γὰρ ὁ κόσμος ἐστὶ δικαίων.
[LXX | EL | OT | Wisdom of Solomon | Chapter 16 | Verse 18] Ποτὲ μὲν γὰρ ἡμεροῦτο φλὸξ, ἵνα μὴ καταφλέξῃ τὰ ἐπʼ ἀσεβεῖς ἀπεσταλμένα ζῶα, ἀλλʼ αὐτοὶ βλέποντες ἴδωσιν, ὅτι Θεοῦ κρίσει ἐλαύνονται.
[LXX | EL | OT | Wisdom of Solomon | Chapter 16 | Verse 19] Ποτὲ δὲ καὶ μεταξὺ ὕδατος ὑπὲρ τὴν πυρὸς δυναμιν φλέγει, ἵνα ἀδίκου γῆς γεννήματα διαφθείρῃ.
[LXX | EL | OT | Wisdom of Solomon | Chapter 16 | Verse 20] Ἀνθʼ ὧν ἀγγέλων τροφὴν ἐψώμισας τὸ λαόν σου, καὶ ἕτοιμον ἄρτον αὐτοῖς ἀπʼ οὐρανοῦ ἔπεμψας ἀκοπιάτως, πᾶσαν ἡδονὴν ἰσχύοντα καὶ πρὸς πᾶσαν ἁρμόνιον γεῦσιν.
[LXX | EL | OT | Wisdom of Solomon | Chapter 16 | Verse 21] Ἡ μὲν γὰρ ὑπόστασίς σου τὴν σὴν γλυκύτητα πρὸς τέκνα ἐνεφάνισε, τῇ δὲ τοῦ προσφερομένου ἐπιθυμίᾳ ὑπηρετῶν, πρὸς ὅ τις ἐβούλετο μετεκιρνᾶτο.
[LXX | EL | OT | Wisdom of Solomon | Chapter 16 | Verse 22] Χιὼν δὲ καὶ κρύσταλλος ὑπέμεινε πῦρ, καὶ οὐκ ἐτήκετο, ἵνα γνῶσιν ὅτι τοὺς τῶν ἐχθρῶν καρποὺς κατέφθειρε πῦρ φλεγομένον, ἐν τῇ χαλάζῃ καὶ ἐν τοῖς ὑετοῖς διαστράπτον.
[LXX | EL | OT | Wisdom of Solomon | Chapter 16 | Verse 23] Τοῦτο πάλιν δʼ ἵνα τραφῶσι δίκαιοι, καὶ τῆς ἰδίας ἐπιλελῆσθαι δυνάμεως.
[LXX | EL | OT | Wisdom of Solomon | Chapter 16 | Verse 24] Ἡ γὰρ κτίσις σοι τῷ ποιήσαντι ὑπηρετοῦσα, ἐπιτείνεται εἰς κόλασιν κατὰ τῶν ἀδίκων, καὶ ἀνίεται εἰς εὐεργεσίαν ὑπὲρ τῶν εἰς σὲ πεποιθότων.
[LXX | EL | OT | Wisdom of Solomon | Chapter 16 | Verse 25] Διὰ τοῦτο καὶ τότε εἰς πάντα μεταλλευομένη, τῇ παντοτρόφῳ σου δωρεᾷ ὑπηρετεῖ, πρὸς τὴν τῶν δεομένων θέλησιν·
[LXX | EL | OT | Wisdom of Solomon | Chapter 16 | Verse 26] ἵνα μάθωσιν οἱ υἱοί σου, οὓς ἠγάπησας, Κύριε, ὅτι οὐχ αἱ γενέσεις τῶν καρπῶν τρέφουσιν ἄνθρωπον, ἀλλὰ τὸ ῥῆμά σου τούς σοι πιστεύοντας διατηρεῖ.
[LXX | EL | OT | Wisdom of Solomon | Chapter 16 | Verse 27] Τὸ γὰρ ὑπὸ πυρὸς μὴ φθειρόμενον, ἁπλῶς ὑπὸ βραχείας ἀκτῖνος ἡλίου θερμαινόμενον ἐτήκετο·
[LXX | EL | OT | Wisdom of Solomon | Chapter 16 | Verse 28] ὅπως γνωστὸν ᾖ, ὅτι δεῖ φθάνειν τὸν ἥλιον ἐπʼ εὐχαριστίαν σου, καὶ πρὸς ἀνατολὴν φωτὸς ἐντυγχάνειν σοι.
[LXX | EL | OT | Wisdom of Solomon | Chapter 16 | Verse 29] Ἀχαρίστου γὰρ ἐλπὶς ὡς χειμέριος πάχνη τακήσεται, καὶ ῥυήσεται ὡς ὕδωρ ἄχρηστον.
