[WEBSTER | EN | NT | Acts | Chapter 15 | Verse 1] And certain men who came down from Judea, taught the brethren, and said , Except ye be circumcised after the manner of Moses, ye cannot be saved.
[WEBSTER | EN | NT | Acts | Chapter 15 | Verse 19] Wherefore my sentence is, that we trouble not them, who from among the Gentiles are turned to God:
[WEBSTER | EN | NT | Acts | Chapter 15 | Verse 20] But that we write to them that they abstain from pollutions of idols, and from lewdness, and from things strangled, and from blood.
[WEBSTER | EN | NT | Acts | Chapter 15 | Verse 21] For Moses of old time hath in every city them that preach him, being read in the synagogues every sabbath.
[WEBSTER | EN | NT | Acts | Chapter 15 | Verse 22] Then it pleased the apostles and elders, with the whole church, to send chosen men of their own company to Antioch, with Paul and Barnabas; namely , Judas surnamed Barsabas, and Silas, chief men among the brethren:
[WEBSTER | EN | NT | Acts | Chapter 15 | Verse 23] And they wrote letters by them after this manner; The apostles, and elders, and brethren, send greeting to the brethren who are of the Gentiles in Antioch, and Syria, and Cilicia.
[WEBSTER | EN | NT | Acts | Chapter 15 | Verse 24] Forasmuch as we have heard, that certain who went out from us, have troubled you with words, subverting your souls, saying, Ye must be circumcised, and keep the law; to whom we gave no such commandment:
[WEBSTER | EN | NT | Acts | Chapter 15 | Verse 25] It seemed good to us, being assembled with one accord, to send chosen men to you, with our beloved Barnabas and Paul:
[WEBSTER | EN | NT | Acts | Chapter 15 | Verse 26] Men that have hazarded their lives for the name of our Lord Jesus Christ.
[WEBSTER | EN | NT | Acts | Chapter 15 | Verse 27] We have sent therefore Judas and Silas, who will also tell you the same things by mouth.
[WEBSTER | EN | NT | Acts | Chapter 15 | Verse 28] For it seemed good to the Holy Spirit, and to us, to lay upon you no greater burden than these necessary things;
[WEBSTER | EN | NT | Acts | Chapter 15 | Verse 29] That ye abstain from things offered to idols, and from blood, and from things strangled, and from lewdness: from which if ye keep yourselves, ye will do well. Fare ye well.
[WEBSTER | EN | NT | Acts | Chapter 15 | Verse 30] So when they were dismissed, they came to Antioch: and when they had convened the multitude, they delivered the epistle.
[WEBSTER | EN | NT | Acts | Chapter 15 | Verse 31] Which when they had read, they rejoiced for the consolation.
[WEBSTER | EN | NT | Acts | Chapter 15 | Verse 32] And Judas and Silas, being prophets also themselves, exhorted the brethren with many words, and confirmed them .
[WEBSTER | EN | NT | Acts | Chapter 15 | Verse 33] And after they had tarried there a time, they were dismissed in peace from the brethren to the apostles.
[WEBSTER | EN | NT | Acts | Chapter 15 | Verse 34] Notwithstanding, it pleased Silas to abide there still.
[WEBSTER | EN | NT | Acts | Chapter 15 | Verse 35] Paul also and Barnabas continued in Antioch, teaching and preaching the word of the Lord, with many others also.
[WEBSTER | EN | NT | Acts | Chapter 15 | Verse 36] And some days after, Paul said to Barnabas, Let us go again and visit our brethren, in every city where we have preached the word of the Lord, and see how they do.
[WEBSTER | EN | NT | Acts | Chapter 15 | Verse 37] And Barnabas determined to take with them John, whose surname was Mark.
[WEBSTER | EN | NT | Acts | Chapter 15 | Verse 38] But Paul thought not good to take him with them, who departed from them from Pamphylia, and went not with them to the work.
[WEBSTER | EN | NT | Acts | Chapter 15 | Verse 39] And the contention was so sharp between them, that they departed, separating one from the other: and so Barnabas took Mark, and sailed to Cyprus.
[WEBSTER | EN | NT | Acts | Chapter 15 | Verse 40] And Paul chose Silas, and departed, being commended by the brethren to the grace of God.
[WEBSTER | EN | NT | Acts | Chapter 15 | Verse 41] And he went through Syria and Cilicia, confirming the churches.
