[JPS | EN | OT | Numbers | Chapter 1 | Verse 1] AND THE LORD spoke unto Moses in the wilderness of Sinai, in the tent of meeting, on the first day of the second month, in the second year after they were come out of the land of Egypt, saying:
[JPS | EN | OT | Numbers | Chapter 1 | Verse 21] those that were numbered of them, of the tribe of Reuben, were forty and six thousand and five hundred.
[JPS | EN | OT | Numbers | Chapter 1 | Verse 22] Of the children of Simeon, their generations, by their families, by their fathers' houses, those that were numbered thereof, according to the number of names, by their polls, every male from twenty years old and upward, all that were able to go forth to war;
[JPS | EN | OT | Numbers | Chapter 1 | Verse 23] those that were numbered of them, of the tribe of Simeon, were fifty and nine thousand and three hundred.
[JPS | EN | OT | Numbers | Chapter 1 | Verse 24] Of the children of Gad, their generations, by their families, by their fathers' houses, according to the number of names, from twenty years old and upward, all that were able to go forth to war;
[JPS | EN | OT | Numbers | Chapter 1 | Verse 25] those that were numbered of them, of the tribe of Gad, were forty and five thousand six hundred and fifty.
[JPS | EN | OT | Numbers | Chapter 1 | Verse 26] Of the children of Judah, their generations, by their families, by their fathers' houses, according to the number of names, from twenty years old and upward, all that were able to go forth to war;
[JPS | EN | OT | Numbers | Chapter 1 | Verse 27] those that were numbered of them, of the tribe of Judah, were threescore and fourteen thousand and six hundred.
[JPS | EN | OT | Numbers | Chapter 1 | Verse 28] Of the children of Issachar, their generations, by their families, by their fathers' houses, according to the number of names, from twenty years old and upward, all that were able to go forth to war;
[JPS | EN | OT | Numbers | Chapter 1 | Verse 29] those that were numbered of them, of the tribe of Issachar, were fifty and four thousand and four hundred.
[JPS | EN | OT | Numbers | Chapter 1 | Verse 30] Of the children of Zebulun, their generations, by their families, by their fathers' houses, according to the number of names, from twenty years old and upward, all that were able to go forth to war;
[JPS | EN | OT | Numbers | Chapter 1 | Verse 31] those that were numbered of them, of the tribe of Zebulun, were fifty and seven thousand and four hundred.
[JPS | EN | OT | Numbers | Chapter 1 | Verse 32] Of the children of Joseph, namely, of the children of Ephraim, their generations, by their families, by their fathers' houses, according to the number of names, from twenty years old and upward, all that were able to go forth to war;
[JPS | EN | OT | Numbers | Chapter 1 | Verse 33] those that were numbered of them, of the tribe of Ephraim, were forty thousand and five hundred.
[JPS | EN | OT | Numbers | Chapter 1 | Verse 34] Of the children of Manasseh, their generations, by their families, by their fathers' houses, according to the number of names, from twenty years old and upward, all that were able to go forth to war;
[JPS | EN | OT | Numbers | Chapter 1 | Verse 35] those that were numbered of them, of the tribe of Manasseh, were thirty and two thousand and two hundred.
[JPS | EN | OT | Numbers | Chapter 1 | Verse 36] Of the children of Benjamin, their generations, by their families, by their fathers' houses, according to the number of names, from twenty years old and upward, all that were able to go forth to war;
[JPS | EN | OT | Numbers | Chapter 1 | Verse 37] those that were numbered of them, of the tribe of Benjamin, were thirty and five thousand and four hundred.
[JPS | EN | OT | Numbers | Chapter 1 | Verse 38] Of the children of Dan, their generations, by their families, by their fathers' houses, according to the number of names, from twenty years old and upward, all that were able to go forth to war;
[JPS | EN | OT | Numbers | Chapter 1 | Verse 39] those that were numbered of them, of the tribe of Dan, were threescore and two thousand and seven hundred.
[JPS | EN | OT | Numbers | Chapter 1 | Verse 40] Of the children of Asher, their generations, by their families, by their fathers' houses, according to the number of names, from twenty years old and upward, all that were able to go forth to war;
[JPS | EN | OT | Numbers | Chapter 1 | Verse 41] those that were numbered of them, of the tribe of Asher, were forty and one thousand and five hundred.
[JPS | EN | OT | Numbers | Chapter 1 | Verse 42] Of the children of Naphtali, their generations, by their families, by their fathers' houses, according to the number of names, from twenty years old and upward, all that were able to go forth to war;
[JPS | EN | OT | Numbers | Chapter 1 | Verse 43] those that were numbered of them, of the tribe of Naphtali, were fifty and three thousand and four hundred.
[JPS | EN | OT | Numbers | Chapter 1 | Verse 44] These are those that were numbered, which Moses and Aaron numbered, and the princes of Israel, being twelve men; they were each one for his fathers' house.
[JPS | EN | OT | Numbers | Chapter 1 | Verse 45] And all those that were numbered of the children of Israel by their fathers' houses, from twenty years old and upward, all that were able to go forth to war in Israel;
[JPS | EN | OT | Numbers | Chapter 1 | Verse 46] even all those that were numbered were six hundred thousand and three thousand and five hundred and fifty.
[JPS | EN | OT | Numbers | Chapter 1 | Verse 47] But the Levites after the tribe of their fathers were not numbered among them.
[JPS | EN | OT | Numbers | Chapter 1 | Verse 48] And the LORD spoke unto Moses, saying:
[JPS | EN | OT | Numbers | Chapter 1 | Verse 49] 'Howbeit the tribe of Levi thou shalt not number, neither shalt thou take the sum of them among the children of Israel;
[JPS | EN | OT | Numbers | Chapter 1 | Verse 50] but appoint thou the Levites over the tabernacle of the testimony, and over all the furniture thereof, and over all that belongeth to it; they shall bear the tabernacle, and all the furniture thereof; and they shall minister unto it, and shall encamp round about the tabernacle.
[JPS | EN | OT | Numbers | Chapter 1 | Verse 51] And when the tabernacle setteth forward, the Levites shall take it down; and when the tabernacle is to be pitched, the Levites shall set it up; and the common man that draweth nigh shall be put to death.
[JPS | EN | OT | Numbers | Chapter 1 | Verse 52] And the children of Israel shall pitch their tents, every man with his own camp, and every man with his own standard, according to their hosts.
[JPS | EN | OT | Numbers | Chapter 1 | Verse 53] But the Levites shall pitch round about the tabernacle of the testimony, that there be no wrath upon the congregation of the children of Israel; and the Levites shall keep the charge of the tabernacle of the testimony.'
[JPS | EN | OT | Numbers | Chapter 1 | Verse 54] Thus did the children of Israel; according to all that the LORD commanded Moses, so did they.
