[DARBY | EN | OT | Exodus | Chapter 39 | Verse 1] And of the blue and purple and scarlet they made garments of service, for service in the sanctuary, and made the holy garments for Aaron; as Jehovah had commanded Moses.
[DARBY | EN | OT | Exodus | Chapter 39 | Verse 21] And they bound the breastplate with its rings to the rings of the ephod with lace of blue, that it might be above the girdle of the ephod, and that the breastplate might not be loosed from the ephod; as Jehovah had commanded Moses.
[DARBY | EN | OT | Exodus | Chapter 39 | Verse 22] And he made the cloak of the ephod of woven work, all of blue;
[DARBY | EN | OT | Exodus | Chapter 39 | Verse 23] and the opening of the cloak in its middle, as the opening of a coat of mail; a binding was round about the opening, that it should not rend.
[DARBY | EN | OT | Exodus | Chapter 39 | Verse 24] And they made on the skirts of the cloak pomegranates of blue and purple and scarlet, twined.
[DARBY | EN | OT | Exodus | Chapter 39 | Verse 25] And they made bells of pure gold, and put the bells between the pomegranates, in the skirts of the cloak, round about, between the pomegranates:
[DARBY | EN | OT | Exodus | Chapter 39 | Verse 26] a bell and a pomegranate, a bell and a pomegranate, in the skirts of the cloak round about, for service; as Jehovah had commanded Moses.
[DARBY | EN | OT | Exodus | Chapter 39 | Verse 27] And they made the vests of byssus of woven work, for Aaron, and for his sons;
[DARBY | EN | OT | Exodus | Chapter 39 | Verse 28] and the turban of byssus; and the ornamental caps, of byssus; and the linen trousers, of twined byssus;
[DARBY | EN | OT | Exodus | Chapter 39 | Verse 29] and the girdle, of twined byssus, and blue, and purple, and scarlet, of embroidery; as Jehovah had commanded Moses.
[DARBY | EN | OT | Exodus | Chapter 39 | Verse 30] And they made the thin plate, the holy diadem, of pure gold, and wrote on it with the writing of the engravings of a seal, Holiness to Jehovah!
[DARBY | EN | OT | Exodus | Chapter 39 | Verse 31] And they fastened to it a lace of blue, to fasten [it] on the turban above; as Jehovah had commanded Moses.
[DARBY | EN | OT | Exodus | Chapter 39 | Verse 32] And all the labour of the tabernacle of the tent of meeting was ended; and the children of Israel had done [it] according to all that Jehovah had commanded Moses — so had they done [it].
[DARBY | EN | OT | Exodus | Chapter 39 | Verse 33] And they brought the tabernacle to Moses — the tent, and all its utensils, its clasps, its boards, its bars, and its pillars, and its bases;
[DARBY | EN | OT | Exodus | Chapter 39 | Verse 34] and the covering of rams' skins dyed red, and the covering of badgers' skins, and the veil of separation;
[DARBY | EN | OT | Exodus | Chapter 39 | Verse 35] the ark of the testimony, and its staves, and the mercy-seat;
[DARBY | EN | OT | Exodus | Chapter 39 | Verse 36] the table, all its utensils, and the shewbread;
[DARBY | EN | OT | Exodus | Chapter 39 | Verse 37] the pure candlestick, its lamps, the lamps set in order, and all its utensils, and the oil for the light;
[DARBY | EN | OT | Exodus | Chapter 39 | Verse 38] and the golden altar, and the anointing oil, and the incense of fragrant drugs; and the curtain for the entrance of the tent;
[DARBY | EN | OT | Exodus | Chapter 39 | Verse 39] the copper altar, and the copper grating that was for it, its staves and all its utensils; the laver and its stand;
[DARBY | EN | OT | Exodus | Chapter 39 | Verse 40] the hangings of the court, its pillars, and its bases; and the curtain for the gate of the court, its cords, and its pegs; and all the vessel's of service of the tabernacle, for the tent of meeting;
[DARBY | EN | OT | Exodus | Chapter 39 | Verse 41] the garments of service, for service in the sanctuary; the holy garments for Aaron the priest, and his sons' garments, to serve as priests.
[DARBY | EN | OT | Exodus | Chapter 39 | Verse 42] According to all that Jehovah had commanded Moses, so had the children of Israel done all the labour.
[DARBY | EN | OT | Exodus | Chapter 39 | Verse 43] And Moses saw all the work, and behold, they had done it as Jehovah had commanded — so had they done [it]; and Moses blessed them.
