[IRV | GU | OT | 1 Samuel | Chapter 12 | Verse 1] શમુએલે સર્વ ઇઝરાયલીઓને કહ્યું, “જે વિનંતી તમે મારી આગળ કરી હતી તે મેં સાંભળી છે. અને મેં તમારા પર એક રાજા નીમ્યો છે.
[IRV | GU | OT | 1 Samuel | Chapter 12 | Verse 12] જયારે તમે જોયું કે આમ્મોનીઓનો રાજા નાહાશ તમારી પર ચઢી આવ્યો, ત્યારે ઈશ્વર તમારા પ્રભુ, તમારા રાજા હતા તે છતાં તમે મને કહ્યું કે, ‘એમ નહિ,! પણ અમારા પર એક રાજા અધિકાર ચલાવે.
[IRV | GU | OT | 1 Samuel | Chapter 12 | Verse 13] તો હવે જે રાજાને તમે પસંદ કર્યો છે, જેને તમે માંગી લીધો છે, જેને ઈશ્વરે તમારા પર રાજા અભિષિક્ત કર્યો છે, તે અહીં છે.
[IRV | GU | OT | 1 Samuel | Chapter 12 | Verse 14] જો તમે ઈશ્વરનો ભય રાખશો, તેની સેવા કરશો, તેની વાણી સાંભળશો અને ઈશ્વરની આજ્ઞાઓની વિરુદ્ધ બંડ નહિ કરો, ત્યારે તમે તથા જે રાજા તમારા ઉપર રાજ કરતો હોય તે પણ તમારા પ્રભુ ઈશ્વરનો અનુયાયી થશે.
[IRV | GU | OT | 1 Samuel | Chapter 12 | Verse 15] પણ જો તમે ઈશ્વરની વાણી સાંભળશો નહિ, પણ ઈશ્વરની આજ્ઞાઓની વિરુદ્ધ બંડ કરશો, તો ઈશ્વરનો હાથ તમારી વિરુદ્ધ થશે, જેમ તમારા પિતૃઓની વિરુદ્ધ હતો.
[IRV | GU | OT | 1 Samuel | Chapter 12 | Verse 16] તો હવે ઊભા રહો અને જે મહાન કૃત્ય તમારી દ્રષ્ટિ આગળ ઈશ્વર કરશે તે તમે જુઓ.
[IRV | GU | OT | 1 Samuel | Chapter 12 | Verse 17] આજે ઘઉંની કાપણી નથી શું? હું ઈશ્વરને વિનંતી કરીશ, કે તે ગર્જના તથા વરસાદ મોકલે. ત્યારે તમે જાણો તથા જુઓ કે પોતાના માટે રાજા માગીને ઈશ્વરની નજરમાં તમે દુષ્ટતા કરી છે તે મોટી છે.”
[IRV | GU | OT | 1 Samuel | Chapter 12 | Verse 18] તેથી શમુએલે ઈશ્વરને વિનંતી કરી; તે દિવસે ઈશ્વરે ગર્જના તથા વરસાદ મોકલ્યા. ત્યારે સર્વ લોકો ઈશ્વરથી તથા શમુએલથી ભયભીત થયા.
[IRV | GU | OT | 1 Samuel | Chapter 12 | Verse 19] લોકોએ શમુએલને કહ્યું, “તારા સેવકોને સારુ તારા પ્રભુ ઈશ્વરને પ્રાર્થના કર કે, અમે માર્યા ન જઈએ. કેમ કે અમે અમારે સારુ રાજા માગ્યો તેથી અમારા સઘળાં પાપોમાં આ દુષ્ટતાનો ઉમેરો થયો છે.”
[IRV | GU | OT | 1 Samuel | Chapter 12 | Verse 20] શમુએલે કહ્યું, “બીહો મા, એ સર્વ દુષ્ટતા તમે કરી છે, પરંતુ ઈશ્વરની પાછળ ચાલવાથી ફરી જશો નહિ, પણ તમારા પૂર્ણ હૃદયથી તમે ઈશ્વરની સેવા કરો.
[IRV | GU | OT | 1 Samuel | Chapter 12 | Verse 21] જે નિરર્થક વસ્તુઓ કશો ફાયદો કે બચાવ કરી શકતી નથી, તે નકામી છે તેની પાછળ દોરવાશો નહિ.
[IRV | GU | OT | 1 Samuel | Chapter 12 | Verse 22] કેમ કે ઈશ્વર પોતાના મોટા નામને સારુ, પોતાના લોકોને તજી દેશે નહિ; કેમ કે તમને પોતાના ખાસ લોકો કરવા એ ઈશ્વરને સારું લાગ્યું છે.
[IRV | GU | OT | 1 Samuel | Chapter 12 | Verse 23] વળી મારા માટે, એવું ન થાય કે તમારે માટે પ્રાર્થના કરવાનું મૂકી દેવાનું પાપ હું ઈશ્વરની વિરુદ્ધ કરું. પણ હું તમને સાચા તથા ખરા રસ્તે ચાલતા શીખવીશ.
[IRV | GU | OT | 1 Samuel | Chapter 12 | Verse 24] કેવળ ઈશ્વરની બીક રાખો અને સત્યતાથી તમારા પૂર્ણ હૃદયથી તેની સેવા કરો, કેમ કે જે મહાન કૃત્યો તમારે સારુ તેમણે કર્યા છે તેનો તમે વિચાર કરો.
[IRV | GU | OT | 1 Samuel | Chapter 12 | Verse 25] પણ જો હજી તમે દુષ્ટતા કર્યા કરશો, તો તમે તમારા રાજા સાથે નાશ પામશો.”
