[JPS | EN | OT | Leviticus | Chapter 4 | Verse 1] And the LORD spoke unto Moses, saying:
[JPS | EN | OT | Leviticus | Chapter 4 | Verse 14] when the sin wherein they have sinned is known, then the assembly shall offer a young bullock for a sin-offering, and bring it before the tent of meeting.
[JPS | EN | OT | Leviticus | Chapter 4 | Verse 15] And the elders of the congregation shall lay their hands upon the head of the bullock before the LORD; and the bullock shall be killed before the LORD.
[JPS | EN | OT | Leviticus | Chapter 4 | Verse 16] And the anointed priest shall bring of the blood of the bullock to the tent of meeting.
[JPS | EN | OT | Leviticus | Chapter 4 | Verse 17] And the priest shall dip his finger in the blood, and sprinkle it seven times before the LORD, in front of the veil.
[JPS | EN | OT | Leviticus | Chapter 4 | Verse 18] And he shall put of the blood upon the horns of the altar which is before the LORD, that is in the tent of meeting, and all the remaining blood shall he pour out at the base of the altar of burnt-offering, which is at the door of the tent of meeting.
[JPS | EN | OT | Leviticus | Chapter 4 | Verse 19] And all the fat thereof shall he take off from it, and make it smoke upon the altar.
[JPS | EN | OT | Leviticus | Chapter 4 | Verse 20] Thus shall he do with the bullock; as he did with the bullock of the sin-offering, so shall he do with this; and the priest shall make atonement for them, and they shall be forgiven.
[JPS | EN | OT | Leviticus | Chapter 4 | Verse 21] And he shall carry forth the bullock without the camp, and burn it as he burned the first bullock; it is the sin-offering for the assembly.
[JPS | EN | OT | Leviticus | Chapter 4 | Verse 22] When a ruler sinneth, and doeth through error any one of all the things which the LORD his God hath commanded not to be done, and is guilty:
[JPS | EN | OT | Leviticus | Chapter 4 | Verse 23] if his sin, wherein he hath sinned, be known to him, he shall bring for his offering a goat, a male without blemish.
[JPS | EN | OT | Leviticus | Chapter 4 | Verse 24] And he shall lay his hand upon the head of the goat, and kill it in the place where they kill the burnt-offering before the LORD; it is a sin-offering.
[JPS | EN | OT | Leviticus | Chapter 4 | Verse 25] And the priest shall take of the blood of the sin-offering with his finger, and put it upon the horns of the altar of burnt-offering, and the remaining blood thereof shall he pour out at the base of the altar of burnt-offering.
[JPS | EN | OT | Leviticus | Chapter 4 | Verse 26] And all the fat thereof shall he make smoke upon the altar, as the fat of the sacrifice of peace-offerings; and the priest shall make atonement for him as concerning his sin, and he shall be forgiven.
[JPS | EN | OT | Leviticus | Chapter 4 | Verse 27] And if any one of the common people sin through error, in doing any of the things which the LORD hath commanded not to be done, and be guilty:
[JPS | EN | OT | Leviticus | Chapter 4 | Verse 28] if his sin, which he hath sinned, be known to him, then he shall bring for his offering a goat, a female without blemish, for his sin which he hath sinned.
[JPS | EN | OT | Leviticus | Chapter 4 | Verse 29] And he shall lay his hand upon the head of the sin-offering, and kill the sin-offering in the place of burnt-offering.
[JPS | EN | OT | Leviticus | Chapter 4 | Verse 30] And the priest shall take of the blood thereof with his finger, and put it upon the horns of the altar of burnt-offering, and all the remaining blood thereof shall he pour out at the base of the altar.
[JPS | EN | OT | Leviticus | Chapter 4 | Verse 31] And all the fat thereof shall he take away, as the fat is taken away from off the sacrifice of peace-offerings; and the priest shall make it smoke upon the altar for a sweet savour unto the LORD; and the priest shall make atonement for him, and he shall be forgiven.
[JPS | EN | OT | Leviticus | Chapter 4 | Verse 32] And if he bring a lamb as his offering for a sin-offering, he shall bring it a female without blemish.
[JPS | EN | OT | Leviticus | Chapter 4 | Verse 33] And he shall lay his hand upon the head of the sin-offering, and kill it for a sin-offering in the place where they kill the burnt-offering.
[JPS | EN | OT | Leviticus | Chapter 4 | Verse 34] And the priest shall take of the blood of the sin-offering with his finger, and put it upon the horns of the altar of burnt-offering, and all the remaining blood thereof shall he pour out at the base of the altar.
[JPS | EN | OT | Leviticus | Chapter 4 | Verse 35] And all the fat thereof shall he take away, as the fat of the lamb is taken away from the sacrifice of peace-offerings; and the priest shall make them smoke on the altar, upon the offerings of the LORD made by fire; and the priest shall make atonement for him as touching his sin that he hath sinned, and he shall be forgiven.
