[GNV | EN | OT | Genesis | Chapter 24 | Verse 1] Nowe Abraham was olde, and striken in yeeres, and the Lord had blessed Abraham in all things.
[GNV | EN | OT | Genesis | Chapter 24 | Verse 45] And before I had made an end of speaking in mine heart, beholde, Rebekah came foorth, and her pitcher on her shoulder, and she went downe vnto the well, and drewe water. Then I said vnto her, Giue me drinke, I pray thee.
[GNV | EN | OT | Genesis | Chapter 24 | Verse 46] And she made haste, and tooke downe her pitcher from her shoulder, and said, Drinke, and I will giue thy camels drinke also. So I dranke, and she gaue the camels drinke also.
[GNV | EN | OT | Genesis | Chapter 24 | Verse 47] Then I asked her, and said, Whose daughter art thou? And she answered, The daughter of Bethuel Nahors sonne, whom Milcah bare vnto him. Then I put the abillement vpon her face, and the bracelets vpon her hands:
[GNV | EN | OT | Genesis | Chapter 24 | Verse 48] And I bowed downe and worshipped the Lord, and blessed the Lord God of my master Abraham, which had brought me the right way to take my masters brothers daughter vnto his sone.
[GNV | EN | OT | Genesis | Chapter 24 | Verse 49] Now therefore, if ye will deale mercifully and truely with my master, tell me: and if not, tell me that I may turne me to the right hand or to the left.
[GNV | EN | OT | Genesis | Chapter 24 | Verse 50] Then answered Laban and Bethuel, and said, This thing is proceeded of the Lord: we cannot therefore say vnto thee, neither euill nor good.
[GNV | EN | OT | Genesis | Chapter 24 | Verse 51] Beholde, Rebehak is before thee, take her and goe, that she may be thy masters sonnes wife, euen as the Lord hath said.
[GNV | EN | OT | Genesis | Chapter 24 | Verse 52] And when Abrahams seruant heard their wordes, he bowed himselfe toward the earth vnto the Lord.
[GNV | EN | OT | Genesis | Chapter 24 | Verse 53] Then the seruant tooke foorth iewels of siluer, and iewels of golde, and raiment, and gaue to Rebekah: also vnto her brother and to her mother he gaue gifts.
[GNV | EN | OT | Genesis | Chapter 24 | Verse 54] Afterward they did eate and drinke, both he, and the men that were with him, and taried all night. and when they rose vp in the morning, he said, Let me depart vnto my master.
[GNV | EN | OT | Genesis | Chapter 24 | Verse 55] Then her brother and her mother answered, Let the maide abide with vs, at the least ten dayes: then shall she goe.
[GNV | EN | OT | Genesis | Chapter 24 | Verse 56] But he said vnto them, Hinder you me not, seeing the Lord hath prospered my iourney: send me away, that I may goe to my master.
[GNV | EN | OT | Genesis | Chapter 24 | Verse 57] Then they said, We will call the maide, and aske her consent.
[GNV | EN | OT | Genesis | Chapter 24 | Verse 58] And they called Rebekah, and saide vnto her, Wilt thou go with this man? And she answered, I will go.
[GNV | EN | OT | Genesis | Chapter 24 | Verse 59] So they let Rebekah their sister goe, and her nourse, with Abrahams seruant and his men.
[GNV | EN | OT | Genesis | Chapter 24 | Verse 60] And they blessed Rebekah, and sayde vnto her, Thou art our sister, growe into thousande thousands, and thy seede possesse the gate of his enemies.
[GNV | EN | OT | Genesis | Chapter 24 | Verse 61] Then Rebekah arose, and her maydes, and rode vpon the camels, and followed the man. and the seruant tooke Rebekah, and departed.
[GNV | EN | OT | Genesis | Chapter 24 | Verse 62] Nowe Izhak came from the way of Beer-lahai-roi, (for he dwelt in the South countrey)
[GNV | EN | OT | Genesis | Chapter 24 | Verse 63] And Izhak went out. to pray in the fielde toward the euening: who lift vp his eyes and looked, and behold, the camels came.
[GNV | EN | OT | Genesis | Chapter 24 | Verse 64] Also Rebekah lift vp her eyes, and when she saw Izhak, she lighted downe from the camel.
[GNV | EN | OT | Genesis | Chapter 24 | Verse 65] (For shee had sayde to the seruant, Who is yonder man, that commeth in the fielde to meete vs? and the seruant had said, It is my master) So she tooke a vaile, and couered her.
[GNV | EN | OT | Genesis | Chapter 24 | Verse 66] And the seruant tolde Izhak all things, that he had done.
[GNV | EN | OT | Genesis | Chapter 24 | Verse 67] Afterward Izhak brought her into the tent of Sarah his mother, and he tooke Rebekah, and she was his wife, and he loued her: So Izhak was comforted after his mothers death.
