[LXX | EL | OT | Leviticus | Chapter 6 | Verse 1] Καὶ ἐλάλησε Κύριος πρὸς Μωυσῆν, λέγων,
[LXX | EL | OT | Leviticus | Chapter 6 | Verse 13] τοῦτο τὸ δῶρον Ἀαρὼν καὶ τῶν υἱῶν αὐτοῦ, ὃ προσοίσουσι Κυρίῳ ἐν τῇ ἡμέρᾳ, ᾗ ἂν χρίσῃς αὐτόν· τὸ δέκατον τοῦ οἰφὶ σεμιδάλεως εἰς θυσίαν διαπαντὸς, τὸ ἥμισυ αὐτῆς τὸπρωῒ, καὶ τὸ ἥμισυ αὐτῆς τοδειλινόν.
[LXX | EL | OT | Leviticus | Chapter 6 | Verse 14] Ἐπὶ τηγάνου ἐν ἐλαίῳ ποιηθήσεται, πεφυραμένην οἴσει αὐτήν ἑλικτά, θυσίαν ἐκ κλασμάτων, θυσίαν εἰς ὀσμὴν εὐωδίας Κυρίῳ.
[LXX | EL | OT | Leviticus | Chapter 6 | Verse 15] Ὁ ἱερεὺς ὁ χριστὸς ὁ ἀντʼ αὐτοῦ ἐκ τῶν υἱῶν αὐτοῦ ποιήσει αὐτήν· νόμος αἰώνιος· ἅπαν ἐπιτελεσθήσεται.
[LXX | EL | OT | Leviticus | Chapter 6 | Verse 16] Καὶ πᾶσα θυσία ἱερέως ὁλόκαυτος ἔσται, καὶ οὐ βρωθήσεται.
[LXX | EL | OT | Leviticus | Chapter 6 | Verse 17] Καὶ ἐλάλησε Κύριος πρὸς Μωυσῆν, λέγων,
[LXX | EL | OT | Leviticus | Chapter 6 | Verse 18] λάλησον τῷ Ἀαρὼν καὶ τοῖς υἱοῖς αὐτοῦ, λέγων, οὗτος ὁ νόμος τῆς ἁμαρτίας· ἐν τόπῳ οὗ σφάζουσι τὸ ὁλοκαύτωμα, σφάξουσι τὰ περὶ τῆς ἁμαρτίας ἔναντι Κυρίου· ἅγια ἁγίων ἐστίν.
[LXX | EL | OT | Leviticus | Chapter 6 | Verse 19] Ὁ ἱερεὺς ὁ ἀναφέρων αὐτὴν, ἔδεται αὐτήν· ἐν τόπῳ ἁγίῳ βρωθήσεται, ἐν αὐλῇ τῆς σκηνῆς τοῦ μαρτυρίου.
[LXX | EL | OT | Leviticus | Chapter 6 | Verse 20] Πᾶς ὁ ἁπτόμενος τῶν κρεῶν αὐτῆς, ἁγιασθήσεται· καὶ ᾧ ἐὰν ἐπιῤῥαντισθῇ ἀπὸ τοῦ αἵματος αὐτῆς ἐπὶ τὸ ἱμάτιον, ὃς ἐὰν ῥαντισθῇ ἐπʼ αὐτὸ, πλυθήσεται ἐν τόπῳ ἁγίῳ.
[LXX | EL | OT | Leviticus | Chapter 6 | Verse 21] Καὶ σκεῦος ὀστράκινον, οὗ ἐὰν ἑψεθῇ ἐν αὐτῷ, συντριβήσεται· ἐὰν δὲ ἐν σκεύει χαλκῷ ἑψηθῇ, ἐκτρίψει αὐτὸ, καὶ ἐκκλύσει ὕδατι.
[LXX | EL | OT | Leviticus | Chapter 6 | Verse 22] Πᾶς ἄρσην ἐν τοῖς ἱερεῦσιν φάγεται αὐτά ἅγια ἁγίων ἐστὶ Κυρίῳ.
[LXX | EL | OT | Leviticus | Chapter 6 | Verse 23] Καὶ πάντα τὰ περὶ τῆς ἁμαρτίας, ὧν ἐὰν εἰσενεχθῇ ἀπὸ τοῦ αἵματος αὐτῶν εἰς τὴν σκηνὴν τοῦ μαρτυρίου ἐξιλάσασθαι ἐν τῷ ἁγίῳ, οὐ βρωθήσεται· ἐν πυρὶ κατακαυθήσεται.
